I II III aVR aVL aVF V1 V2 AO SPO2
-0.056 -0.071 -0.015 0.063 -0.020 -0.042 0.042 74.000 78.400 0.527 
-0.039 -0.061 -0.015 0.046 -0.007 -0.042 0.032 74.800 79.600 0.659 
-0.046 -0.059 -0.010 0.051 -0.017 -0.034 0.034 75.600 81.000 0.791 
-0.051 -0.034 0.017 0.044 -0.034 -0.007 0.027 76.600 82.200 0.923 
-0.054 -0.010 0.042 0.034 -0.049 0.017 0.022 77.600 83.600 1.055 
-0.049 -0.000 0.051 0.024 -0.049 0.024 0.015 78.600 85.000 1.216 
-0.042 -0.002 0.039 0.022 -0.039 0.020 0.015 79.600 86.200 1.377 
-0.034 0.007 0.044 0.012 -0.037 0.024 0.007 80.400 87.600 1.538 
-0.039 -0.000 0.042 0.020 -0.039 0.020 0.012 81.200 88.800 1.700 
-0.029 -0.005 0.032 0.015 -0.027 0.010 0.010 82.200 90.200 1.871 
-0.024 0.022 0.051 -0.000 -0.034 0.034 -0.000 83.000 91.400 2.042 
-0.020 0.024 0.051 -0.005 -0.032 0.034 -0.005 84.000 92.600 2.212 
-0.000 0.073 0.078 -0.039 -0.037 0.073 -0.024 85.200 94.000 2.383 
-0.012 0.100 0.107 -0.042 -0.061 0.107 -0.032 86.600 95.200 2.545 
-0.005 0.100 0.110 -0.049 -0.054 0.103 -0.032 88.000 96.400 2.706 
0.002 0.088 0.090 -0.046 -0.042 0.088 -0.032 89.600 97.400 2.867 
0.012 0.100 0.083 -0.054 -0.037 0.095 -0.037 91.200 98.600 3.028 
0.007 0.095 0.085 -0.049 -0.039 0.093 -0.037 92.800 99.600 3.160 
0.012 0.117 0.098 -0.061 -0.046 0.112 -0.044 94.600 100.400 3.292 
0.017 0.134 0.120 -0.076 -0.049 0.127 -0.054 96.000 101.200 3.424 
0.022 0.129 0.100 -0.071 -0.042 0.120 -0.051 97.400 102.000 3.556 
0.015 0.112 0.088 -0.059 -0.042 0.105 -0.044 98.200 102.600 3.653 
0.005 0.085 0.078 -0.044 -0.037 0.083 -0.029 99.200 103.200 3.751 
0.020 0.081 0.061 -0.049 -0.020 0.071 -0.037 99.600 103.600 3.849 
0.024 0.078 0.049 -0.049 -0.015 0.066 -0.034 100.000 104.000 3.946 
0.029 0.090 0.063 -0.061 -0.015 0.076 -0.042 100.200 104.200 4.020 
0.039 0.098 0.059 -0.068 -0.010 0.078 -0.046 100.400 104.400 4.093 
0.034 0.068 0.032 -0.049 -0.000 0.051 -0.037 100.600 104.600 4.166 
0.034 0.061 0.032 -0.049 0.005 0.044 -0.032 100.800 104.800 4.239 
0.022 0.051 0.027 -0.034 -0.002 0.042 -0.027 101.000 104.800 4.322 
0.024 0.046 0.020 -0.034 0.002 0.034 -0.024 101.200 104.800 4.405 
0.020 0.039 0.015 -0.027 -0.000 0.029 -0.022 101.400 104.800 4.488 
0.017 0.032 0.015 -0.024 0.002 0.024 -0.017 101.600 104.600 4.571 
0.024 0.049 0.024 -0.037 -0.000 0.037 -0.027 101.800 104.400 4.586 
0.024 0.051 0.027 -0.037 -0.000 0.039 -0.024 101.800 104.200 4.601 
0.020 0.037 0.017 -0.027 0.002 0.027 -0.022 101.600 103.800 4.615 
0.010 0.032 0.022 -0.020 -0.005 0.027 -0.015 101.400 103.600 4.630 
0.010 0.042 0.029 -0.024 -0.010 0.037 -0.020 101.200 103.000 4.630 
