I II III aVR aVL aVF V1 AO LV SPO2
-0.002 0.139 0.125 -0.059 -0.071 0.142 -0.024 108.800 108.200 1.597 
-0.017 0.125 0.125 -0.044 -0.078 0.134 -0.017 109.200 107.200 1.602 
-0.012 0.137 0.129 -0.051 -0.081 0.144 -0.022 109.400 106.000 1.641 
-0.017 0.115 0.110 -0.037 -0.073 0.125 -0.012 109.400 104.800 1.680 
-0.007 0.115 0.110 -0.046 -0.063 0.120 -0.022 109.000 103.600 1.719 
-0.015 0.110 0.110 -0.039 -0.068 0.117 -0.015 108.400 102.400 1.758 
-0.015 0.107 0.103 -0.037 -0.068 0.115 -0.022 107.600 101.000 1.832 
-0.017 0.107 0.105 -0.034 -0.071 0.117 -0.022 106.400 99.800 1.905 
-0.020 0.112 0.115 -0.037 -0.076 0.122 -0.024 105.000 98.400 1.978 
-0.002 0.127 0.115 -0.054 -0.066 0.129 -0.029 103.600 97.000 2.051 
-0.022 0.105 0.110 -0.032 -0.073 0.117 -0.015 102.200 95.400 2.144 
-0.027 0.085 0.100 -0.022 -0.068 0.100 -0.024 100.800 94.000 2.237 
-0.007 0.120 0.105 -0.044 -0.066 0.125 -0.020 99.600 92.200 2.330 
-0.015 0.107 0.107 -0.039 -0.068 0.115 -0.020 98.400 90.400 2.422 
-0.007 0.115 0.105 -0.044 -0.063 0.120 -0.020 97.200 88.200 2.520 
-0.015 0.105 0.100 -0.034 -0.066 0.112 -0.022 96.200 86.000 2.618 
-0.010 0.103 0.095 -0.037 -0.061 0.107 -0.017 95.200 83.400 2.716 
-0.000 0.098 0.085 -0.042 -0.049 0.098 -0.017 94.200 80.400 2.813 
-0.017 0.081 0.083 -0.024 -0.056 0.090 -0.027 93.400 77.200 2.896 
-0.027 0.073 0.083 -0.015 -0.063 0.088 -0.022 92.600 73.800 2.979 
-0.012 0.088 0.085 -0.029 -0.056 0.095 -0.027 92.000 70.000 3.062 
-0.015 0.098 0.095 -0.032 -0.063 0.105 -0.024 91.600 66.000 3.145 
-0.005 0.100 0.088 -0.039 -0.054 0.103 -0.022 91.400 61.800 3.194 
-0.010 0.083 0.081 -0.029 -0.051 0.088 -0.020 91.400 57.600 3.243 
-0.022 0.078 0.081 -0.017 -0.061 0.090 -0.020 91.400 53.200 3.292 
-0.015 0.085 0.088 -0.029 -0.056 0.093 -0.007 91.800 48.600 3.341 
-0.020 0.085 0.085 -0.022 -0.061 0.095 -0.007 92.000 44.200 3.365 
-0.032 0.083 0.098 -0.017 -0.073 0.100 -0.010 92.400 39.600 3.389 
-0.012 0.090 0.088 -0.032 -0.056 0.098 -0.012 92.600 35.200 3.414 
-0.005 0.093 0.085 -0.037 -0.051 0.095 -0.015 92.800 31.000 3.438 
-0.017 0.081 0.081 -0.022 -0.056 0.090 -0.012 92.800 27.000 3.433 
-0.005 0.076 0.071 -0.029 -0.042 0.078 -0.010 92.800 23.200 3.429 
-0.032 0.071 0.088 -0.012 -0.066 0.088 -0.010 92.800 19.800 3.424 
-0.024 0.076 0.085 -0.017 -0.061 0.088 -0.015 92.800 16.600 3.419 
-0.022 0.078 0.083 -0.020 -0.061 0.090 -0.015 92.800 13.800 3.409 
-0.037 0.066 0.093 -0.010 -0.068 0.085 -0.007 92.600 11.400 3.399 
-0.015 0.090 0.098 -0.034 -0.059 0.098 0.002 92.200 9.200 3.389 
-0.005 0.100 0.093 -0.042 -0.054 0.103 -0.002 91.800 7.400 3.380 
-0.012 0.095 0.095 -0.034 -0.059 0.103 -0.002 91.200 5.800 3.370 
-0.037 0.068 0.095 -0.010 -0.071 0.088 -0.010 90.600 4.600 3.360 
-0.037 0.061 0.083 -0.005 -0.066 0.081 -0.010 89.800 3.400 3.350 
-0.024 0.076 0.085 -0.017 -0.061 0.088 -0.002 88.800 2.800 3.341 
-0.022 0.076 0.083 -0.020 -0.059 0.088 0.002 88.000 2.200 3.336 
-0.032 0.068 0.088 -0.012 -0.066 0.085 -0.002 87.200 1.800 3.331 
-0.034 0.073 0.090 -0.010 -0.071 0.090 -0.002 86.400 1.600 3.326 
-0.039 0.066 0.090 -0.005 -0.071 0.085 -0.002 85.600 1.400 3.321 
-0.032 0.059 0.081 -0.007 -0.061 0.076 -0.000 85.000 1.400 3.316 
-0.029 0.066 0.083 -0.012 -0.061 0.081 0.007 84.400 1.400 3.311 
-0.037 0.071 0.098 -0.012 -0.071 0.090 -0.000 84.000 1.600 3.306 
-0.017 0.090 0.098 -0.032 -0.061 0.100 -0.000 83.600 1.800 3.302 
-0.032 0.085 0.105 -0.020 -0.073 0.103 0.005 83.400 2.000 3.287 
-0.042 0.093 0.117 -0.017 -0.088 0.115 0.017 83.200 2.400 3.272 
-0.032 0.103 0.112 -0.024 -0.083 0.120 0.020 83.200 2.600 3.258 
-0.039 0.095 0.120 -0.020 -0.085 0.115 0.029 83.200 3.000 3.243 
-0.034 0.088 0.115 -0.022 -0.078 0.105 0.034 83.400 3.400 3.223 
-0.037 0.085 0.112 -0.020 -0.078 0.105 0.027 83.600 3.800 3.204 
-0.015 0.110 0.115 -0.042 -0.068 0.117 0.029 83.800 4.400 3.184 
-0.022 0.095 0.103 -0.029 -0.068 0.107 0.017 84.000 4.800 3.165 
-0.020 0.103 0.115 -0.037 -0.071 0.112 0.012 84.200 5.200 3.145 
-0.029 0.098 0.112 -0.027 -0.078 0.112 0.012 84.200 5.600 3.126 
-0.051 0.068 0.105 -0.000 -0.085 0.095 -0.010 84.200 6.000 3.106 
-0.032 0.093 0.105 -0.020 -0.078 0.110 -0.012 84.000 6.600 3.087 
-0.027 0.100 0.122 -0.034 -0.076 0.115 -0.015 84.000 7.000 3.048 
-0.037 0.088 0.117 -0.022 -0.081 0.107 -0.020 83.600 7.400 3.009 
-0.046 0.088 0.122 -0.015 -0.090 0.112 -0.027 83.400 7.800 2.969 
-0.044 0.078 0.110 -0.010 -0.083 0.100 -0.027 82.800 8.200 2.930 
-0.032 0.068 0.090 -0.012 -0.066 0.085 -0.015 82.400 8.600 2.921 
-0.027 0.068 0.085 -0.015 -0.061 0.083 -0.012 81.800 9.000 2.911 
-0.024 0.083 0.098 -0.024 -0.066 0.095 -0.020 81.000 9.400 2.901 
-0.034 0.071 0.095 -0.012 -0.068 0.088 -0.027 80.400 9.600 2.891 
-0.010 0.073 0.078 -0.029 -0.046 0.078 -0.034 79.600 9.800 2.896 
-0.012 0.073 0.071 -0.022 -0.049 0.081 -0.029 78.600 10.000 2.901 
-0.005 0.071 0.068 -0.029 -0.039 0.073 -0.022 77.800 10.200 2.906 
-0.015 0.056 0.066 -0.017 -0.042 0.063 -0.024 77.000 10.400 2.911 
-0.017 0.059 0.068 -0.017 -0.046 0.068 -0.024 76.200 10.600 2.916 
-0.015 0.056 0.063 -0.017 -0.042 0.063 -0.005 75.600 10.800 2.921 
-0.029 0.044 0.066 -0.002 -0.051 0.059 -0.000 75.000 11.000 2.926 
-0.039 0.034 0.066 0.007 -0.056 0.054 0.012 74.400 11.200 2.930 
-0.027 0.044 0.063 -0.005 -0.049 0.059 0.020 74.000 11.400 2.930 
-0.034 0.037 0.066 0.002 -0.051 0.054 0.032 73.600 11.600 2.930 
-0.044 0.020 0.056 0.017 -0.054 0.042 0.034 73.200 11.800 2.930 
-0.044 0.005 0.046 0.022 -0.046 0.027 0.017 73.000 12.000 2.930 
-0.046 0.002 0.044 0.024 -0.046 0.027 0.022 72.800 12.200 2.926 
-0.046 0.002 0.046 0.024 -0.046 0.027 0.017 72.800 12.400 2.921 
-0.029 0.027 0.056 0.002 -0.042 0.042 0.034 72.800 12.600 2.916 
-0.034 0.017 0.044 0.012 -0.042 0.034 0.032 72.800 12.800 2.911 
-0.044 0.005 0.039 0.024 -0.046 0.027 0.024 73.000 13.200 2.901 
-0.049 -0.007 0.037 0.032 -0.044 0.017 0.022 73.400 13.400 2.891 
-0.059 -0.015 0.042 0.039 -0.051 0.015 0.027 73.600 13.600 2.882 
-0.066 -0.022 0.042 0.046 -0.054 0.012 0.027 73.800 13.800 2.872 
-0.037 0.002 0.027 0.024 -0.037 0.022 0.015 74.000 14.200 2.857 
-0.029 0.007 0.027 0.017 -0.032 0.022 0.024 74.000 14.400 2.842 
-0.049 -0.015 0.027 0.037 -0.042 0.010 0.024 74.000 14.600 2.828 
-0.039 0.002 0.027 0.027 -0.039 0.022 0.022 74.000 14.800 2.813 
-0.042 -0.005 0.029 0.027 -0.039 0.017 0.015 73.800 15.000 2.794 
-0.044 -0.012 0.022 0.034 -0.037 0.010 0.017 73.600 15.400 2.774 
-0.044 -0.010 0.024 0.032 -0.039 0.012 0.017 73.400 15.600 2.755 
-0.029 -0.000 0.020 0.020 -0.029 0.015 0.010 73.000 15.800 2.735 
-0.034 -0.007 0.022 0.024 -0.029 0.010 0.015 72.600 16.000 2.716 
-0.044 -0.020 0.020 0.034 -0.034 0.002 0.015 72.200 16.200 2.696 
-0.024 0.002 0.015 0.017 -0.024 0.015 0.017 71.800 16.600 2.676 
-0.022 0.002 0.015 0.015 -0.022 0.015 0.017 71.200 16.800 2.657 
-0.012 -0.000 0.007 0.010 -0.012 0.007 0.015 70.600 17.000 2.637 
-0.022 -0.005 0.012 0.017 -0.020 0.007 0.015 70.000 17.200 2.618 
-0.037 -0.012 0.017 0.029 -0.029 0.007 0.010 69.400 17.400 2.598 
-0.032 -0.012 0.010 0.027 -0.024 0.005 0.010 68.800 17.800 2.579 
-0.037 -0.010 0.020 0.027 -0.032 0.010 0.010 68.200 18.000 2.559 
-0.032 -0.007 0.012 0.027 -0.027 0.010 0.010 67.800 18.200 2.540 
-0.005 -0.005 -0.007 0.010 -0.002 -0.002 0.015 67.400 18.400 2.520 
0.007 -0.032 -0.046 0.017 0.024 -0.034 -0.005 67.200 18.600 2.501 
0.054 -0.022 -0.083 -0.012 0.066 -0.049 -0.007 67.000 18.800 2.486 
0.059 0.005 -0.059 -0.029 0.056 -0.024 -0.015 66.800 19.000 2.471 
0.061 0.063 -0.002 -0.059 0.029 0.034 -0.037 66.600 19.200 2.457 
0.073 0.159 0.078 -0.112 -0.005 0.122 -0.078 66.600 19.200 2.442 
0.083 0.293 0.205 -0.186 -0.063 0.252 -0.144 66.600 19.400 2.427 
0.117 0.515 0.391 -0.313 -0.139 0.457 -0.249 66.600 19.400 2.413 
0.120 0.625 0.503 -0.371 -0.193 0.567 -0.349 66.800 19.600 2.398 
0.061 0.647 0.579 -0.349 -0.261 0.618 -0.376 66.800 19.600 2.383 
0.002 0.667 0.667 -0.335 -0.330 0.667 -0.400 67.000 19.600 2.364 
-0.022 0.755 0.769 -0.361 -0.398 0.767 -0.427 67.200 19.600 2.344 
-0.051 0.769 0.818 -0.357 -0.435 0.796 -0.437 67.400 19.600 2.325 
-0.054 0.701 0.750 -0.320 -0.403 0.728 -0.425 67.600 19.400 2.305 
-0.093 0.674 0.767 -0.291 -0.430 0.720 -0.415 67.600 19.400 2.291 
-0.117 0.664 0.781 -0.274 -0.449 0.723 -0.398 67.600 19.400 2.276 
-0.112 0.615 0.718 -0.247 -0.420 0.672 -0.349 67.600 19.200 2.261 
-0.120 0.388 0.493 -0.127 -0.313 0.449 -0.242 67.600 19.200 2.247 
-0.159 0.217 0.369 -0.024 -0.266 0.298 -0.181 67.400 19.000 2.232 
-0.156 0.110 0.259 0.027 -0.210 0.188 -0.132 67.200 19.000 2.217 
-0.129 0.056 0.173 0.044 -0.156 0.122 -0.085 67.000 19.000 2.203 
-0.115 0.012 0.122 0.054 -0.120 0.071 -0.059 66.600 19.000 2.188 
-0.105 -0.020 0.081 0.066 -0.095 0.034 -0.039 66.200 19.200 2.173 
-0.095 -0.042 0.044 0.073 -0.073 0.007 -0.005 65.800 19.600 2.159 
-0.085 -0.044 0.024 0.073 -0.063 -0.000 0.020 65.400 20.000 2.144 
-0.083 -0.066 0.007 0.081 -0.049 -0.024 0.046 65.000 20.800 2.129 
-0.085 -0.098 -0.015 0.093 -0.037 -0.054 0.063 64.600 21.800 2.125 
-0.081 -0.112 -0.039 0.100 -0.024 -0.071 0.073 64.400 23.000 2.120 
-0.095 -0.142 -0.059 0.125 -0.024 -0.093 0.088 64.000 24.800 2.115 
-0.090 -0.159 -0.076 0.129 -0.010 -0.112 0.090 63.800 27.000 2.110 
-0.078 -0.161 -0.088 0.122 0.002 -0.122 0.098 63.600 29.600 2.100 
-0.078 -0.166 -0.090 0.125 0.005 -0.127 0.105 63.400 33.000 2.090 
-0.061 -0.156 -0.105 0.115 0.017 -0.125 0.110 63.400 36.800 2.081 
-0.078 -0.178 -0.110 0.134 0.012 -0.139 0.115 63.400 41.000 2.071 
-0.100 -0.195 -0.103 0.151 -0.002 -0.144 0.117 63.400 46.000 2.066 
-0.090 -0.190 -0.107 0.144 0.005 -0.144 0.129 63.400 51.200 2.061 
-0.095 -0.205 -0.125 0.159 0.007 -0.156 0.137 63.600 56.800 2.056 
-0.100 -0.222 -0.132 0.166 0.012 -0.171 0.129 63.800 62.800 2.051 
-0.085 -0.215 -0.129 0.151 0.022 -0.171 0.134 64.200 68.800 2.042 
-0.100 -0.230 -0.127 0.164 0.015 -0.178 0.142 64.600 75.000 2.032 
-0.107 -0.227 -0.125 0.171 0.007 -0.173 0.149 65.000 81.000 2.022 
-0.098 -0.227 -0.129 0.164 0.017 -0.178 0.154 65.600 87.000 2.012 
-0.110 -0.254 -0.147 0.183 0.017 -0.198 0.156 66.200 92.400 2.002 
-0.120 -0.264 -0.147 0.193 0.012 -0.203 0.168 67.000 97.800 1.993 
-0.110 -0.256 -0.151 0.186 0.020 -0.200 0.164 67.800 102.400 1.983 
-0.107 -0.271 -0.168 0.193 0.029 -0.217 0.159 68.800 106.600 1.973 
-0.090 -0.278 -0.183 0.183 0.049 -0.232 0.154 70.000 110.200 1.958 
-0.076 -0.278 -0.200 0.176 0.063 -0.239 0.151 71.000 113.200 1.944 
-0.068 -0.283 -0.225 0.181 0.073 -0.249 0.142 72.400 115.400 1.929 
-0.051 -0.288 -0.242 0.173 0.093 -0.261 0.134 73.600 117.000 1.915 
-0.042 -0.300 -0.254 0.168 0.110 -0.278 0.137 75.000 118.000 1.895 
-0.042 -0.310 -0.269 0.176 0.115 -0.288 0.137 76.400 118.400 1.875 
-0.027 -0.303 -0.283 0.168 0.125 -0.288 0.132 78.000 118.600 1.856 
-0.015 -0.298 -0.288 0.159 0.134 -0.291 0.132 79.600 118.400 1.836 
-0.012 -0.305 -0.293 0.159 0.142 -0.298 0.132 81.000 117.800 1.827 
0.020 -0.281 -0.303 0.132 0.161 -0.291 0.134 82.600 117.200 1.817 
0.007 -0.303 -0.310 0.149 0.159 -0.305 0.132 84.200 116.600 1.807 
0.029 -0.291 -0.317 0.129 0.176 -0.305 0.125 85.800 116.000 1.797 
-0.000 -0.315 -0.310 0.156 0.159 -0.315 0.125 87.400 115.400 1.788 
0.015 -0.303 -0.320 0.147 0.166 -0.310 0.122 88.800 115.000 1.778 
0.029 -0.286 -0.315 0.129 0.173 -0.300 0.125 90.200 114.600 1.768 
0.029 -0.281 -0.317 0.129 0.171 -0.295 0.112 91.600 114.400 1.758 
0.051 -0.259 -0.303 0.100 0.181 -0.283 0.117 92.800 114.400 1.744 
0.049 -0.259 -0.303 0.103 0.178 -0.283 0.112 94.000 114.600 1.729 
0.029 -0.269 -0.295 0.120 0.164 -0.283 0.105 95.000 114.800 1.714 
0.032 -0.256 -0.293 0.115 0.161 -0.271 0.078 96.000 115.200 1.700 
0.044 -0.232 -0.278 0.095 0.161 -0.254 0.078 97.000 115.600 1.675 
0.059 -0.203 -0.269 0.076 0.161 -0.232 0.063 98.000 116.200 1.651 
0.056 -0.178 -0.244 0.066 0.147 -0.205 0.059 98.800 116.600 1.626 
0.059 -0.159 -0.225 0.054 0.139 -0.188 0.039 99.600 116.800 1.602 
0.068 -0.134 -0.208 0.037 0.137 -0.168 0.022 100.400 117.000 1.582 
0.063 -0.110 -0.176 0.024 0.120 -0.142 0.015 101.200 117.200 1.563 
0.056 -0.095 -0.156 0.022 0.105 -0.122 0.005 101.800 117.200 1.543 
0.081 -0.059 -0.147 -0.007 0.110 -0.098 -0.015 102.400 117.000 1.524 
0.068 -0.049 -0.117 -0.010 0.093 -0.083 -0.020 103.000 116.600 1.519 
0.059 -0.039 -0.100 -0.007 0.078 -0.068 -0.029 103.600 116.200 1.514 
0.063 -0.027 -0.098 -0.015 0.078 -0.059 -0.034 104.000 115.600 1.509 
0.066 -0.027 -0.098 -0.017 0.081 -0.059 -0.039 104.400 114.800 1.504 
0.046 -0.027 -0.081 -0.005 0.061 -0.049 -0.046 104.600 114.000 1.529 
0.061 -0.012 -0.078 -0.022 0.068 -0.042 -0.049 104.800 113.200 1.553 
0.078 0.005 -0.078 -0.039 0.076 -0.034 -0.046 105.000 112.200 1.578 
0.063 -0.010 -0.081 -0.022 0.068 -0.042 -0.044 105.200 111.200 1.602 
0.056 -0.017 -0.076 -0.017 0.066 -0.044 -0.051 105.400 110.000 1.656 
0.054 -0.020 -0.071 -0.017 0.063 -0.046 -0.051 105.400 109.000 1.709 
0.039 -0.020 -0.061 -0.007 0.049 -0.039 -0.044 105.400 107.800 1.763 
0.049 -0.007 -0.056 -0.020 0.054 -0.032 -0.044 105.200 106.800 1.817 
0.046 -0.010 -0.054 -0.020 0.051 -0.032 -0.044 105.200 105.600 1.910 
0.029 -0.012 -0.051 -0.002 0.037 -0.027 -0.049 105.000 104.400 2.002 
0.027 -0.022 -0.059 0.002 0.039 -0.034 -0.051 104.600 103.400 2.095 
0.012 -0.027 -0.051 0.015 0.027 -0.032 -0.046 104.400 102.200 2.188 
0.020 -0.020 -0.042 0.002 0.029 -0.029 -0.044 104.200 101.000 2.286 
0.017 -0.007 -0.032 -0.000 0.022 -0.015 -0.042 103.800 99.600 2.383 
0.032 -0.000 -0.034 -0.015 0.032 -0.015 -0.034 103.600 98.200 2.481 
0.032 -0.000 -0.039 -0.012 0.032 -0.015 -0.042 103.200 96.800 2.579 
0.032 -0.000 -0.032 -0.015 0.032 -0.015 -0.034 102.800 95.000 2.676 
0.037 0.015 -0.029 -0.022 0.029 -0.002 -0.037 102.200 93.200 2.774 
0.029 0.010 -0.024 -0.017 0.024 -0.005 -0.032 101.800 91.000 2.872 
0.034 0.010 -0.032 -0.017 0.029 -0.007 -0.034 101.200 88.600 2.969 
0.032 0.007 -0.027 -0.017 0.029 -0.007 -0.029 100.600 86.000 3.038 
0.029 0.012 -0.022 -0.017 0.024 -0.002 -0.037 100.000 83.200 3.106 
0.024 0.017 -0.010 -0.020 0.017 0.005 -0.027 99.400 80.000 3.175 
0.020 0.002 -0.015 -0.012 0.020 -0.007 -0.029 98.800 76.600 3.243 
0.024 0.005 -0.017 -0.015 0.022 -0.007 -0.029 98.200 72.800 3.282 
0.034 0.015 -0.022 -0.022 0.027 -0.002 -0.032 97.600 69.000 3.321 
0.042 0.020 -0.020 -0.032 0.032 -0.000 -0.020 97.000 65.000 3.360 
0.029 0.010 -0.022 -0.017 0.024 -0.005 -0.024 96.400 60.800 3.399 
0.022 -0.000 -0.015 -0.015 0.022 -0.010 -0.027 95.800 56.600 3.409 
0.022 0.007 -0.010 -0.017 0.020 -0.002 -0.020 95.200 52.200 3.419 
0.017 -0.000 -0.015 -0.010 0.017 -0.007 -0.020 94.600 47.800 3.429 
0.005 -0.017 -0.024 0.007 0.015 -0.020 -0.027 94.000 43.600 3.438 
0.002 -0.017 -0.027 0.012 0.012 -0.017 -0.020 93.600 39.400 3.429 
0.020 0.002 -0.020 -0.010 0.020 -0.007 -0.012 93.200 35.400 3.419 
0.015 0.002 -0.020 -0.005 0.015 -0.005 -0.010 92.800 31.800 3.409 
0.020 0.005 -0.017 -0.010 0.017 -0.005 -0.012 92.600 28.200 3.399 
0.027 0.012 -0.015 -0.020 0.022 -0.000 -0.010 92.400 25.000 3.389 
0.002 -0.007 -0.012 0.005 0.007 -0.007 -0.007 92.200 22.200 3.380 
0.012 0.005 -0.010 -0.007 0.010 -0.000 -0.010 92.000 19.600 3.370 
0.005 -0.000 -0.005 -0.002 0.005 -0.002 -0.015 92.000 17.400 3.360 
0.015 0.005 -0.007 -0.010 0.012 -0.002 -0.012 91.800 15.400 3.350 
0.015 0.005 -0.005 -0.012 0.012 -0.002 -0.012 91.800 13.800 3.341 
0.015 0.010 -0.005 -0.012 0.010 0.002 -0.010 91.800 12.400 3.331 
0.010 -0.005 -0.012 -0.002 0.012 -0.010 -0.015 91.600 11.400 3.321 
0.005 0.002 -0.007 -0.000 0.005 -0.000 -0.015 91.600 10.600 3.311 
-0.000 0.002 0.002 -0.000 -0.000 0.002 -0.010 91.400 10.000 3.302 
0.015 0.022 0.005 -0.017 0.005 0.015 -0.002 91.400 9.400 3.292 
0.002 0.015 0.007 -0.005 -0.005 0.015 -0.005 91.200 9.200 3.282 
0.005 0.020 0.015 -0.012 -0.005 0.017 -0.007 91.000 9.000 3.272 
-0.000 0.027 0.022 -0.010 -0.012 0.027 -0.002 90.800 8.800 3.263 
0.007 0.032 0.024 -0.020 -0.007 0.029 0.005 90.600 8.800 3.253 
0.027 0.044 0.017 -0.034 0.005 0.032 0.020 90.200 8.800 3.243 
0.007 0.027 0.020 -0.017 -0.005 0.024 0.027 89.800 8.800 3.223 
-0.017 0.022 0.039 -0.002 -0.027 0.032 0.012 89.400 8.800 3.204 
0.005 0.049 0.039 -0.024 -0.020 0.046 0.020 89.000 8.800 3.184 
0.015 0.054 0.042 -0.034 -0.012 0.046 0.012 88.600 9.000 3.165 
0.005 0.037 0.037 -0.022 -0.012 0.034 0.002 88.000 9.000 3.140 
0.005 0.029 0.027 -0.017 -0.010 0.027 -0.005 87.400 9.200 3.116 
0.010 0.029 0.020 -0.020 -0.005 0.024 -0.012 86.800 9.200 3.092 
0.012 0.039 0.024 -0.024 -0.007 0.034 -0.029 86.200 9.400 3.067 
0.005 0.037 0.027 -0.017 -0.012 0.034 -0.039 85.600 9.600 3.043 
0.012 0.027 0.015 -0.020 -0.000 0.022 -0.034 85.000 9.600 3.018 
-0.002 0.015 0.010 -0.002 -0.010 0.017 -0.034 84.200 9.800 2.994 
0.007 0.005 -0.005 -0.005 0.005 0.002 -0.039 83.600 10.000 2.969 
0.022 0.010 -0.010 -0.017 0.017 -0.000 -0.029 83.000 10.200 2.950 
0.017 0.010 -0.010 -0.012 0.012 0.002 -0.032 82.400 10.200 2.930 
0.007 0.005 -0.002 -0.005 0.005 0.002 -0.037 81.800 10.400 2.911 
0.020 0.010 -0.012 -0.012 0.015 -0.000 -0.039 81.200 10.600 2.891 
0.022 0.007 -0.017 -0.012 0.020 -0.002 -0.039 80.800 10.800 2.882 
0.027 0.010 -0.017 -0.017 0.022 -0.002 -0.037 80.400 11.000 2.872 
0.029 0.015 -0.015 -0.022 0.022 -0.000 -0.034 80.000 11.400 2.862 
0.022 0.007 -0.017 -0.012 0.020 -0.002 -0.032 79.600 11.600 2.852 
0.032 0.020 -0.015 -0.024 0.022 0.005 -0.020 79.200 11.800 2.857 
0.020 0.022 0.005 -0.022 0.010 0.012 -0.012 79.000 12.000 2.862 
0.012 0.024 0.010 -0.017 -0.000 0.020 0.007 78.800 12.200 2.867 
-0.015 -0.007 0.007 0.012 -0.010 -0.000 -0.000 78.600 12.600 2.872 
-0.015 -0.012 0.002 0.015 -0.007 -0.005 0.015 78.400 12.800 2.877 
-0.042 -0.034 0.005 0.039 -0.024 -0.012 0.022 78.400 13.000 2.882 
-0.029 -0.027 -0.000 0.029 -0.015 -0.012 0.024 78.200 13.200 2.886 
-0.029 -0.034 -0.005 0.032 -0.012 -0.020 0.020 78.200 13.400 2.891 
-0.034 -0.039 -0.002 0.037 -0.015 -0.022 0.022 78.000 13.600 2.891 
-0.022 -0.029 -0.010 0.027 -0.007 -0.017 0.027 78.000 13.800 2.891 
-0.042 -0.044 -0.005 0.044 -0.020 -0.022 0.032 77.800 14.000 2.891 
-0.022 -0.029 -0.007 0.027 -0.007 -0.017 0.027 77.800 14.200 2.891 
-0.044 -0.051 -0.010 0.049 -0.017 -0.029 0.027 77.600 14.400 2.886 
-0.037 -0.044 -0.012 0.044 -0.015 -0.024 0.027 77.400 14.400 2.882 
-0.037 -0.044 -0.012 0.044 -0.015 -0.024 0.032 77.200 14.600 2.877 
-0.039 -0.046 -0.010 0.044 -0.015 -0.027 0.024 77.000 14.600 2.872 
-0.027 -0.042 -0.020 0.037 -0.005 -0.027 0.020 76.800 14.800 2.857 
-0.020 -0.039 -0.022 0.032 -0.000 -0.029 0.024 76.400 14.800 2.842 
-0.029 -0.044 -0.017 0.039 -0.007 -0.029 0.024 76.200 15.000 2.828 
-0.022 -0.042 -0.022 0.034 -0.000 -0.029 0.024 75.800 15.000 2.813 
-0.017 -0.042 -0.020 0.027 0.005 -0.032 0.022 75.400 15.200 2.794 
-0.012 -0.034 -0.022 0.024 0.005 -0.027 0.020 75.000 15.400 2.774 
-0.027 -0.039 -0.024 0.039 -0.007 -0.024 0.027 74.400 15.600 2.755 
-0.015 -0.039 -0.029 0.029 0.005 -0.032 0.022 74.000 16.000 2.735 
-0.012 -0.042 -0.029 0.027 0.010 -0.034 0.017 73.600 16.200 2.716 
-0.029 -0.044 -0.020 0.039 -0.007 -0.029 0.017 73.000 16.600 2.696 
-0.039 -0.059 -0.027 0.054 -0.010 -0.039 0.010 72.600 17.000 2.676 
-0.020 -0.042 -0.034 0.037 0.002 -0.032 0.017 72.200 17.400 2.657 
-0.024 -0.044 -0.029 0.039 -0.002 -0.032 0.007 71.800 18.000 2.637 
-0.010 -0.034 -0.027 0.024 0.007 -0.029 0.007 71.400 18.600 2.618 
-0.005 -0.039 -0.037 0.024 0.015 -0.037 0.012 71.000 19.000 2.598 
-0.017 -0.046 -0.034 0.034 0.007 -0.037 0.007 70.800 19.600 2.579 
-0.005 -0.037 -0.032 0.022 0.015 -0.034 0.010 70.400 20.200 2.564 
-0.010 -0.037 -0.027 0.024 0.010 -0.032 0.005 70.200 20.800 2.549 
-0.000 -0.034 -0.037 0.020 0.017 -0.034 0.010 70.200 21.200 2.535 
0.020 -0.039 -0.063 0.012 0.039 -0.049 -0.005 70.000 21.800 2.520 
0.073 -0.032 -0.110 -0.017 0.090 -0.068 -0.007 69.800 22.200 2.501 
0.083 -0.034 -0.115 -0.024 0.100 -0.076 -0.017 69.800 22.600 2.481 
0.090 0.005 -0.085 -0.046 0.088 -0.039 -0.029 69.800 22.800 2.462 
0.117 0.093 -0.020 -0.107 0.071 0.034 -0.063 69.600 23.200 2.442 
0.110 0.200 0.090 -0.154 0.010 0.147 -0.110 69.600 23.400 2.422 
0.147 0.386 0.242 -0.266 -0.046 0.313 -0.208 69.600 23.400 2.403 
0.178 0.549 0.371 -0.364 -0.095 0.462 -0.317 69.400 23.400 2.383 
0.161 0.593 0.435 -0.379 -0.134 0.513 -0.393 69.400 23.400 2.364 
0.090 0.589 0.501 -0.339 -0.203 0.545 -0.425 69.200 23.400 2.344 
0.034 0.640 0.608 -0.337 -0.286 0.623 -0.440 69.200 23.200 2.325 
0.017 0.733 0.720 -0.376 -0.349 0.725 -0.454 69.000 23.000 2.305 
0.002 0.713 0.708 -0.357 -0.354 0.713 -0.459 68.800 22.800 2.286 
-0.007 0.654 0.662 -0.322 -0.335 0.659 -0.474 68.600 22.600 2.271 
-0.051 0.642 0.698 -0.298 -0.371 0.669 -0.444 68.200 22.400 2.256 
-0.051 0.662 0.713 -0.305 -0.381 0.689 -0.418 68.000 22.000 2.242 
-0.076 0.513 0.589 -0.217 -0.332 0.552 -0.354 67.600 21.800 2.227 
-0.088 0.308 0.400 -0.112 -0.242 0.352 -0.254 67.400 21.400 2.212 
-0.073 0.203 0.274 -0.063 -0.173 0.239 -0.190 67.000 21.200 2.198 
