I II III aVR aVL aVF V1 AO LV SPO2
-0.010 -0.020 -0.012 0.017 -0.000 -0.015 -0.000 73.000 18.400 2.755 
-0.005 -0.024 -0.022 0.017 0.007 -0.022 -0.005 72.600 18.400 2.735 
0.032 -0.022 -0.059 -0.002 0.044 -0.037 -0.015 72.200 18.600 2.716 
0.093 0.012 -0.088 -0.049 0.088 -0.034 -0.010 71.800 18.600 2.696 
0.098 0.037 -0.066 -0.063 0.081 -0.012 -0.032 71.400 18.400 2.676 
0.071 0.063 -0.020 -0.061 0.039 0.029 -0.063 71.000 18.400 2.662 
0.090 0.168 0.066 -0.122 0.007 0.125 -0.093 70.800 18.400 2.647 
0.122 0.335 0.200 -0.222 -0.044 0.274 -0.173 70.600 18.400 2.632 
0.154 0.525 0.366 -0.337 -0.107 0.449 -0.283 70.400 18.400 2.618 
0.164 0.618 0.449 -0.388 -0.144 0.537 -0.369 70.400 18.200 2.598 
0.103 0.632 0.520 -0.361 -0.212 0.581 -0.391 70.200 18.200 2.579 
0.049 0.659 0.603 -0.349 -0.281 0.635 -0.420 70.000 18.200 2.559 
0.002 0.723 0.708 -0.357 -0.359 0.723 -0.454 70.000 18.200 2.540 
-0.000 0.742 0.735 -0.366 -0.371 0.742 -0.452 69.800 18.200 2.525 
-0.002 0.681 0.674 -0.335 -0.342 0.684 -0.452 69.600 18.000 2.510 
-0.054 0.664 0.713 -0.303 -0.386 0.691 -0.437 69.400 18.000 2.496 
-0.078 0.659 0.730 -0.286 -0.408 0.698 -0.410 69.200 17.800 2.481 
-0.078 0.589 0.654 -0.249 -0.371 0.628 -0.364 69.000 17.800 2.462 
-0.076 0.374 0.440 -0.144 -0.261 0.413 -0.264 68.600 17.600 2.442 
-0.088 0.237 0.315 -0.068 -0.205 0.281 -0.200 68.400 17.600 2.422 
-0.088 0.134 0.210 -0.017 -0.154 0.178 -0.151 68.000 17.400 2.403 
-0.066 0.085 0.144 -0.005 -0.107 0.120 -0.115 67.600 17.400 2.369 
-0.059 0.049 0.098 0.010 -0.083 0.078 -0.093 67.200 17.400 2.335 
-0.046 0.022 0.059 0.017 -0.056 0.046 -0.068 66.800 17.600 2.300 
-0.034 0.012 0.032 0.020 -0.039 0.029 -0.046 66.600 17.800 2.266 
-0.032 -0.000 0.022 0.022 -0.032 0.017 -0.027 66.200 18.200 2.247 
-0.037 -0.039 -0.007 0.042 -0.017 -0.020 -0.000 66.000 19.000 2.227 
-0.010 -0.032 -0.027 0.024 0.007 -0.027 0.027 65.800 20.000 2.208 
-0.015 -0.068 -0.056 0.044 0.020 -0.061 0.027 65.600 21.200 2.188 
-0.010 -0.085 -0.083 0.051 0.034 -0.081 0.039 65.400 23.000 2.178 
-0.005 -0.085 -0.085 0.049 0.039 -0.083 0.039 65.200 25.200 2.168 
-0.002 -0.081 -0.081 0.044 0.039 -0.078 0.049 65.000 28.000 2.159 
-0.022 -0.107 -0.090 0.068 0.032 -0.095 0.044 65.000 31.400 2.149 
-0.002 -0.098 -0.103 0.054 0.046 -0.095 0.049 65.000 35.400 2.139 
0.005 -0.103 -0.112 0.051 0.056 -0.105 0.044 65.000 39.800 2.129 
-0.007 -0.117 -0.115 0.066 0.051 -0.112 0.051 65.000 44.800 2.120 
-0.024 -0.139 -0.120 0.085 0.046 -0.127 0.049 65.000 50.400 2.110 
0.007 -0.115 -0.129 0.059 0.066 -0.117 0.056 65.200 56.000 2.100 
0.005 -0.122 -0.134 0.063 0.066 -0.125 0.049 65.400 62.200 2.090 
0.017 -0.125 -0.147 0.056 0.081 -0.132 0.051 65.600 68.400 2.081 
0.020 -0.125 -0.149 0.056 0.083 -0.134 0.051 65.800 74.600 2.071 
0.017 -0.127 -0.151 0.059 0.081 -0.134 0.061 66.200 80.800 2.061 
0.012 -0.134 -0.151 0.063 0.081 -0.139 0.066 66.400 87.000 2.051 
0.012 -0.137 -0.154 0.066 0.081 -0.142 0.059 67.000 92.800 2.042 
0.034 -0.127 -0.164 0.049 0.098 -0.144 0.066 67.400 98.200 2.032 
0.024 -0.142 -0.171 0.061 0.095 -0.154 0.068 68.000 103.000 2.017 
0.015 -0.151 -0.168 0.071 0.090 -0.159 0.066 68.800 107.200 2.002 
0.015 -0.142 -0.166 0.068 0.085 -0.149 0.063 69.800 111.000 1.988 
0.037 -0.137 -0.176 0.051 0.105 -0.154 0.068 71.000 114.000 1.973 
0.029 -0.147 -0.183 0.063 0.103 -0.161 0.066 72.200 116.200 1.963 
0.049 -0.147 -0.200 0.051 0.122 -0.171 0.068 73.800 117.800 1.954 
0.037 -0.154 -0.195 0.061 0.115 -0.171 0.071 75.400 118.800 1.944 
0.034 -0.164 -0.195 0.063 0.117 -0.181 0.076 77.000 119.400 1.934 
0.054 -0.154 -0.212 0.054 0.132 -0.181 0.076 78.600 119.400 1.919 
0.051 -0.159 -0.215 0.056 0.132 -0.183 0.078 80.000 119.000 1.905 
0.046 -0.159 -0.210 0.059 0.127 -0.181 0.076 81.400 118.600 1.890 
0.056 -0.159 -0.222 0.056 0.137 -0.186 0.083 82.800 117.800 1.875 
0.051 -0.159 -0.217 0.059 0.132 -0.183 0.083 84.000 117.000 1.871 
0.039 -0.176 -0.222 0.073 0.127 -0.195 0.081 85.200 116.000 1.866 
0.073 -0.142 -0.220 0.037 0.144 -0.178 0.088 86.600 115.400 1.861 
0.059 -0.144 -0.210 0.046 0.132 -0.173 0.083 88.200 114.600 1.856 
0.071 -0.139 -0.215 0.037 0.142 -0.173 0.076 89.800 114.200 1.846 
0.071 -0.137 -0.208 0.034 0.139 -0.171 0.076 91.800 113.800 1.836 
0.051 -0.139 -0.193 0.046 0.122 -0.164 0.078 93.600 113.600 1.827 
0.066 -0.125 -0.193 0.032 0.129 -0.156 0.073 95.200 113.400 1.817 
0.054 -0.120 -0.181 0.037 0.115 -0.147 0.073 96.600 113.600 1.807 
0.073 -0.093 -0.173 0.015 0.120 -0.129 0.078 97.600 113.800 1.797 
0.073 -0.068 -0.147 -0.000 0.107 -0.105 0.066 98.400 114.000 1.788 
0.051 -0.073 -0.127 0.012 0.088 -0.098 0.059 98.800 114.200 1.778 
0.044 -0.059 -0.105 0.010 0.073 -0.081 0.046 99.200 114.600 1.763 
0.034 -0.039 -0.076 0.005 0.054 -0.056 0.034 99.600 115.000 1.748 
0.056 0.007 -0.051 -0.029 0.054 -0.020 0.024 100.200 115.200 1.734 
0.051 0.027 -0.024 -0.039 0.039 0.002 0.017 101.000 115.400 1.719 
0.044 0.037 -0.010 -0.039 0.027 0.015 0.010 101.800 115.400 1.700 
0.046 0.061 0.002 -0.046 0.017 0.039 -0.005 102.800 115.400 1.680 
0.039 0.073 0.027 -0.051 0.002 0.054 -0.005 103.400 115.000 1.661 
0.020 0.063 0.034 -0.037 -0.012 0.054 -0.010 103.800 114.800 1.641 
0.024 0.071 0.039 -0.044 -0.010 0.059 -0.017 103.800 114.200 1.621 
0.034 0.078 0.039 -0.054 -0.005 0.061 -0.015 103.600 113.600 1.602 
0.022 0.073 0.039 -0.042 -0.015 0.063 -0.017 103.200 112.800 1.582 
0.020 0.073 0.044 -0.042 -0.017 0.063 -0.020 102.800 112.000 1.563 
0.017 0.073 0.042 -0.037 -0.020 0.066 -0.017 102.600 111.200 1.568 
0.007 0.061 0.037 -0.024 -0.022 0.059 -0.015 102.600 110.200 1.573 
-0.002 0.051 0.042 -0.017 -0.027 0.054 -0.015 102.800 109.200 1.578 
-0.005 0.046 0.039 -0.015 -0.027 0.049 -0.017 103.400 108.200 1.582 
-0.002 0.046 0.042 -0.017 -0.024 0.049 -0.017 103.800 107.000 1.612 
-0.005 0.044 0.042 -0.015 -0.027 0.046 -0.020 104.200 106.000 1.641 
-0.000 0.046 0.044 -0.022 -0.022 0.046 -0.020 104.400 105.000 1.670 
-0.015 0.034 0.037 -0.002 -0.032 0.042 -0.017 104.400 103.800 1.700 
-0.015 0.032 0.037 -0.002 -0.029 0.039 -0.015 104.200 102.600 1.768 
-0.020 0.027 0.029 0.005 -0.032 0.037 -0.022 104.000 101.400 1.836 
-0.007 0.037 0.037 -0.010 -0.024 0.042 -0.017 103.600 100.200 1.905 
-0.002 0.039 0.034 -0.015 -0.022 0.042 -0.020 103.400 98.800 1.973 
-0.007 0.042 0.034 -0.010 -0.027 0.046 -0.015 103.200 97.400 2.061 
-0.010 0.029 0.027 -0.002 -0.024 0.034 -0.015 103.000 95.800 2.149 
-0.020 0.032 0.042 -0.000 -0.034 0.042 -0.015 102.800 94.000 2.237 
-0.007 0.034 0.034 -0.010 -0.024 0.039 -0.010 102.400 92.000 2.325 
-0.005 0.034 0.034 -0.012 -0.022 0.037 -0.005 101.800 89.800 2.422 
-0.010 0.029 0.032 -0.005 -0.024 0.034 -0.012 101.200 87.200 2.520 
-0.010 0.029 0.032 -0.005 -0.024 0.034 -0.012 100.400 84.400 2.618 
-0.012 0.027 0.027 -0.000 -0.024 0.034 -0.015 99.600 81.200 2.716 
-0.000 0.042 0.032 -0.015 -0.020 0.042 -0.010 98.800 77.800 2.803 
-0.012 0.032 0.029 -0.002 -0.027 0.039 -0.010 98.000 74.200 2.891 
-0.017 0.017 0.027 0.005 -0.024 0.027 -0.015 97.200 70.400 2.979 
