I II III aVL aVF V1 V2 LV AO Resp SPO2
-0.000 -0.042 -0.000 -0.002 -0.029 0.010 0.020 -2.000 82.000 -0.388 1.509 
-0.000 -0.063 -0.000 -0.005 -0.044 0.012 0.032 -1.800 82.600 -0.388 1.485 
-0.000 -0.034 -0.000 -0.002 -0.024 0.022 0.015 -1.800 83.600 -0.391 1.460 
-0.000 -0.029 -0.000 -0.012 -0.015 0.037 0.017 -1.800 84.600 -0.393 1.436 
-0.000 -0.024 -0.000 -0.020 -0.007 0.051 0.017 -1.800 85.600 -0.396 1.411 
-0.000 -0.020 -0.000 -0.022 -0.002 0.071 0.015 -1.800 86.600 -0.398 1.387 
-0.000 0.002 -0.000 -0.032 0.020 0.107 0.007 -1.800 87.600 -0.398 1.328 
-0.000 0.005 -0.000 -0.042 0.024 0.110 0.010 -1.800 88.600 -0.396 1.270 
-0.000 0.007 -0.000 -0.042 0.027 0.090 0.007 -1.800 89.200 -0.396 1.211 
-0.000 0.037 -0.000 -0.056 0.056 0.010 -0.002 -1.800 90.000 -0.393 1.153 
-0.000 0.066 -0.000 -0.063 0.083 -0.063 -0.015 -1.800 90.400 -0.393 1.133 
-0.000 0.066 -0.000 -0.061 0.081 -0.088 -0.015 -1.800 90.800 -0.396 1.114 
-0.000 0.066 -0.000 -0.063 0.083 -0.117 -0.015 -1.800 90.800 -0.396 1.094 
-0.000 0.081 -0.000 -0.071 0.098 -0.127 -0.020 -1.800 91.000 -0.398 1.074 
-0.000 0.093 -0.000 -0.059 0.100 -0.134 -0.029 -1.800 90.600 -0.398 1.070 
-0.000 0.103 -0.000 -0.063 0.110 -0.142 -0.032 -1.800 90.400 -0.396 1.065 
-0.000 0.122 -0.000 -0.063 0.125 -0.161 -0.042 -1.800 89.800 -0.396 1.060 
-0.000 0.137 -0.000 -0.054 0.129 -0.176 -0.054 -1.800 89.200 -0.393 1.055 
-0.000 0.142 -0.000 -0.051 0.132 -0.171 -0.056 -1.800 88.400 -0.393 1.079 
-0.000 0.134 -0.000 -0.044 0.125 -0.156 -0.054 -2.000 87.600 -0.393 1.104 
-0.000 0.120 -0.000 -0.039 0.110 -0.151 -0.049 -2.000 86.800 -0.393 1.128 
-0.000 0.098 -0.000 -0.027 0.088 -0.120 -0.042 -2.000 86.000 -0.393 1.153 
-0.000 0.073 -0.000 -0.020 0.066 -0.093 -0.032 -2.000 85.400 -0.391 1.211 
-0.000 0.051 -0.000 -0.012 0.046 -0.083 -0.024 -1.800 84.600 -0.388 1.270 
-0.000 0.002 -0.000 -0.007 0.007 -0.068 -0.000 -1.800 84.000 -0.386 1.328 
-0.000 -0.017 -0.000 -0.012 -0.005 -0.046 0.010 -1.800 83.400 -0.383 1.387 
-0.000 -0.046 -0.000 -0.010 -0.029 -0.034 0.024 -1.800 83.000 -0.383 1.475 
-0.000 -0.046 -0.000 0.005 -0.037 -0.022 0.020 -1.800 82.600 -0.383 1.563 
-0.000 -0.071 -0.000 0.012 -0.059 -0.022 0.029 -1.800 82.200 -0.383 1.651 
-0.000 -0.081 -0.000 0.012 -0.066 -0.027 0.034 -1.800 82.000 -0.383 1.739 
-0.000 -0.085 -0.000 0.010 -0.068 -0.017 0.037 -1.800 81.800 -0.383 1.856 
-0.000 -0.090 -0.000 -0.000 -0.066 -0.027 0.044 -1.800 81.800 -0.381 1.973 
