I II III aVL aVF V1 V2 LV AO Resp SPO2
-0.000 -0.017 -0.000 0.020 -0.022 -0.042 -0.000 -1.800 78.200 0.274 1.973 
-0.000 -0.051 -0.000 0.012 -0.044 -0.024 0.020 -1.800 78.000 0.276 2.061 
-0.000 -0.071 -0.000 0.017 -0.061 -0.002 0.027 -1.800 78.000 0.278 2.149 
-0.000 -0.107 -0.000 0.029 -0.095 0.005 0.042 -2.000 78.000 0.278 2.256 
-0.000 -0.127 -0.000 0.039 -0.115 0.005 0.049 -2.000 78.000 0.276 2.364 
-0.000 -0.142 -0.000 0.046 -0.129 0.015 0.054 -2.000 78.000 0.276 2.471 
-0.000 -0.142 -0.000 0.046 -0.129 0.015 0.054 -2.000 78.000 0.274 2.579 
-0.000 -0.137 -0.000 0.039 -0.122 0.024 0.054 -2.000 78.000 0.274 2.691 
-0.000 -0.142 -0.000 0.044 -0.127 0.015 0.054 -1.800 78.200 0.276 2.803 
-0.000 -0.139 -0.000 0.044 -0.125 0.010 0.054 -1.800 78.400 0.276 2.916 
-0.000 -0.166 -0.000 -0.046 -0.100 0.063 0.095 -1.800 78.600 0.278 3.028 
-0.000 -0.127 -0.000 0.081 -0.134 -0.010 0.034 -1.800 78.600 0.278 3.131 
-0.000 -0.291 -0.000 0.054 -0.244 0.095 0.125 -1.800 78.600 0.281 3.233 
-0.000 -0.230 -0.000 0.039 -0.190 0.066 0.100 -1.800 78.600 0.281 3.336 
-0.000 -0.151 -0.000 0.027 -0.127 0.022 0.063 -1.800 78.400 0.283 3.438 
-0.000 -0.147 -0.000 0.007 -0.112 0.017 0.068 -1.800 78.200 0.283 3.512 
-0.000 -0.147 -0.000 -0.017 -0.100 -0.002 0.076 -1.800 78.000 0.281 3.585 
-0.000 -0.166 -0.000 -0.027 -0.110 -0.000 0.090 -1.800 77.600 0.281 3.658 
-0.000 -0.188 -0.000 -0.032 -0.125 0.012 0.103 -1.800 77.200 0.278 3.731 
-0.000 -0.198 -0.000 -0.061 -0.117 0.037 0.117 -1.800 76.800 0.278 3.780 
-0.000 -0.230 -0.000 -0.083 -0.129 0.012 0.139 -1.800 76.400 0.281 3.829 
-0.000 -0.266 -0.000 -0.095 -0.151 -0.034 0.164 -1.800 76.000 0.281 3.878 
-0.000 -0.264 -0.000 -0.129 -0.132 -0.078 0.173 -1.800 75.600 0.283 3.927 
-0.000 -0.266 -0.000 -0.151 -0.122 -0.186 0.181 -1.800 75.200 0.283 3.951 
-0.000 -0.237 -0.000 -0.188 -0.083 -0.291 0.178 -1.800 74.800 0.281 3.976 
-0.000 -0.244 -0.000 -0.171 -0.098 -0.391 0.176 -1.800 74.600 0.281 4.000 
-0.000 -0.286 -0.000 -0.125 -0.151 -0.545 0.183 -1.800 74.200 0.278 4.024 
-0.000 -0.320 -0.000 -0.095 -0.190 -0.781 0.190 -1.800 74.000 0.281 4.024 
-0.000 -0.369 -0.000 -0.029 -0.261 -0.879 0.193 -1.800 73.800 0.283 4.024 
-0.000 -0.359 -0.000 0.015 -0.276 -0.867 0.173 -1.800 73.600 0.286 4.024 
-0.000 -0.352 -0.000 0.039 -0.283 -0.786 0.161 -1.800 73.400 0.288 4.024 
-0.000 -0.349 -0.000 0.093 -0.308 -0.750 0.142 -1.800 73.400 0.288 4.005 
-0.000 -0.335 -0.000 0.147 -0.322 -0.654 0.117 -1.800 73.400 0.288 3.985 
-0.000 -0.298 -0.000 0.168 -0.308 -0.532 0.090 -1.800 73.400 0.286 3.966 
-0.000 -0.254 -0.000 0.144 -0.261 -0.447 0.076 -1.800 73.400 0.283 3.946 
-0.000 -0.220 -0.000 0.115 -0.222 -0.313 0.068 -1.800 73.400 0.286 3.912 
-0.000 -0.205 -0.000 0.090 -0.198 -0.195 0.071 -1.800 73.400 0.286 3.878 
-0.000 -0.183 -0.000 0.061 -0.166 -0.120 0.068 -1.800 73.400 0.286 3.844 
-0.000 -0.144 -0.000 0.037 -0.125 -0.054 0.059 -2.000 73.400 0.288 3.810 
-0.000 -0.117 -0.000 0.024 -0.100 -0.010 0.049 -2.000 73.400 0.288 3.761 
-0.000 -0.098 -0.000 0.034 -0.090 -0.002 0.034 -2.000 73.400 0.288 3.712 
-0.000 -0.085 -0.000 0.039 -0.083 0.012 0.027 -2.000 73.400 0.288 3.663 
-0.000 -0.083 -0.000 0.037 -0.081 0.027 0.027 -2.000 73.200 0.288 3.614 
-0.000 -0.083 -0.000 0.042 -0.083 0.034 0.024 -2.000 73.000 0.288 3.556 
-0.000 -0.083 -0.000 0.044 -0.083 0.034 0.024 -2.000 72.800 0.291 3.497 
-0.000 -0.083 -0.000 0.044 -0.083 0.044 0.024 -2.000 72.600 0.291 3.438 
-0.000 -0.078 -0.000 0.044 -0.081 0.039 0.022 -2.000 72.400 0.293 3.380 
-0.000 -0.076 -0.000 0.044 -0.078 0.046 0.022 -2.000 72.200 0.293 3.311 
-0.000 -0.078 -0.000 0.051 -0.083 0.039 0.020 -2.000 72.200 0.293 3.243 
-0.000 -0.083 -0.000 0.042 -0.083 0.046 0.024 -2.000 72.200 0.295 3.175 
-0.000 -0.083 -0.000 0.046 -0.085 0.046 0.024 -1.800 72.200 0.298 3.106 
-0.000 -0.073 -0.000 0.044 -0.076 0.042 0.020 -1.800 72.200 0.298 3.043 
-0.000 -0.073 -0.000 0.044 -0.076 0.039 0.020 -1.800 72.000 0.298 2.979 
-0.000 -0.071 -0.000 0.051 -0.078 0.039 0.017 -1.800 71.600 0.298 2.916 
-0.000 -0.063 -0.000 0.049 -0.071 0.042 0.012 -2.000 71.200 0.298 2.852 
-0.000 -0.054 -0.000 0.042 -0.061 0.037 0.010 -2.000 70.800 0.298 2.794 
-0.000 -0.054 -0.000 0.049 -0.063 0.029 0.007 -2.000 70.200 0.300 2.735 
-0.000 -0.054 -0.000 0.046 -0.063 0.034 0.010 -2.000 70.200 0.300 2.676 
-0.000 -0.042 -0.000 0.044 -0.051 0.034 0.005 -1.800 70.200 0.303 2.618 
-0.000 -0.042 -0.000 0.037 -0.049 0.034 0.007 -1.800 70.600 0.303 2.574 
-0.000 -0.039 -0.000 0.044 -0.051 0.022 0.002 -1.800 71.000 0.305 2.530 
-0.000 -0.044 -0.000 0.039 -0.051 0.029 0.007 -1.800 71.200 0.305 2.486 
-0.000 -0.037 -0.000 0.039 -0.046 0.032 0.002 -1.800 71.600 0.308 2.442 
-0.000 -0.024 -0.000 0.039 -0.037 0.029 -0.002 -1.800 71.600 0.308 2.418 
-0.000 -0.029 -0.000 0.042 -0.042 0.015 -0.002 -1.800 71.800 0.308 2.393 
-0.000 -0.024 -0.000 0.032 -0.034 0.020 -0.000 -1.800 72.000 0.310 2.369 
-0.000 -0.017 -0.000 0.034 -0.029 0.017 -0.005 -1.800 72.200 0.313 2.344 
-0.000 -0.002 -0.000 0.032 -0.017 0.015 -0.012 -2.000 73.200 0.313 2.339 
-0.000 0.002 -0.000 0.032 -0.012 0.005 -0.015 -2.000 74.200 0.315 2.335 
-0.000 -0.002 -0.000 0.029 -0.015 0.010 -0.010 -2.200 76.200 0.315 2.330 
-0.000 0.010 -0.000 0.034 -0.010 0.005 -0.020 -2.200 78.400 0.317 2.325 
-0.000 0.022 -0.000 0.024 0.005 0.007 -0.022 -2.200 80.800 0.320 2.325 
-0.000 0.022 -0.000 0.029 0.002 -0.007 -0.022 -2.000 83.400 0.322 2.325 
-0.000 0.029 -0.000 0.027 0.010 -0.007 -0.027 -1.800 85.600 0.322 2.325 
-0.000 0.049 -0.000 0.022 0.027 -0.010 -0.034 -1.600 88.000 0.327 2.325 
-0.000 0.054 -0.000 0.020 0.032 -0.007 -0.037 -1.600 89.800 0.327 2.330 
-0.000 0.059 -0.000 0.020 0.034 -0.022 -0.039 -1.600 91.800 0.327 2.335 
-0.000 0.063 -0.000 0.022 0.037 -0.020 -0.042 -1.600 93.600 0.327 2.339 
-0.000 0.083 -0.000 0.020 0.054 -0.020 -0.051 -1.600 95.200 0.330 2.344 
-0.000 0.093 -0.000 0.015 0.063 -0.022 -0.054 -1.600 96.800 0.330 2.354 
-0.000 0.100 -0.000 0.020 0.066 -0.022 -0.059 -1.800 98.400 0.330 2.364 
-0.000 0.107 -0.000 0.022 0.071 -0.024 -0.063 -2.000 99.800 0.330 2.374 
-0.000 0.125 -0.000 0.020 0.085 -0.022 -0.071 -2.200 101.000 0.330 2.383 
-0.000 0.132 -0.000 0.017 0.090 -0.020 -0.073 -2.200 101.800 0.330 2.388 
-0.000 0.142 -0.000 0.010 0.103 -0.027 -0.076 -2.200 102.600 0.330 2.393 
-0.000 0.154 -0.000 0.012 0.110 -0.029 -0.083 -2.200 102.800 0.330 2.398 
-0.000 0.164 -0.000 0.010 0.120 -0.027 -0.088 -2.200 103.000 0.330 2.403 
-0.000 0.186 -0.000 -0.000 0.139 -0.020 -0.095 -2.000 102.800 0.330 2.408 
-0.000 0.186 -0.000 0.002 0.139 -0.020 -0.095 -1.800 102.600 0.330 2.413 
-0.000 0.195 -0.000 0.005 0.144 -0.015 -0.103 -1.800 102.400 0.330 2.418 
-0.000 0.203 -0.000 0.005 0.151 -0.012 -0.105 -1.800 102.000 0.330 2.422 
-0.000 0.210 -0.000 -0.012 0.164 -0.007 -0.103 -1.600 101.800 0.330 2.418 
-0.000 0.212 -0.000 -0.000 0.161 -0.005 -0.107 -1.600 101.400 0.330 2.413 
-0.000 0.212 -0.000 -0.010 0.166 -0.000 -0.105 -1.600 101.400 0.330 2.408 
-0.000 0.212 -0.000 -0.017 0.168 0.005 -0.103 -1.800 101.200 0.330 2.403 
-0.000 0.208 -0.000 -0.015 0.164 0.012 -0.100 -1.800 101.000 0.327 2.393 
-0.000 0.210 -0.000 -0.017 0.166 0.005 -0.103 -1.800 101.000 0.327 2.383 
-0.000 0.195 -0.000 -0.012 0.154 0.017 -0.095 -2.000 101.000 0.325 2.374 
-0.000 0.188 -0.000 -0.022 0.154 0.022 -0.088 -2.000 101.000 0.322 2.364 
-0.000 0.176 -0.000 -0.020 0.142 0.037 -0.083 -2.000 101.200 0.322 2.354 
-0.000 0.164 -0.000 -0.012 0.129 0.032 -0.081 -2.000 101.400 0.322 2.344 
-0.000 0.137 -0.000 -0.010 0.107 0.039 -0.068 -2.000 101.800 0.322 2.335 
-0.000 0.117 -0.000 -0.015 0.095 0.046 -0.056 -1.800 102.200 0.322 2.325 
-0.000 0.098 -0.000 -0.012 0.081 0.051 -0.046 -1.800 102.400 0.317 2.315 
-0.000 0.085 -0.000 -0.007 0.068 0.046 -0.042 -1.800 102.800 0.315 2.305 
-0.000 0.061 -0.000 -0.005 0.049 0.044 -0.032 -1.800 103.000 0.310 2.295 
-0.000 0.044 -0.000 -0.012 0.039 0.049 -0.020 -1.600 103.200 0.308 2.286 
-0.000 0.034 -0.000 -0.012 0.032 0.054 -0.015 -1.800 103.000 0.308 2.266 
-0.000 0.007 -0.000 -0.005 0.010 0.049 -0.005 -1.800 103.000 0.305 2.247 
-0.000 -0.007 -0.000 -0.000 -0.005 0.049 0.002 -1.800 102.600 0.305 2.227 
-0.000 -0.017 -0.000 0.005 -0.015 0.046 0.005 -1.800 102.400 0.303 2.208 
-0.000 -0.027 -0.000 -0.000 -0.020 0.046 0.012 -2.000 101.800 0.300 2.193 
-0.000 -0.039 -0.000 0.002 -0.029 0.044 0.017 -2.000 101.200 0.298 2.178 
-0.000 -0.042 -0.000 0.005 -0.032 0.042 0.017 -2.000 100.400 0.295 2.164 
-0.000 -0.054 -0.000 0.005 -0.042 0.039 0.022 -2.000 99.400 0.293 2.149 
-0.000 -0.051 -0.000 0.002 -0.039 0.046 0.022 -2.000 98.200 0.291 2.129 
-0.000 -0.063 -0.000 -0.000 -0.046 0.037 0.029 -2.000 97.000 0.288 2.110 
-0.000 -0.063 -0.000 0.005 -0.049 0.039 0.027 -2.000 95.400 0.288 2.090 
-0.000 -0.061 -0.000 0.005 -0.046 0.044 0.027 -1.800 93.800 0.283 2.071 
-0.000 -0.066 -0.000 0.010 -0.054 0.042 0.027 -1.800 92.000 0.281 2.056 
-0.000 -0.071 -0.000 0.010 -0.056 0.039 0.029 -1.800 90.200 0.278 2.042 
-0.000 -0.083 -0.000 0.010 -0.066 0.037 0.037 -1.800 88.200 0.276 2.027 
-0.000 -0.078 -0.000 0.002 -0.059 0.039 0.037 -1.800 86.200 0.274 2.012 
-0.000 -0.066 -0.000 0.002 -0.049 0.037 0.029 -1.800 84.400 0.271 1.993 
-0.000 -0.071 -0.000 0.007 -0.056 0.039 0.032 -1.800 82.400 0.271 1.973 
-0.000 -0.081 -0.000 0.005 -0.061 0.034 0.037 -1.800 81.000 0.269 1.954 
-0.000 -0.081 -0.000 0.007 -0.063 0.034 0.037 -2.000 79.600 0.266 1.934 
-0.000 -0.071 -0.000 0.010 -0.056 0.037 0.029 -2.000 79.200 0.264 1.919 
-0.000 -0.076 -0.000 0.002 -0.056 0.032 0.034 -2.000 78.600 0.261 1.905 
-0.000 -0.073 -0.000 0.002 -0.056 0.032 0.034 -2.000 79.000 0.259 1.890 
-0.000 -0.076 -0.000 0.007 -0.059 0.032 0.034 -2.000 79.200 0.254 1.875 
-0.000 -0.076 -0.000 0.010 -0.061 0.032 0.032 -2.000 80.000 0.252 1.861 
-0.000 -0.073 -0.000 0.007 -0.059 0.032 0.032 -2.000 80.800 0.249 1.846 
-0.000 -0.068 -0.000 0.007 -0.054 0.034 0.029 -2.000 82.000 0.247 1.832 
-0.000 -0.063 -0.000 0.002 -0.049 0.044 0.029 -1.800 83.200 0.244 1.817 
-0.000 -0.056 -0.000 -0.005 -0.039 0.054 0.027 -1.800 84.400 0.242 1.802 
-0.000 -0.056 -0.000 -0.005 -0.039 0.066 0.027 -1.800 85.800 0.239 1.788 
-0.000 -0.042 -0.000 -0.012 -0.024 0.083 0.022 -1.800 87.200 0.234 1.773 
-0.000 -0.027 -0.000 -0.012 -0.012 0.110 0.015 -1.800 88.400 0.232 1.758 
-0.000 -0.012 -0.000 -0.024 0.005 0.120 0.012 -1.800 89.400 0.230 1.744 
-0.000 -0.005 -0.000 -0.020 0.007 0.112 0.007 -1.800 90.400 0.227 1.729 
-0.000 0.012 -0.000 -0.037 0.029 0.059 0.005 -1.800 91.000 0.225 1.714 
-0.000 0.034 -0.000 -0.056 0.054 -0.029 -0.000 -2.000 91.800 0.222 1.700 
-0.000 0.046 -0.000 -0.063 0.068 -0.071 -0.005 -2.000 92.000 0.217 1.685 
-0.000 0.056 -0.000 -0.059 0.073 -0.103 -0.010 -2.200 92.200 0.215 1.670 
-0.000 0.078 -0.000 -0.066 0.093 -0.117 -0.020 -2.200 92.000 0.210 1.656 
-0.000 0.088 -0.000 -0.063 0.098 -0.122 -0.024 -2.000 91.800 0.208 1.641 
-0.000 0.098 -0.000 -0.061 0.105 -0.134 -0.032 -2.000 91.200 0.208 1.636 
-0.000 0.112 -0.000 -0.061 0.115 -0.151 -0.039 -2.000 90.800 0.205 1.631 
-0.000 0.120 -0.000 -0.054 0.117 -0.166 -0.044 -1.800 90.000 0.205 1.626 
-0.000 0.139 -0.000 -0.054 0.132 -0.166 -0.054 -1.600 89.200 0.203 1.621 
-0.000 0.142 -0.000 -0.059 0.137 -0.151 -0.054 -1.600 88.200 0.200 1.636 
-0.000 0.127 -0.000 -0.054 0.122 -0.142 -0.049 -1.600 87.400 0.195 1.651 
-0.000 0.098 -0.000 -0.042 0.095 -0.107 -0.037 -1.600 86.600 0.193 1.665 
-0.000 0.078 -0.000 -0.029 0.073 -0.081 -0.032 -1.600 85.600 0.188 1.680 
-0.000 0.059 -0.000 -0.015 0.051 -0.063 -0.027 -1.800 85.000 0.188 1.724 
-0.000 0.015 -0.000 -0.012 0.017 -0.054 -0.005 -1.800 84.200 0.188 1.768 
-0.000 -0.012 -0.000 -0.002 -0.007 -0.032 0.005 -1.800 83.800 0.186 1.812 
-0.000 -0.051 -0.000 -0.000 -0.037 -0.015 0.024 -2.000 83.400 0.183 1.856 
-0.000 -0.068 -0.000 0.010 -0.056 -0.015 0.029 -2.000 83.200 0.181 1.919 
-0.000 -0.085 -0.000 0.015 -0.071 -0.005 0.037 -2.000 82.800 0.178 1.983 
-0.000 -0.088 -0.000 0.020 -0.076 -0.010 0.034 -2.000 82.800 0.176 2.046 
-0.000 -0.095 -0.000 0.020 -0.081 -0.005 0.039 -1.800 82.800 0.173 2.110 
-0.000 -0.088 -0.000 0.015 -0.073 -0.005 0.037 -1.800 82.800 0.171 2.198 
-0.000 -0.090 -0.000 0.020 -0.076 -0.007 0.037 -1.800 83.000 0.171 2.286 
-0.000 0.046 -0.000 -0.015 0.044 -0.085 -0.020 -1.800 83.000 0.168 2.374 
-0.000 -0.081 -0.000 0.054 -0.085 -0.029 0.020 -1.800 83.200 0.166 2.462 
-0.000 -0.168 -0.000 0.034 -0.142 0.032 0.071 -1.800 83.200 0.164 2.559 
-0.000 -0.232 -0.000 0.017 -0.181 0.063 0.107 -1.800 83.200 0.164 2.657 
-0.000 -0.110 -0.000 0.007 -0.085 -0.002 0.051 -1.800 83.200 0.161 2.755 
-0.000 -0.105 -0.000 -0.010 -0.073 -0.000 0.054 -1.800 83.200 0.159 2.852 
-0.000 -0.095 -0.000 -0.042 -0.049 -0.015 0.059 -1.800 83.200 0.159 2.940 
-0.000 -0.127 -0.000 -0.044 -0.073 -0.020 0.076 -1.800 83.000 0.159 3.028 
-0.000 -0.154 -0.000 -0.054 -0.088 -0.010 0.093 -1.800 82.800 0.156 3.116 
-0.000 -0.173 -0.000 -0.076 -0.090 0.010 0.110 -1.800 82.600 0.156 3.204 
-0.000 -0.205 -0.000 -0.093 -0.107 0.029 0.132 -1.800 82.400 0.154 3.277 
-0.000 -0.239 -0.000 -0.107 -0.125 -0.005 0.154 -1.600 82.000 0.151 3.350 
-0.000 -0.278 -0.000 -0.122 -0.147 -0.015 0.178 -1.800 81.800 0.149 3.424 
-0.000 -0.308 -0.000 -0.127 -0.166 -0.071 0.193 -1.800 81.400 0.147 3.497 
-0.000 -0.252 -0.000 -0.178 -0.098 -0.200 0.183 -1.800 81.000 0.144 3.546 
-0.000 -0.208 -0.000 -0.198 -0.056 -0.327 0.168 -2.000 80.600 0.142 3.595 
-0.000 -0.254 -0.000 -0.159 -0.110 -0.427 0.178 -2.000 80.400 0.139 3.643 
-0.000 -0.261 -0.000 -0.122 -0.134 -0.684 0.168 -2.000 80.000 0.137 3.692 
-0.000 -0.310 -0.000 -0.073 -0.195 -0.862 0.178 -2.000 79.600 0.137 3.712 
-0.000 -0.315 -0.000 -0.012 -0.230 -0.899 0.159 -2.000 79.400 0.134 3.731 
-0.000 -0.283 -0.000 0.007 -0.215 -0.803 0.137 -2.000 79.200 0.134 3.751 
-0.000 -0.295 -0.000 0.063 -0.252 -0.767 0.125 -1.800 79.000 0.132 3.770 
-0.000 -0.298 -0.000 0.120 -0.283 -0.723 0.107 -1.800 79.000 0.129 3.770 
-0.000 -0.274 -0.000 0.166 -0.288 -0.593 0.078 -1.800 78.800 0.125 3.770 
-0.000 -0.220 -0.000 0.147 -0.237 -0.523 0.059 -1.800 78.600 0.122 3.770 
-0.000 -0.183 -0.000 0.105 -0.188 -0.388 0.054 -1.800 78.400 0.117 3.770 
-0.000 -0.166 -0.000 0.076 -0.161 -0.274 0.056 -1.800 78.200 0.117 3.702 
-0.000 -0.149 -0.000 0.054 -0.137 -0.183 0.054 -1.800 78.000 0.117 3.634 
-0.000 -0.127 -0.000 0.029 -0.110 -0.110 0.051 -1.800 77.800 0.115 3.565 
-0.000 -0.095 -0.000 0.022 -0.081 -0.059 0.039 -1.800 77.600 0.112 3.497 
-0.000 -0.073 -0.000 0.020 -0.063 -0.051 0.027 -2.000 77.600 -0.059 3.443 
-0.000 -0.061 -0.000 0.024 -0.056 -0.037 0.020 -2.000 77.400 -0.063 3.389 
-0.000 -0.054 -0.000 0.024 -0.051 -0.020 0.017 -2.000 77.400 -0.237 3.336 
-0.000 -0.042 -0.000 0.027 -0.044 -0.017 0.010 -2.000 77.200 -0.242 3.282 
-0.000 -0.049 -0.000 0.027 -0.049 -0.012 0.012 -2.000 77.200 -0.073 3.219 
-0.000 -0.054 -0.000 0.027 -0.054 -0.010 0.015 -2.000 77.200 -0.076 3.155 
-0.000 -0.054 -0.000 0.032 -0.056 0.005 0.015 -2.000 77.000 0.090 3.092 
-0.000 -0.049 -0.000 0.020 -0.046 -0.000 0.015 -2.000 77.000 0.088 3.028 
-0.000 -0.044 -0.000 0.020 -0.042 -0.000 0.012 -2.000 77.000 0.085 2.960 
-0.000 -0.046 -0.000 0.029 -0.049 0.005 0.012 -1.800 77.000 0.085 2.891 
-0.000 -0.051 -0.000 0.027 -0.051 -0.000 0.015 -1.800 77.000 0.083 2.823 
-0.000 -0.034 -0.000 0.022 -0.037 0.005 0.007 -1.800 76.800 0.081 2.755 
-0.000 -0.037 -0.000 0.022 -0.037 -0.000 0.010 -1.800 76.600 0.078 2.696 
-0.000 -0.034 -0.000 0.027 -0.039 -0.002 0.005 -1.800 76.400 0.076 2.637 
-0.000 -0.039 -0.000 0.022 -0.039 0.005 0.010 -1.800 76.200 0.073 2.579 
-0.000 -0.029 -0.000 0.024 -0.034 0.005 0.005 -1.800 75.800 0.071 2.520 
-0.000 -0.024 -0.000 0.024 -0.029 -0.000 0.002 -2.000 75.600 0.068 2.466 
-0.000 -0.027 -0.000 0.022 -0.029 -0.005 0.005 -2.000 75.400 0.066 2.413 
-0.000 -0.022 -0.000 0.027 -0.029 -0.007 -0.000 -2.000 75.200 0.063 2.359 
-0.000 -0.017 -0.000 0.024 -0.024 -0.010 -0.002 -2.000 75.000 0.061 2.305 
-0.000 -0.007 -0.000 0.020 -0.015 -0.017 -0.005 -2.000 74.800 0.059 2.271 
-0.000 -0.010 -0.000 0.022 -0.017 -0.017 -0.005 -1.800 74.800 0.056 2.237 
-0.000 -0.010 -0.000 0.022 -0.017 -0.017 -0.005 -1.800 74.800 0.054 2.203 
-0.000 -0.007 -0.000 0.012 -0.010 -0.012 -0.002 -1.800 75.000 0.051 2.168 
-0.000 0.002 -0.000 0.017 -0.005 -0.015 -0.010 -1.800 75.400 0.051 2.149 
-0.000 0.012 -0.000 0.010 0.005 -0.022 -0.012 -1.800 76.000 0.049 2.129 
-0.000 0.007 -0.000 0.015 -0.000 -0.020 -0.010 -1.800 76.800 0.049 2.110 
-0.000 0.020 -0.000 0.012 0.010 -0.017 -0.017 -1.800 77.600 0.046 2.090 
-0.000 0.027 -0.000 0.012 0.015 -0.022 -0.020 -1.800 78.800 0.044 2.081 
-0.000 0.024 -0.000 0.012 0.012 -0.027 -0.020 -1.800 80.000 0.039 2.071 
-0.000 0.029 -0.000 0.010 0.017 -0.027 -0.020 -1.800 81.800 0.037 2.061 
-0.000 0.044 -0.000 0.005 0.032 -0.027 -0.027 -1.800 83.600 0.032 2.051 
-0.000 0.044 -0.000 0.012 0.027 -0.029 -0.029 -1.800 85.600 0.032 2.056 
-0.000 0.046 -0.000 0.007 0.032 -0.032 -0.027 -1.800 87.600 0.032 2.061 
-0.000 0.063 -0.000 0.002 0.046 -0.032 -0.034 -1.800 89.600 0.029 2.066 
-0.000 0.068 -0.000 0.010 0.046 -0.032 -0.039 -1.800 91.800 0.027 2.071 
-0.000 0.081 -0.000 0.005 0.059 -0.034 -0.044 -1.800 93.600 0.024 2.076 
-0.000 0.081 -0.000 0.007 0.059 -0.039 -0.044 -2.000 95.400 0.022 2.081 
-0.000 0.095 -0.000 0.010 0.068 -0.042 -0.054 -2.000 97.000 0.020 2.085 
-0.000 0.107 -0.000 -0.002 0.083 -0.046 -0.056 -2.000 98.600 0.017 2.090 
-0.000 0.115 -0.000 -0.002 0.088 -0.049 -0.059 -2.000 100.000 0.015 2.100 
-0.000 0.132 -0.000 -0.000 0.100 -0.051 -0.068 -1.800 101.200 0.010 2.110 
-0.000 0.142 -0.000 -0.002 0.107 -0.051 -0.073 -1.800 102.200 0.007 2.120 
-0.000 0.149 -0.000 0.002 0.112 -0.046 -0.078 -1.800 103.200 0.002 2.129 
-0.000 0.173 -0.000 -0.002 0.132 -0.046 -0.088 -1.800 103.800 0.002 2.129 
-0.000 0.183 -0.000 -0.005 0.142 -0.049 -0.093 -1.800 104.400 0.002 2.129 
-0.000 0.193 -0.000 -0.007 0.149 -0.046 -0.095 -1.800 104.600 -0.000 2.129 
-0.000 0.210 -0.000 -0.010 0.164 -0.034 -0.105 -1.800 104.800 -0.000 2.129 
-0.000 0.225 -0.000 -0.012 0.176 -0.034 -0.110 -1.800 104.800 -0.002 2.129 
-0.000 0.237 -0.000 -0.010 0.183 -0.032 -0.117 -1.800 104.800 -0.007 2.129 
-0.000 0.232 -0.000 -0.007 0.178 -0.024 -0.115 -1.800 104.800 -0.010 2.129 
-0.000 0.244 -0.000 -0.020 0.193 -0.022 -0.117 -1.800 104.600 -0.015 2.129 
-0.000 0.261 -0.000 -0.015 0.205 -0.015 -0.127 -1.800 104.200 -0.015 2.125 
-0.000 0.247 -0.000 -0.012 0.193 -0.010 -0.122 -1.800 104.000 -0.017 2.120 
-0.000 0.252 -0.000 -0.015 0.198 -0.000 -0.122 -1.800 103.800 -0.020 2.115 
-0.000 0.256 -0.000 -0.020 0.203 -0.000 -0.125 -2.000 103.600 -0.022 2.110 
-0.000 0.259 -0.000 -0.027 0.208 -0.000 -0.122 -2.000 103.400 -0.027 2.100 
-0.000 0.242 -0.000 -0.022 0.193 0.007 -0.115 -2.000 103.400 -0.029 2.090 
-0.000 0.230 -0.000 -0.024 0.186 0.012 -0.110 -2.000 103.400 -0.034 2.081 
-0.000 0.225 -0.000 -0.020 0.178 0.015 -0.107 -2.000 103.400 -0.037 2.071 
-0.000 0.208 -0.000 -0.022 0.168 0.024 -0.098 -2.000 103.600 -0.042 2.061 
-0.000 0.183 -0.000 -0.027 0.151 0.022 -0.085 -2.000 103.800 -0.044 2.051 
-0.000 0.154 -0.000 -0.027 0.129 0.024 -0.071 -1.800 103.800 -0.049 2.042 
-0.000 0.147 -0.000 -0.032 0.127 0.034 -0.066 -1.800 104.000 -0.051 2.032 
-0.000 0.120 -0.000 -0.027 0.105 0.032 -0.054 -1.800 104.000 -0.056 2.022 
-0.000 0.088 -0.000 -0.024 0.078 0.027 -0.039 -1.800 104.000 -0.059 2.012 
-0.000 0.076 -0.000 -0.017 0.066 0.032 -0.034 -1.800 104.200 -0.063 2.002 
-0.000 0.059 -0.000 -0.020 0.054 0.027 -0.024 -1.800 104.200 -0.066 1.993 
-0.000 0.044 -0.000 -0.015 0.042 0.024 -0.020 -1.800 104.200 -0.071 1.978 
-0.000 0.022 -0.000 -0.007 0.022 0.020 -0.010 -2.000 104.000 -0.073 1.963 
-0.000 -0.000 -0.000 -0.007 0.005 0.020 -0.000 -2.000 103.400 -0.078 1.949 
-0.000 -0.002 -0.000 -0.015 0.007 0.017 0.005 -2.000 102.600 -0.081 1.934 
-0.000 -0.007 -0.000 -0.012 0.002 0.017 0.005 -2.000 101.000 -0.083 1.915 
-0.000 -0.020 -0.000 -0.007 -0.010 0.015 0.010 -2.000 99.600 -0.085 1.895 
-0.000 -0.034 -0.000 -0.007 -0.022 0.015 0.017 -2.000 98.200 -0.085 1.875 
-0.000 -0.034 -0.000 -0.010 -0.020 0.012 0.017 -1.800 97.000 -0.088 1.856 
-0.000 -0.042 -0.000 -0.002 -0.029 0.010 0.020 -1.800 96.400 -0.093 1.836 
-0.000 -0.044 -0.000 -0.005 -0.029 0.015 0.022 -1.800 95.600 -0.095 1.817 
-0.000 -0.051 -0.000 -0.002 -0.037 0.010 0.024 -1.800 94.800 -0.100 1.797 
-0.000 -0.042 -0.000 -0.007 -0.027 0.012 0.022 -1.800 94.000 -0.103 1.778 
