I II III aVR aVL aVF V1 AO SPO2
-0.005 -0.017 -0.020 0.015 0.005 -0.015 -0.012 -8.000 2.149 
-0.010 -0.010 -0.010 0.015 -0.005 -0.005 -0.012 -8.000 2.129 
-0.002 -0.005 -0.007 0.007 -0.000 -0.002 -0.020 -8.000 2.110 
-0.012 -0.015 -0.012 0.020 -0.005 -0.007 -0.012 -7.800 2.090 
-0.010 -0.017 -0.012 0.017 -0.000 -0.012 -0.012 -7.800 2.066 
-0.007 -0.012 -0.005 0.010 -0.000 -0.007 -0.010 -7.800 2.042 
-0.005 -0.007 -0.010 0.010 -0.000 -0.005 -0.017 -7.800 2.017 
-0.007 -0.005 -0.005 0.010 -0.005 -0.000 -0.012 -7.800 1.993 
-0.010 0.002 0.002 0.010 -0.010 0.007 -0.017 -8.000 1.968 
-0.007 0.005 0.010 0.002 -0.010 0.010 -0.027 -8.000 1.944 
-0.005 0.002 -0.000 0.005 -0.005 0.005 -0.022 -8.000 1.919 
-0.007 -0.010 -0.007 0.012 -0.002 -0.005 -0.017 -8.000 1.895 
-0.007 0.005 0.002 0.007 -0.010 0.010 -0.022 -8.000 1.871 
-0.005 0.007 0.012 -0.000 -0.007 0.010 -0.017 -7.800 1.846 
-0.012 -0.000 0.007 0.010 -0.012 0.007 -0.020 -7.800 1.822 
-0.012 -0.010 0.002 0.012 -0.007 -0.002 -0.022 -7.800 1.797 
-0.012 0.002 0.010 0.007 -0.012 0.010 -0.017 -8.000 1.783 
-0.012 0.005 0.015 0.005 -0.015 0.012 -0.017 -8.000 1.768 
-0.017 -0.005 0.007 0.015 -0.015 0.005 -0.024 -8.000 1.753 
-0.020 -0.010 0.002 0.020 -0.015 -0.000 -0.017 -8.000 1.739 
-0.015 -0.000 0.007 0.012 -0.015 0.007 -0.015 -8.000 1.729 
-0.012 0.005 0.012 0.007 -0.015 0.012 -0.017 -8.000 1.719 
-0.012 0.002 0.010 0.007 -0.012 0.010 -0.015 -8.000 1.709 
-0.012 0.015 0.017 0.005 -0.020 0.022 -0.020 -8.000 1.700 
-0.010 0.010 0.022 -0.000 -0.015 0.015 -0.015 -8.000 1.695 
-0.010 0.012 0.024 -0.002 -0.015 0.017 -0.020 -7.800 1.690 
-0.012 0.010 0.015 0.005 -0.017 0.017 -0.022 -7.800 1.685 
-0.020 0.015 0.027 0.007 -0.027 0.024 -0.020 -7.800 1.680 
-0.015 0.015 0.024 0.002 -0.022 0.022 -0.017 -7.800 1.661 
-0.012 0.012 0.017 0.005 -0.017 0.020 -0.017 -7.800 1.641 
-0.007 -0.000 0.007 0.005 -0.007 0.005 -0.012 -7.800 1.621 
-0.007 0.005 0.010 0.002 -0.010 0.010 -0.015 -7.800 1.602 
-0.005 0.012 0.012 -0.000 -0.010 0.015 -0.017 -7.800 1.578 
0.002 0.017 0.017 -0.010 -0.005 0.017 -0.017 -7.800 1.553 
-0.005 -0.000 0.002 0.005 -0.005 0.002 -0.007 -7.800 1.529 
-0.005 0.002 0.002 0.005 -0.005 0.005 -0.007 -7.800 1.504 
-0.005 0.007 0.007 0.002 -0.007 0.010 -0.005 -7.800 1.475 
-0.010 0.002 0.007 0.007 -0.010 0.007 -0.012 -7.800 1.446 
-0.005 0.005 0.007 0.002 -0.007 0.007 -0.010 -7.800 1.416 
-0.005 0.017 0.020 -0.005 -0.012 0.020 -0.015 -7.800 1.387 
-0.005 0.015 0.020 -0.005 -0.012 0.017 -0.007 -7.800 1.372 
-0.005 0.015 0.020 -0.005 -0.012 0.017 -0.010 -7.800 1.358 
-0.005 0.015 0.017 -0.002 -0.012 0.017 -0.010 -8.000 1.343 
