I II III aVR aVL aVF V1 LV AO Resp SPO2
0.020 0.020 0.007 -0.022 0.010 0.010 -0.017 13.000 76.800 -0.010 0.684 
0.010 0.022 0.020 -0.020 -0.000 0.017 -0.012 13.000 76.400 -0.015 0.684 
0.015 0.024 0.012 -0.020 0.002 0.017 -0.024 13.000 76.200 -0.017 0.718 
0.015 0.027 0.015 -0.022 0.002 0.020 -0.029 12.800 75.800 -0.022 0.752 
0.005 0.012 0.012 -0.010 -0.000 0.010 -0.022 12.800 75.600 -0.024 0.786 
0.007 0.012 0.002 -0.007 0.002 0.010 -0.022 13.000 75.400 -0.029 0.821 
0.017 0.027 0.007 -0.020 0.005 0.020 -0.032 13.000 75.000 -0.029 0.884 
0.022 0.017 -0.007 -0.017 0.015 0.007 -0.022 13.000 74.800 -0.027 0.947 
-0.000 0.007 0.012 -0.005 -0.002 0.007 -0.022 13.000 74.600 -0.027 1.011 
0.017 0.032 0.022 -0.027 0.002 0.024 -0.034 13.000 74.400 -0.024 1.074 
0.010 0.015 0.005 -0.012 0.002 0.010 -0.020 13.000 74.200 -0.027 1.158 
0.012 0.029 0.027 -0.024 -0.002 0.024 -0.022 12.800 74.000 -0.027 1.241 
0.002 0.022 0.029 -0.017 -0.007 0.022 -0.020 12.800 73.600 -0.027 1.324 
0.012 0.024 0.017 -0.020 -0.000 0.020 -0.029 12.800 73.400 -0.029 1.407 
0.005 -0.012 -0.015 0.002 0.012 -0.015 -0.012 12.600 73.200 -0.029 1.499 
-0.005 -0.007 0.005 0.002 -0.000 -0.005 -0.017 12.400 72.800 -0.027 1.592 
0.007 0.015 0.015 -0.015 -0.000 0.012 -0.032 12.200 72.600 -0.027 1.685 
0.010 0.022 0.015 -0.017 -0.000 0.017 -0.024 12.000 72.400 -0.024 1.778 
0.005 0.024 0.020 -0.015 -0.007 0.022 -0.034 11.800 72.200 -0.022 1.861 
0.007 0.022 0.022 -0.017 -0.002 0.020 -0.029 11.600 72.000 -0.020 1.944 
0.020 0.015 0.002 -0.020 0.012 0.005 -0.029 11.400 71.800 -0.017 2.027 
0.005 0.022 0.022 -0.015 -0.005 0.020 -0.029 11.200 71.600 -0.015 2.110 
-0.002 -0.000 0.005 -0.000 -0.002 0.002 -0.027 11.000 71.400 -0.012 2.178 
-0.000 0.020 0.024 -0.012 -0.010 0.020 -0.027 10.800 71.200 -0.012 2.247 
0.015 0.046 0.034 -0.032 -0.007 0.039 -0.034 10.800 71.000 -0.010 2.315 
0.002 0.034 0.029 -0.017 -0.015 0.034 -0.039 11.000 70.600 -0.007 2.383 
-0.002 0.017 0.027 -0.010 -0.010 0.020 -0.034 11.000 70.400 -0.005 2.432 
0.022 0.027 0.015 -0.029 0.010 0.017 -0.034 11.200 70.200 -0.005 2.481 
0.020 0.032 0.020 -0.029 0.005 0.022 -0.032 11.200 70.000 -0.002 2.530 
0.002 0.022 0.022 -0.012 -0.007 0.022 -0.032 11.400 69.800 -0.000 2.579 
-0.005 0.002 0.017 -0.002 -0.005 0.005 -0.022 11.400 69.600 0.002 2.618 
0.005 0.007 0.007 -0.007 0.002 0.005 -0.022 11.600 69.400 0.005 2.657 
-0.002 0.005 0.015 -0.005 -0.005 0.007 -0.020 11.400 69.200 0.007 2.696 
-0.012 0.022 0.042 -0.007 -0.022 0.029 -0.032 11.400 69.200 0.010 2.735 
0.005 0.039 0.039 -0.024 -0.015 0.037 -0.032 11.400 69.000 0.012 2.769 
0.010 0.029 0.029 -0.024 -0.005 0.024 -0.032 11.200 68.800 0.015 2.803 
-0.010 0.042 0.061 -0.020 -0.029 0.046 -0.042 11.200 68.600 0.017 2.838 
0.002 0.024 0.032 -0.017 -0.010 0.024 -0.029 11.200 68.400 0.022 2.872 
0.012 0.027 0.020 -0.022 -0.000 0.022 -0.037 11.200 68.200 0.024 2.911 
0.012 0.034 0.034 -0.029 -0.005 0.029 -0.046 11.200 68.000 0.027 2.950 
0.012 0.032 0.029 -0.027 -0.002 0.027 -0.042 11.200 67.800 0.029 2.989 
0.010 0.029 0.022 -0.020 -0.005 0.024 -0.034 11.000 67.600 0.032 3.028 
0.012 0.027 0.017 -0.020 -0.000 0.022 -0.034 11.000 67.400 0.034 3.067 
0.010 0.024 0.020 -0.020 -0.002 0.020 -0.039 11.000 67.000 0.037 3.106 
0.012 0.022 0.017 -0.020 0.002 0.017 -0.032 11.000 66.800 0.039 3.145 
0.022 0.034 0.020 -0.032 0.005 0.024 -0.034 11.000 66.600 0.044 3.184 
0.017 0.029 0.022 -0.027 0.002 0.022 -0.029 11.000 66.600 0.044 3.223 
0.015 -0.007 -0.017 -0.005 0.020 -0.015 -0.020 10.800 66.400 0.046 3.263 
0.027 0.005 -0.012 -0.020 0.024 -0.007 -0.024 10.800 66.400 0.046 3.302 
0.027 0.039 0.020 -0.037 0.007 0.027 -0.042 10.600 66.200 0.049 3.341 
0.012 0.029 0.024 -0.024 -0.002 0.024 -0.034 10.800 66.000 0.049 3.380 
0.020 0.020 0.012 -0.024 0.010 0.010 -0.034 10.800 66.000 0.051 3.419 
0.024 0.034 0.020 -0.034 0.007 0.022 -0.037 11.000 65.800 0.051 3.458 
0.007 0.015 0.012 -0.012 -0.000 0.012 -0.034 11.000 65.800 0.054 3.497 
0.007 0.005 0.005 -0.010 0.005 0.002 -0.024 11.200 65.800 0.054 3.526 
0.027 0.037 0.015 -0.034 0.010 0.024 -0.034 11.400 65.600 0.056 3.556 
0.024 0.015 -0.002 -0.022 0.017 0.002 -0.034 11.600 65.600 0.056 3.585 
0.005 0.005 -0.002 -0.002 0.002 0.002 -0.027 11.800 65.400 0.059 3.614 
0.007 0.027 0.015 -0.015 -0.005 0.024 -0.034 12.000 65.200 0.059 3.639 
0.017 0.042 0.029 -0.032 -0.002 0.034 -0.042 12.200 65.000 0.061 3.663 
0.022 0.034 0.020 -0.032 0.005 0.024 -0.044 12.200 64.800 0.061 3.687 
-0.005 0.022 0.029 -0.010 -0.015 0.024 -0.024 12.400 64.800 0.063 3.712 
0.010 0.029 0.022 -0.020 -0.005 0.024 -0.024 12.400 64.600 0.063 3.722 
0.015 0.032 0.022 -0.024 -0.000 0.024 -0.029 12.400 64.400 0.066 3.731 
0.002 0.029 0.029 -0.017 -0.012 0.029 -0.027 12.400 64.200 0.066 3.741 
0.010 0.027 0.020 -0.020 -0.002 0.022 -0.027 12.200 64.000 0.068 3.751 
0.020 0.029 0.012 -0.024 0.005 0.020 -0.029 12.000 64.000 0.068 3.746 
0.007 0.007 0.005 -0.010 0.005 0.005 -0.022 11.800 64.000 0.068 3.741 
0.015 0.020 0.012 -0.020 0.005 0.012 -0.027 11.800 63.800 0.068 3.736 
0.015 0.029 0.020 -0.024 -0.000 0.022 -0.029 11.600 63.600 0.068 3.731 
0.007 0.029 0.029 -0.022 -0.007 0.027 -0.029 11.600 63.400 0.068 3.717 
0.007 0.015 0.005 -0.010 -0.000 0.012 -0.027 11.600 63.200 0.068 3.702 
0.012 0.002 -0.005 -0.010 0.012 -0.002 -0.024 11.600 63.000 0.068 3.687 
0.017 0.034 0.027 -0.029 -0.000 0.027 -0.032 11.800 62.800 0.068 3.673 
-0.005 0.027 0.042 -0.015 -0.017 0.029 -0.024 11.800 62.800 0.068 3.648 
-0.002 0.029 0.037 -0.015 -0.017 0.032 -0.022 12.000 62.600 0.068 3.624 
0.010 0.027 0.024 -0.022 -0.002 0.022 -0.027 12.000 62.400 0.068 3.600 
0.005 0.010 0.012 -0.010 -0.000 0.007 -0.022 12.000 62.200 0.068 3.575 
0.007 0.015 0.007 -0.010 -0.000 0.012 -0.024 12.000 62.000 0.071 3.551 
0.017 -0.007 -0.029 -0.002 0.022 -0.015 -0.017 12.000 62.000 0.071 3.526 
0.017 0.007 -0.000 -0.017 0.015 -0.000 -0.024 11.800 62.000 0.073 3.502 
-0.000 0.017 0.020 -0.010 -0.007 0.017 -0.027 11.800 61.800 0.073 3.477 
0.002 0.015 0.015 -0.010 -0.005 0.015 -0.024 11.800 61.800 0.073 3.448 
0.020 0.024 0.012 -0.024 0.007 0.015 -0.027 12.000 61.600 0.073 3.419 
0.007 0.034 0.029 -0.022 -0.010 0.032 -0.029 12.000 61.600 0.073 3.389 
0.002 0.034 0.037 -0.020 -0.015 0.034 -0.032 12.000 61.400 0.073 3.360 
0.024 0.039 0.017 -0.032 0.005 0.027 -0.037 12.200 61.200 0.073 3.341 
0.022 0.027 0.015 -0.029 0.010 0.017 -0.044 12.400 61.200 0.073 3.321 
0.002 0.022 0.022 -0.012 -0.007 0.022 -0.034 12.600 61.200 0.073 3.302 
0.017 0.022 0.012 -0.022 0.007 0.015 -0.032 12.600 61.000 0.073 3.282 
0.037 0.027 -0.002 -0.034 0.024 0.010 -0.029 12.800 61.000 0.073 3.267 
0.024 0.005 -0.010 -0.020 0.022 -0.007 -0.029 12.800 60.800 0.073 3.253 
0.012 0.010 0.002 -0.012 0.007 0.005 -0.027 12.800 60.800 0.073 3.238 
0.027 0.017 -0.005 -0.024 0.020 0.005 -0.034 12.800 60.800 0.073 3.223 
0.024 0.002 -0.020 -0.015 0.024 -0.010 -0.024 12.800 60.600 0.073 3.214 
0.012 0.012 0.005 -0.015 0.007 0.007 -0.022 12.600 60.400 0.076 3.204 
0.024 0.015 -0.002 -0.022 0.017 0.002 -0.024 12.600 60.200 0.076 3.194 
0.027 0.017 -0.007 -0.022 0.020 0.005 -0.022 12.600 60.000 0.078 3.184 
0.022 0.032 0.015 -0.029 0.007 0.022 -0.024 12.400 59.800 0.078 3.175 
0.015 0.037 0.024 -0.027 -0.002 0.029 -0.029 12.400 59.600 0.078 3.165 
0.037 0.037 0.007 -0.039 0.020 0.020 -0.027 12.200 59.400 0.078 3.155 
0.037 0.032 -0.000 -0.037 0.022 0.015 -0.024 12.200 59.400 0.081 3.145 
0.015 0.020 0.015 -0.022 0.005 0.012 -0.015 12.200 59.400 0.081 3.136 
0.017 0.012 0.002 -0.017 0.012 0.005 -0.017 12.200 59.200 0.081 3.126 
0.020 0.034 0.022 -0.029 0.002 0.024 -0.022 12.200 59.200 0.083 3.116 
0.020 0.032 0.020 -0.029 0.005 0.022 -0.020 12.200 59.200 0.083 3.106 
0.020 0.029 0.022 -0.029 0.005 0.020 -0.024 12.400 59.200 0.083 3.096 
0.024 0.029 0.010 -0.029 0.010 0.017 -0.017 12.600 59.200 0.083 3.087 
0.024 0.029 0.010 -0.029 0.010 0.017 -0.020 12.800 59.200 0.083 3.077 
0.015 0.017 0.012 -0.020 0.007 0.010 -0.015 13.000 59.000 0.083 3.067 
0.020 0.010 -0.007 -0.015 0.015 -0.000 -0.012 13.200 59.000 0.085 3.053 
0.032 0.024 -0.002 -0.029 0.020 0.010 -0.017 13.400 58.800 0.085 3.038 
0.027 0.015 -0.010 -0.022 0.020 0.002 -0.015 13.400 58.800 0.088 3.023 
-0.000 -0.010 -0.002 0.002 0.005 -0.010 -0.007 13.600 58.800 0.088 3.009 
0.022 -0.000 -0.020 -0.012 0.022 -0.010 -0.012 13.600 58.800 0.093 2.989 
0.024 0.046 0.024 -0.037 0.002 0.034 -0.027 13.600 58.600 0.095 2.969 
0.022 0.034 0.017 -0.029 0.005 0.024 -0.032 13.600 58.600 0.100 2.950 
0.027 0.027 0.002 -0.027 0.015 0.015 -0.020 13.400 58.400 0.103 2.930 
0.027 0.037 0.007 -0.029 0.010 0.024 -0.022 13.400 58.400 0.105 2.911 
0.034 0.051 0.017 -0.042 0.010 0.034 -0.032 13.200 58.200 0.105 2.891 
0.039 0.061 0.020 -0.049 0.010 0.042 -0.027 13.200 58.200 0.107 2.872 
0.044 0.063 0.022 -0.054 0.012 0.042 -0.017 13.200 58.000 0.110 2.852 
0.049 0.071 0.027 -0.061 0.015 0.046 0.015 13.200 57.800 0.112 2.833 
0.029 0.098 0.068 -0.063 -0.020 0.083 0.042 13.200 57.800 0.117 2.813 
0.046 0.120 0.076 -0.083 -0.012 0.098 0.054 13.200 57.800 0.120 2.794 
0.049 0.112 0.066 -0.081 -0.007 0.088 0.068 13.200 57.600 0.125 2.774 
0.054 0.112 0.061 -0.083 -0.002 0.085 0.056 13.200 57.600 0.127 2.769 
0.056 0.122 0.066 -0.088 -0.005 0.095 0.039 13.200 57.400 0.127 2.764 
0.095 0.134 0.037 -0.112 0.029 0.088 0.007 13.400 57.400 0.129 2.759 
0.095 0.115 0.017 -0.103 0.039 0.068 -0.017 13.400 57.400 0.132 2.755 
0.085 0.115 0.032 -0.100 0.029 0.073 -0.042 13.400 57.200 0.134 2.759 
0.076 0.110 0.034 -0.093 0.022 0.073 -0.061 13.400 57.200 0.137 2.764 
0.063 0.103 0.037 -0.081 0.012 0.071 -0.073 13.400 57.200 0.139 2.769 
0.046 0.078 0.032 -0.061 0.007 0.056 -0.061 13.400 57.000 0.144 2.774 
0.044 0.056 0.015 -0.051 0.017 0.034 -0.059 13.400 57.000 0.315 2.799 
0.051 0.056 0.010 -0.056 0.024 0.032 -0.059 13.200 56.800 0.315 2.823 
0.049 0.046 -0.002 -0.046 0.027 0.022 -0.044 13.200 56.800 0.486 2.847 
0.049 0.051 0.007 -0.051 0.024 0.027 -0.046 13.200 56.600 0.486 2.872 
0.063 0.034 -0.027 -0.049 0.046 0.002 -0.044 13.000 56.600 0.315 2.911 
0.066 0.029 -0.039 -0.046 0.051 -0.002 -0.046 13.000 56.400 0.317 2.950 
0.061 0.032 -0.032 -0.044 0.046 0.002 -0.051 13.000 56.400 0.147 2.989 
0.068 0.032 -0.037 -0.049 0.054 -0.002 -0.049 13.000 56.200 0.151 3.028 
0.044 0.022 -0.020 -0.034 0.034 -0.000 -0.032 13.000 56.200 0.149 3.072 
0.010 -0.002 -0.012 -0.002 0.012 -0.007 -0.010 13.000 56.200 0.149 3.116 
-0.012 -0.032 -0.022 0.024 0.005 -0.024 -0.000 13.200 56.000 0.149 3.160 
-0.007 -0.017 -0.007 0.012 0.002 -0.012 -0.007 13.400 56.000 0.147 3.204 
0.002 -0.017 -0.022 0.010 0.012 -0.017 -0.012 13.400 56.000 0.147 3.248 
-0.000 -0.027 -0.027 0.015 0.015 -0.027 -0.012 13.600 56.000 0.147 3.292 
-0.007 -0.044 -0.039 0.027 0.015 -0.039 -0.005 13.800 55.800 0.147 3.336 
0.005 -0.059 -0.063 0.027 0.034 -0.061 -0.002 14.000 55.800 0.144 3.380 
-0.000 -0.005 -0.007 0.005 0.002 -0.005 -0.012 14.200 55.800 0.144 3.414 
0.005 0.005 0.005 -0.007 0.002 0.002 -0.017 14.600 55.800 0.142 3.448 
-0.000 -0.015 -0.015 0.007 0.007 -0.015 -0.020 14.800 55.800 0.142 3.482 
-0.000 -0.017 -0.017 0.010 0.010 -0.017 -0.017 15.000 55.800 0.142 3.516 
-0.010 -0.056 -0.051 0.037 0.020 -0.051 -0.002 15.000 55.800 0.139 3.531 
-0.005 -0.051 -0.046 0.029 0.022 -0.049 -0.000 15.200 55.800 0.139 3.546 
0.015 -0.000 -0.017 -0.005 0.015 -0.007 -0.012 15.400 55.800 0.137 3.560 
-0.002 -0.002 0.005 -0.000 -0.000 -0.000 0.002 15.400 55.800 0.137 3.575 
-0.010 -0.007 0.002 0.010 -0.005 -0.002 0.015 15.600 55.600 0.134 3.570 
0.002 -0.029 -0.029 0.012 0.017 -0.029 0.039 15.800 55.600 0.134 3.565 
0.012 -0.078 -0.088 0.032 0.051 -0.083 0.054 15.800 55.600 0.134 3.560 
0.034 -0.076 -0.120 0.027 0.073 -0.093 0.032 16.000 55.600 0.132 3.556 
0.144 -0.017 -0.161 -0.063 0.154 -0.088 -0.076 16.200 55.400 0.134 3.502 
0.278 0.051 -0.230 -0.164 0.254 -0.088 -0.232 16.400 55.400 0.134 3.448 
0.422 0.188 -0.234 -0.305 0.330 -0.022 -0.447 16.600 55.400 0.134 3.394 
0.584 0.349 -0.239 -0.464 0.410 0.059 -0.618 16.800 55.200 0.137 3.341 
0.742 0.571 -0.171 -0.657 0.457 0.200 -0.772 17.200 55.200 0.134 3.316 
0.806 0.667 -0.139 -0.735 0.474 0.264 -0.857 17.600 55.200 0.134 3.292 
0.684 0.481 -0.205 -0.581 0.444 0.139 -0.835 18.200 55.200 0.134 3.267 
0.371 0.286 -0.085 -0.327 0.230 0.100 -0.774 18.800 55.200 0.132 3.243 
0.117 0.105 -0.010 -0.112 0.066 0.046 -0.698 19.600 55.200 0.132 3.214 
0.120 0.002 -0.129 -0.054 0.120 -0.056 -0.762 20.200 55.400 0.132 3.184 
0.139 -0.085 -0.230 -0.024 0.183 -0.154 -0.720 21.000 55.200 0.132 3.155 
0.110 -0.195 -0.310 0.046 0.208 -0.249 -0.606 21.800 55.200 0.129 3.126 
0.083 -0.205 -0.288 0.061 0.186 -0.247 -0.488 22.600 55.000 0.129 3.111 
0.005 -0.103 -0.107 0.049 0.056 -0.105 -0.369 23.400 55.000 0.129 3.096 
-0.068 0.002 0.081 0.029 -0.068 0.037 -0.232 24.000 54.800 0.129 3.082 
-0.088 -0.010 0.076 0.051 -0.083 0.034 -0.137 24.800 54.600 0.129 3.067 
-0.090 -0.039 0.059 0.061 -0.071 0.007 -0.054 25.600 54.600 0.127 3.057 
-0.093 -0.056 0.039 0.073 -0.063 -0.010 0.002 26.400 54.400 0.125 3.048 
-0.068 -0.085 -0.015 0.076 -0.024 -0.051 0.042 27.200 54.400 0.122 3.038 
-0.063 -0.039 0.027 0.051 -0.044 -0.007 0.046 28.200 54.400 0.117 3.028 
-0.061 -0.044 0.012 0.056 -0.039 -0.012 0.046 29.800 54.400 0.117 3.023 
-0.071 -0.046 0.022 0.061 -0.046 -0.010 0.061 31.200 54.600 0.117 3.018 
-0.085 -0.039 0.051 0.061 -0.066 0.005 0.068 33.800 54.800 0.117 3.013 
-0.078 -0.046 0.034 0.061 -0.054 -0.007 0.066 36.400 55.000 0.115 3.009 
-0.081 -0.056 0.029 0.066 -0.051 -0.015 0.076 40.600 55.600 0.112 3.009 
-0.081 -0.063 0.020 0.071 -0.049 -0.022 0.081 44.800 56.200 0.110 3.009 
-0.088 -0.068 0.022 0.078 -0.054 -0.024 0.083 50.800 57.400 0.110 3.009 
-0.093 -0.063 0.024 0.081 -0.061 -0.017 0.083 56.600 58.600 0.107 3.009 
-0.083 -0.044 0.039 0.063 -0.061 -0.002 0.078 63.600 60.600 0.107 3.009 
-0.081 -0.049 0.029 0.066 -0.056 -0.007 0.083 70.800 62.600 0.107 3.009 
-0.098 -0.078 0.017 0.090 -0.059 -0.029 0.103 78.200 65.600 0.107 3.009 
-0.095 -0.085 0.010 0.090 -0.051 -0.037 0.105 85.600 68.400 0.107 3.009 
-0.100 -0.029 0.068 0.066 -0.085 0.022 0.083 92.600 71.800 0.107 3.004 
-0.105 -0.024 0.078 0.066 -0.093 0.029 0.078 99.600 75.200 0.110 2.999 
-0.098 -0.037 0.063 0.066 -0.078 0.012 0.076 105.600 79.000 0.112 2.994 
-0.098 -0.046 0.046 0.076 -0.073 0.002 0.083 111.600 82.600 0.115 2.989 
-0.098 -0.061 0.032 0.083 -0.066 -0.012 0.088 115.800 86.400 0.115 2.989 
-0.105 -0.063 0.034 0.088 -0.073 -0.010 0.095 120.000 90.400 0.115 2.989 
-0.115 -0.049 0.063 0.083 -0.090 0.010 0.083 122.800 94.200 0.117 2.989 
-0.098 -0.046 0.042 0.078 -0.073 0.002 0.081 125.400 98.200 0.117 2.989 
-0.093 -0.056 0.029 0.078 -0.063 -0.010 0.081 127.400 102.200 0.120 2.979 
-0.117 -0.088 0.022 0.107 -0.073 -0.029 0.103 129.400 106.200 0.120 2.969 
-0.107 -0.085 0.020 0.098 -0.063 -0.032 0.098 131.400 110.200 0.122 2.960 
-0.107 -0.049 0.049 0.083 -0.083 0.005 0.081 133.600 114.000 0.125 2.950 
-0.103 -0.068 0.034 0.085 -0.068 -0.017 0.088 136.400 117.800 0.127 2.940 
-0.103 -0.061 0.039 0.083 -0.071 -0.010 0.088 139.200 121.400 0.132 2.930 
-0.110 -0.042 0.063 0.078 -0.088 0.015 0.088 142.400 125.200 0.134 2.921 
-0.105 -0.063 0.037 0.088 -0.073 -0.010 0.095 145.800 128.800 0.142 2.911 
-0.100 -0.066 0.029 0.085 -0.066 -0.015 0.103 149.400 132.400 0.142 2.901 
-0.100 -0.059 0.032 0.085 -0.071 -0.007 0.107 153.000 136.000 0.144 2.891 
-0.117 -0.078 0.032 0.103 -0.078 -0.020 0.117 157.000 139.200 0.144 2.882 
-0.105 -0.095 0.002 0.105 -0.056 -0.042 0.127 160.800 142.600 0.147 2.872 
-0.100 -0.112 -0.017 0.110 -0.044 -0.061 0.142 164.400 145.400 0.149 2.862 
-0.105 -0.071 0.027 0.093 -0.068 -0.017 0.134 168.200 148.400 0.151 2.852 
-0.103 -0.063 0.032 0.088 -0.071 -0.012 0.129 171.000 151.000 0.154 2.842 
-0.093 -0.076 0.010 0.088 -0.054 -0.029 0.132 173.800 153.800 0.156 2.833 
-0.093 -0.071 0.015 0.085 -0.056 -0.024 0.144 175.600 156.000 0.154 2.828 
-0.093 -0.078 0.005 0.090 -0.054 -0.032 0.147 177.600 158.400 0.154 2.823 
-0.083 -0.081 -0.005 0.085 -0.042 -0.039 0.159 178.800 160.400 0.151 2.818 
-0.076 -0.088 -0.017 0.085 -0.032 -0.049 0.166 180.000 162.600 0.151 2.813 
-0.073 -0.081 -0.012 0.081 -0.032 -0.044 0.171 181.000 164.800 0.151 2.803 
-0.088 -0.098 -0.015 0.095 -0.039 -0.054 0.186 182.000 166.800 0.154 2.794 
-0.068 -0.078 -0.012 0.076 -0.029 -0.044 0.190 183.000 168.600 0.154 2.784 
-0.051 -0.061 -0.015 0.059 -0.020 -0.034 0.193 184.000 170.200 0.156 2.774 
-0.061 -0.068 -0.012 0.068 -0.027 -0.037 0.208 185.600 172.000 0.156 2.769 
-0.066 -0.081 -0.022 0.078 -0.024 -0.046 0.215 187.000 173.800 0.156 2.764 
-0.042 -0.051 -0.015 0.049 -0.015 -0.029 0.208 188.600 175.400 0.156 2.759 
-0.032 -0.027 -0.005 0.034 -0.017 -0.010 0.198 190.200 177.200 0.156 2.755 
-0.054 -0.063 -0.020 0.063 -0.022 -0.037 0.205 191.600 178.600 0.156 2.745 
-0.037 -0.068 -0.037 0.056 -0.002 -0.049 0.205 193.200 180.000 0.156 2.735 
-0.012 -0.044 -0.034 0.029 0.010 -0.037 0.195 194.200 181.200 0.156 2.725 
-0.015 -0.046 -0.037 0.034 0.010 -0.039 0.186 195.400 182.400 0.156 2.716 
-0.015 -0.044 -0.034 0.032 0.007 -0.037 0.181 196.000 183.400 0.154 2.711 
-0.027 -0.022 -0.002 0.029 -0.015 -0.007 0.171 196.800 184.400 0.151 2.706 
-0.002 0.007 0.005 -0.000 -0.005 0.010 0.144 197.200 185.400 0.149 2.701 
-0.029 -0.007 0.020 0.020 -0.024 0.007 0.134 197.800 186.200 0.147 2.696 
-0.024 -0.017 -0.000 0.024 -0.015 -0.005 0.132 198.000 186.800 0.144 2.691 
0.007 0.024 0.012 -0.012 -0.005 0.022 0.103 198.400 187.600 0.142 2.686 
-0.002 0.024 0.024 -0.010 -0.015 0.027 0.076 198.600 188.000 0.139 2.681 
-0.020 0.012 0.024 0.007 -0.024 0.022 0.068 198.600 188.600 0.137 2.676 
0.007 0.029 0.020 -0.017 -0.007 0.027 0.049 198.600 189.000 0.134 2.672 
0.020 0.044 0.022 -0.029 -0.002 0.034 0.034 198.800 189.200 0.134 2.667 
-0.005 0.022 0.024 -0.007 -0.015 0.024 0.029 198.400 189.400 0.134 2.662 
0.002 0.020 0.010 -0.007 -0.007 0.020 0.024 198.200 189.400 0.132 2.657 
0.017 0.010 -0.010 -0.012 0.012 0.002 0.022 197.800 189.200 0.129 2.647 
0.005 0.029 0.017 -0.012 -0.010 0.027 -0.000 197.200 189.000 0.127 2.637 
0.017 0.051 0.039 -0.037 -0.007 0.044 -0.015 196.400 188.600 0.125 2.628 
0.012 0.039 0.024 -0.024 -0.007 0.034 -0.005 195.600 188.200 0.122 2.618 
0.017 0.051 0.022 -0.027 -0.007 0.044 -0.010 194.600 187.600 0.120 2.613 
0.010 0.037 0.020 -0.020 -0.007 0.032 -0.010 193.400 187.000 0.120 2.608 
0.020 0.044 0.024 -0.032 -0.002 0.034 -0.022 192.200 186.200 0.120 2.603 
0.017 0.022 0.002 -0.017 0.007 0.015 -0.007 190.800 185.400 0.117 2.598 
0.017 0.022 -0.000 -0.017 0.007 0.015 -0.010 189.400 184.400 0.117 2.593 
0.005 0.039 0.029 -0.020 -0.015 0.037 -0.020 188.000 183.400 0.115 2.589 
0.022 0.039 0.017 -0.029 0.002 0.029 -0.024 186.400 182.000 0.112 2.584 
0.022 0.044 0.015 -0.029 -0.000 0.034 -0.027 184.800 180.800 0.110 2.579 
0.005 0.032 0.022 -0.015 -0.010 0.029 -0.032 183.000 179.200 0.110 2.564 
0.017 0.024 0.002 -0.017 0.005 0.017 -0.024 181.000 177.600 0.110 2.549 
0.015 0.044 0.027 -0.027 -0.007 0.037 -0.017 178.800 175.800 0.110 2.535 
0.010 0.042 0.032 -0.024 -0.010 0.037 -0.020 176.600 173.800 0.110 2.520 
0.012 0.042 0.034 -0.029 -0.007 0.037 -0.027 174.000 171.600 0.107 2.515 
0.032 0.029 0.002 -0.032 0.017 0.015 -0.029 171.400 169.400 0.105 2.510 
0.029 0.032 0.002 -0.029 0.015 0.017 -0.024 168.200 166.800 0.103 2.505 
0.012 0.012 -0.005 -0.010 0.007 0.007 -0.015 165.000 164.200 0.098 2.501 
0.027 0.051 0.022 -0.037 0.002 0.039 -0.037 161.000 161.400 0.098 2.491 
0.027 0.046 0.017 -0.034 0.005 0.034 -0.032 157.000 158.600 0.098 2.481 
0.022 0.037 0.012 -0.027 0.005 0.027 -0.034 152.800 155.600 0.098 2.471 
0.007 0.039 0.029 -0.022 -0.012 0.037 -0.027 148.400 152.400 0.098 2.462 
0.027 0.042 0.007 -0.029 0.007 0.029 -0.029 144.000 149.000 0.098 2.457 
0.020 0.034 0.010 -0.024 0.002 0.024 -0.027 139.400 145.600 0.098 2.452 
-0.000 0.015 0.010 -0.005 -0.007 0.015 -0.022 134.800 142.200 0.095 2.447 
0.015 0.024 0.007 -0.017 0.002 0.017 -0.017 130.200 139.000 0.095 2.442 
0.034 0.024 -0.012 -0.027 0.022 0.007 -0.017 125.200 136.400 0.095 2.432 
0.012 0.020 0.005 -0.015 0.002 0.015 -0.012 120.000 133.800 0.095 2.422 
-0.000 0.012 0.010 -0.005 -0.005 0.012 -0.010 114.400 131.800 0.095 2.413 
0.020 0.049 0.022 -0.029 -0.005 0.039 -0.020 108.600 129.800 0.095 2.403 
0.015 0.029 0.017 -0.022 -0.000 0.022 -0.015 102.600 128.200 0.095 2.393 
0.017 0.037 0.022 -0.027 -0.000 0.029 -0.015 96.400 126.600 0.095 2.383 
0.032 0.034 -0.000 -0.032 0.015 0.020 -0.012 90.200 125.400 0.095 2.374 
0.024 0.044 0.012 -0.029 0.002 0.032 -0.012 83.800 124.000 0.095 2.364 
0.015 0.029 0.010 -0.020 -0.000 0.022 -0.005 77.600 123.000 0.093 2.359 
0.007 0.027 0.017 -0.015 -0.005 0.024 -0.002 71.400 122.000 0.093 2.354 
0.024 0.037 0.010 -0.029 0.007 0.024 -0.012 65.600 121.000 0.090 2.349 
0.024 0.054 0.024 -0.037 -0.002 0.042 -0.015 59.600 120.000 0.088 2.344 
-0.000 0.024 0.024 -0.012 -0.012 0.024 -0.000 54.400 119.000 0.088 2.330 
0.024 0.034 0.017 -0.032 0.007 0.022 -0.002 49.000 118.000 0.088 2.315 
0.022 0.042 0.015 -0.029 0.002 0.032 -0.005 44.200 117.200 0.088 2.300 
