I II III aVR aVL aVF V1 V2 AO SPO2 
0.015 -0.093 -0.098 0.034 0.061 -0.100 0.029 0.024 69.800 3.184 
-0.022 -0.212 -0.171 0.107 0.085 -0.200 0.129 0.076 69.200 3.223 
0.042 -0.051 -0.078 -0.002 0.068 -0.071 -0.012 -0.000 68.800 3.248 
0.029 -0.076 -0.095 0.020 0.068 -0.090 0.020 0.012 68.600 3.272 
0.020 -0.100 -0.103 0.032 0.071 -0.110 0.029 0.024 68.400 3.297 
0.022 -0.103 -0.115 0.037 0.073 -0.112 0.017 0.024 68.200 3.321 
0.032 -0.098 -0.117 0.027 0.081 -0.112 0.012 0.020 68.200 3.341 
0.037 -0.115 -0.137 0.032 0.095 -0.132 0.007 0.024 68.000 3.360 
0.046 -0.181 -0.210 0.059 0.137 -0.203 0.022 0.042 68.000 3.380 
0.083 -0.256 -0.325 0.081 0.212 -0.298 0.029 0.056 68.000 3.399 
0.073 -0.330 -0.391 0.122 0.239 -0.366 0.056 0.083 68.200 3.409 
0.078 -0.374 -0.430 0.137 0.266 -0.413 0.081 0.095 68.200 3.419 
0.083 -0.408 -0.479 0.156 0.288 -0.449 0.100 0.105 68.200 3.429 
0.103 -0.437 -0.527 0.161 0.322 -0.488 0.103 0.110 68.400 3.438 
0.112 -0.457 -0.552 0.164 0.342 -0.513 0.088 0.112 68.400 3.438 
0.144 -0.476 -0.608 0.161 0.383 -0.547 0.081 0.107 68.400 3.438 
0.181 -0.527 -0.691 0.166 0.444 -0.618 0.083 0.112 68.400 3.438 
0.212 -0.591 -0.794 0.186 0.508 -0.696 0.083 0.125 68.200 3.438 
0.239 -0.635 -0.867 0.195 0.557 -0.755 0.085 0.129 68.000 3.429 
0.293 -0.679 -0.960 0.188 0.632 -0.825 0.100 0.127 67.800 3.419 
0.300 -0.747 -1.038 0.220 0.674 -0.896 0.151 0.147 67.600 3.409 
0.322 -0.840 -1.150 0.254 0.742 -1.001 0.195 0.171 67.200 3.399 
0.337 -0.882 -1.206 0.266 0.779 -1.050 0.247 0.178 66.600 3.389 
0.317 -0.860 -1.167 0.266 0.747 -1.018 0.249 0.178 66.200 3.380 
0.276 -0.794 -1.055 0.252 0.674 -0.930 0.142 0.171 65.600 3.370 
0.220 -0.799 -1.011 0.286 0.620 -0.908 0.022 0.190 65.000 3.360 
0.154 -0.864 -1.001 0.347 0.586 -0.940 0.051 0.234 64.400 3.355 
0.161 -0.906 -1.050 0.364 0.615 -0.987 -0.054 0.247 64.000 3.350 
0.171 -0.906 -1.062 0.361 0.625 -0.991 -0.215 0.242 63.600 3.346 
0.183 -0.904 -1.074 0.354 0.635 -0.994 -0.335 0.237 63.200 3.341 
0.208 -0.855 -1.053 0.320 0.635 -0.957 -0.440 0.212 62.800 3.336 
0.278 -0.767 -1.033 0.239 0.662 -0.906 -0.523 0.161 62.600 3.331 
0.291 -0.662 -0.935 0.178 0.623 -0.806 -0.498 0.122 62.400 3.326 
0.264 -0.545 -0.789 0.132 0.537 -0.676 -0.422 0.090 62.200 3.321 
0.215 -0.442 -0.645 0.107 0.437 -0.549 -0.352 0.073 62.000 3.316 
0.183 -0.342 -0.508 0.071 0.354 -0.432 -0.283 0.051 62.000 3.311 
0.161 -0.274 -0.418 0.049 0.298 -0.354 -0.232 0.034 62.000 3.306 
0.147 -0.247 -0.379 0.044 0.271 -0.320 -0.205 0.032 62.000 3.302 
0.120 -0.220 -0.330 0.046 0.230 -0.278 -0.186 0.032 62.000 3.297 
0.100 -0.195 -0.281 0.042 0.198 -0.244 -0.144 0.029 62.000 3.292 
0.083 -0.176 -0.242 0.039 0.171 -0.217 -0.098 0.029 62.000 3.287 
0.063 -0.154 -0.205 0.039 0.142 -0.186 -0.073 0.027 62.200 3.282 
0.051 -0.137 -0.183 0.042 0.120 -0.161 -0.046 0.027 62.200 3.277 
0.046 -0.098 -0.139 0.024 0.095 -0.120 -0.046 0.015 62.200 3.272 
0.046 -0.051 -0.085 -0.002 0.073 -0.073 -0.039 -0.000 62.200 3.267 
0.044 -0.027 -0.061 -0.012 0.059 -0.049 -0.034 -0.007 62.000 3.263 
0.037 -0.017 -0.039 -0.017 0.046 -0.034 -0.017 -0.010 62.000 3.258 
0.022 0.020 0.017 -0.029 0.012 0.010 0.002 -0.017 62.000 3.253 
0.002 0.042 0.051 -0.027 -0.017 0.042 0.022 -0.017 61.800 3.248 
-0.012 0.034 0.056 -0.015 -0.029 0.042 0.029 -0.010 61.800 3.243 
-0.020 0.032 0.071 -0.015 -0.034 0.042 0.042 -0.007 61.800 3.233 
-0.017 0.044 0.076 -0.020 -0.039 0.054 0.037 -0.012 61.800 3.223 
-0.007 0.054 0.078 -0.032 -0.034 0.059 0.046 -0.017 62.000 3.214 
-0.002 0.051 0.073 -0.034 -0.027 0.054 0.039 -0.020 62.400 3.204 
-0.010 0.056 0.081 -0.029 -0.037 0.061 0.046 -0.017 62.600 3.184 
-0.020 0.054 0.090 -0.024 -0.046 0.063 0.044 -0.015 62.800 3.165 
-0.017 0.061 0.093 -0.029 -0.046 0.071 0.046 -0.017 62.800 3.145 
-0.012 0.073 0.095 -0.034 -0.049 0.081 0.034 -0.022 62.800 3.126 
-0.020 0.068 0.100 -0.029 -0.054 0.078 0.049 -0.020 62.800 3.106 
-0.012 0.078 0.100 -0.037 -0.051 0.085 0.046 -0.024 63.000 3.087 
-0.020 0.083 0.117 -0.039 -0.061 0.093 0.051 -0.024 63.000 3.067 
-0.022 0.098 0.127 -0.042 -0.071 0.110 0.049 -0.027 63.200 3.048 
-0.027 0.095 0.134 -0.039 -0.073 0.110 0.059 -0.024 63.200 3.018 
-0.024 0.103 0.137 -0.044 -0.076 0.115 0.054 -0.029 63.200 2.989 
-0.024 0.115 0.151 -0.051 -0.081 0.127 0.061 -0.032 63.200 2.960 
-0.032 0.115 0.159 -0.046 -0.088 0.132 0.066 -0.029 63.200 2.930 
-0.039 0.115 0.164 -0.042 -0.095 0.134 0.073 -0.027 63.400 2.896 
-0.037 0.122 0.171 -0.049 -0.098 0.142 0.078 -0.032 63.400 2.862 
-0.039 0.120 0.168 -0.044 -0.098 0.139 0.090 -0.029 63.400 2.828 
-0.042 0.117 0.168 -0.042 -0.100 0.139 0.093 -0.027 63.400 2.794 
-0.042 0.129 0.181 -0.049 -0.105 0.151 0.100 -0.032 63.600 2.764 
-0.037 0.144 0.188 -0.056 -0.107 0.164 0.105 -0.039 63.800 2.735 
-0.049 0.161 0.217 -0.059 -0.129 0.186 0.129 -0.039 64.000 2.706 
-0.049 0.168 0.227 -0.063 -0.132 0.193 0.134 -0.042 64.200 2.676 
-0.063 0.159 0.234 -0.054 -0.142 0.190 0.159 -0.034 64.200 2.647 
-0.063 0.166 0.239 -0.056 -0.147 0.198 0.168 -0.037 64.400 2.618 
-0.071 0.168 0.252 -0.054 -0.154 0.205 0.186 -0.034 64.600 2.589 
-0.078 0.176 0.264 -0.054 -0.166 0.215 0.193 -0.034 64.800 2.559 
-0.088 0.176 0.276 -0.049 -0.176 0.220 0.220 -0.032 64.800 2.530 
-0.081 0.181 0.276 -0.056 -0.171 0.222 0.232 -0.037 64.800 2.501 
-0.090 0.188 0.288 -0.054 -0.183 0.234 0.249 -0.034 64.800 2.471 
-0.088 0.181 0.283 -0.054 -0.178 0.225 0.259 -0.034 65.000 2.442 
-0.093 0.176 0.278 -0.046 -0.181 0.222 0.281 -0.029 65.000 2.413 
-0.107 0.161 0.283 -0.034 -0.188 0.215 0.295 -0.020 65.000 2.383 
-0.110 0.168 0.291 -0.034 -0.193 0.225 0.303 -0.022 65.000 2.354 
-0.117 0.166 0.293 -0.029 -0.200 0.225 0.310 -0.020 65.000 2.325 
-0.117 0.164 0.293 -0.029 -0.198 0.222 0.325 -0.017 65.000 2.295 
-0.122 0.156 0.288 -0.022 -0.200 0.217 0.325 -0.015 65.000 2.266 
-0.117 0.147 0.281 -0.022 -0.190 0.205 0.330 -0.012 65.000 2.237 
-0.120 0.144 0.271 -0.015 -0.190 0.205 0.327 -0.010 65.200 2.208 
-0.117 0.137 0.271 -0.017 -0.186 0.195 0.330 -0.010 65.200 2.173 
-0.115 0.142 0.269 -0.020 -0.186 0.200 0.322 -0.012 65.200 2.139 
-0.105 0.132 0.249 -0.020 -0.171 0.186 0.315 -0.012 65.200 2.105 
-0.103 0.112 0.234 -0.015 -0.159 0.164 0.305 -0.005 65.200 2.071 
-0.110 0.110 0.234 -0.007 -0.164 0.166 0.298 -0.002 65.400 2.042 
-0.093 0.103 0.208 -0.010 -0.144 0.149 0.278 -0.005 65.400 2.012 
-0.076 0.088 0.178 -0.012 -0.120 0.127 0.256 -0.007 65.400 1.983 
-0.068 0.073 0.156 -0.010 -0.105 0.107 0.242 -0.005 65.600 1.954 
-0.061 0.061 0.134 -0.005 -0.090 0.093 0.227 -0.002 65.600 1.924 
-0.051 0.059 0.117 -0.007 -0.081 0.085 0.205 -0.005 65.600 1.895 
-0.046 0.051 0.110 -0.007 -0.071 0.076 0.178 -0.005 65.600 1.866 
-0.027 0.046 0.090 -0.017 -0.049 0.061 0.156 -0.010 65.600 1.836 
-0.020 0.039 0.071 -0.015 -0.039 0.049 0.139 -0.010 65.400 1.807 
-0.007 0.024 0.046 -0.015 -0.020 0.029 0.120 -0.007 65.400 1.778 
0.002 0.022 0.027 -0.015 -0.007 0.022 0.100 -0.010 65.400 1.748 
0.002 0.010 0.017 -0.010 -0.002 0.010 0.078 -0.007 65.200 1.719 
0.012 0.002 0.010 -0.017 0.012 -0.002 0.076 -0.007 65.200 1.695 
0.015 -0.010 -0.005 -0.012 0.020 -0.017 0.061 -0.005 65.200 1.670 
0.027 -0.012 -0.020 -0.017 0.034 -0.024 0.051 -0.007 65.200 1.646 
0.029 -0.024 -0.042 -0.007 0.042 -0.039 0.046 -0.005 65.200 1.621 
0.029 -0.042 -0.059 -0.000 0.051 -0.056 0.039 0.002 65.200 1.592 
0.027 -0.042 -0.049 -0.002 0.049 -0.054 0.029 0.002 65.200 1.563 
0.032 -0.037 -0.054 -0.005 0.051 -0.051 0.024 -0.000 65.200 1.534 
0.039 -0.037 -0.061 -0.007 0.059 -0.056 0.017 -0.002 65.000 1.504 
0.034 -0.044 -0.059 -0.005 0.056 -0.061 0.015 -0.000 65.000 1.470 
0.044 -0.046 -0.073 -0.007 0.068 -0.068 0.010 -0.002 64.800 1.436 
0.044 -0.042 -0.073 -0.007 0.066 -0.063 0.007 -0.002 64.800 1.402 
0.029 -0.046 -0.061 0.002 0.054 -0.061 0.007 0.002 64.600 1.368 
0.044 -0.037 -0.059 -0.015 0.063 -0.059 0.002 -0.005 64.600 1.338 
0.042 -0.039 -0.063 -0.010 0.061 -0.059 -0.005 -0.002 64.600 1.309 
0.039 -0.034 -0.054 -0.012 0.056 -0.054 -0.010 -0.005 65.600 1.280 
0.051 -0.020 -0.054 -0.024 0.061 -0.044 -0.017 -0.012 66.800 1.250 
0.046 -0.024 -0.059 -0.017 0.059 -0.046 -0.015 -0.010 69.800 1.221 
0.044 -0.027 -0.054 -0.017 0.059 -0.049 -0.012 -0.007 73.000 1.192 
0.044 -0.027 -0.054 -0.017 0.059 -0.049 -0.012 -0.007 78.000 1.162 
0.039 -0.029 -0.051 -0.012 0.054 -0.049 -0.010 -0.005 82.800 1.133 
0.044 -0.032 -0.061 -0.012 0.061 -0.054 -0.010 -0.007 87.400 1.114 
0.039 -0.042 -0.066 -0.005 0.061 -0.061 -0.012 -0.002 92.200 1.094 
0.049 -0.007 -0.039 -0.029 0.054 -0.032 -0.034 -0.017 95.400 1.074 
0.012 -0.093 -0.090 0.034 0.059 -0.098 0.020 0.024 98.600 1.055 
0.017 -0.071 -0.066 0.017 0.054 -0.078 0.012 0.015 99.800 1.055 
0.044 -0.020 -0.046 -0.020 0.054 -0.042 -0.022 -0.010 101.000 1.055 
0.046 -0.017 -0.054 -0.020 0.056 -0.039 -0.029 -0.012 100.000 1.055 
0.042 -0.015 -0.037 -0.022 0.049 -0.034 -0.034 -0.012 98.800 1.055 
0.039 -0.012 -0.032 -0.022 0.046 -0.032 -0.051 -0.012 96.200 1.128 
0.037 -0.015 -0.034 -0.020 0.044 -0.032 -0.071 -0.010 93.400 1.201 
0.037 -0.012 -0.032 -0.020 0.044 -0.029 -0.078 -0.010 90.000 1.275 
0.022 -0.007 -0.012 -0.015 0.027 -0.017 -0.083 -0.007 86.600 1.348 
0.015 -0.002 -0.012 -0.007 0.017 -0.010 -0.083 -0.007 83.200 1.407 
0.024 0.007 -0.002 -0.022 0.022 -0.005 -0.071 -0.012 79.800 1.465 
0.029 0.022 0.005 -0.032 0.020 0.007 -0.090 -0.020 77.200 1.524 
0.037 0.034 0.012 -0.042 0.020 0.017 -0.105 -0.027 74.400 1.582 
0.034 0.034 0.015 -0.042 0.017 0.017 -0.115 -0.024 72.800 1.656 
0.039 0.044 0.015 -0.046 0.017 0.024 -0.115 -0.029 71.400 1.729 
0.044 0.046 0.017 -0.051 0.022 0.024 -0.107 -0.032 71.200 1.802 
0.059 0.063 0.022 -0.068 0.027 0.034 -0.112 -0.044 71.000 1.875 
0.059 0.068 0.024 -0.071 0.024 0.039 -0.107 -0.044 72.000 1.944 
0.059 0.059 0.015 -0.066 0.029 0.029 -0.115 -0.042 73.000 2.012 
0.071 0.061 0.005 -0.073 0.042 0.027 -0.117 -0.046 74.800 2.081 
0.071 0.063 -0.000 -0.071 0.039 0.029 -0.127 -0.046 76.400 2.149 
0.081 0.068 -0.002 -0.078 0.046 0.029 -0.120 -0.051 78.400 2.208 
0.107 0.071 -0.020 -0.098 0.073 0.017 -0.129 -0.061 80.200 2.266 
0.125 0.068 -0.044 -0.103 0.090 0.007 -0.115 -0.066 81.800 2.325 
0.115 0.049 -0.051 -0.088 0.090 -0.007 -0.093 -0.056 83.200 2.383 
0.095 0.020 -0.063 -0.063 0.085 -0.027 -0.063 -0.042 84.000 2.442 
0.076 0.007 -0.063 -0.044 0.073 -0.029 -0.039 -0.029 84.600 2.501 
0.061 -0.005 -0.054 -0.034 0.063 -0.034 -0.024 -0.022 84.200 2.559 
0.046 -0.017 -0.042 -0.024 0.056 -0.039 -0.010 -0.012 83.800 2.618 
0.027 -0.032 -0.049 -0.002 0.044 -0.044 -0.005 -0.000 82.600 2.667 
0.022 -0.029 -0.044 -0.000 0.037 -0.039 0.002 -0.000 81.400 2.716 
0.015 -0.037 -0.044 0.007 0.034 -0.044 0.002 0.005 79.800 2.764 
0.005 -0.042 -0.037 0.015 0.027 -0.044 0.012 0.010 78.000 2.813 
0.005 -0.059 -0.049 0.020 0.034 -0.061 0.015 0.015 76.200 2.852 
-0.007 -0.078 -0.066 0.042 0.032 -0.073 0.029 0.027 74.400 2.891 
0.002 -0.081 -0.073 0.034 0.044 -0.081 0.027 0.024 72.800 2.930 
0.002 -0.090 -0.083 0.039 0.049 -0.090 0.027 0.027 71.200 2.969 
0.005 -0.088 -0.088 0.039 0.049 -0.090 0.029 0.024 70.200 3.013 
0.002 -0.090 -0.085 0.042 0.049 -0.090 0.029 0.027 69.000 3.057 
-0.002 -0.088 -0.078 0.042 0.042 -0.085 0.027 0.027 68.400 3.101 
0.007 -0.078 -0.078 0.032 0.046 -0.081 0.029 0.022 67.800 3.145 
-0.000 -0.078 -0.073 0.037 0.039 -0.078 0.022 0.024 67.600 3.175 
0.002 -0.073 -0.073 0.034 0.039 -0.073 0.029 0.022 67.600 3.204 
0.002 -0.073 -0.071 0.034 0.039 -0.073 0.034 0.022 67.800 3.233 
0.024 -0.037 -0.054 0.002 0.044 -0.049 -0.007 0.002 68.200 3.263 
0.007 -0.068 -0.071 0.029 0.042 -0.071 0.020 0.017 68.800 3.287 
0.010 -0.076 -0.078 0.029 0.049 -0.081 0.017 0.020 69.200 3.311 
0.010 -0.088 -0.090 0.037 0.054 -0.093 0.017 0.024 69.600 3.336 
0.017 -0.095 -0.110 0.039 0.066 -0.103 0.005 0.024 70.200 3.360 
0.029 -0.132 -0.151 0.046 0.095 -0.147 0.007 0.032 70.400 3.370 
0.044 -0.203 -0.239 0.076 0.147 -0.225 0.024 0.051 70.800 3.380 
0.068 -0.300 -0.359 0.112 0.220 -0.335 0.044 0.076 70.800 3.389 
0.061 -0.357 -0.400 0.139 0.239 -0.386 0.071 0.095 71.000 3.399 
0.061 -0.391 -0.442 0.161 0.256 -0.420 0.090 0.107 71.200 3.399 
0.078 -0.427 -0.496 0.171 0.293 -0.466 0.100 0.115 71.200 3.399 
0.093 -0.447 -0.532 0.173 0.317 -0.493 0.098 0.115 71.200 3.399 
0.115 -0.454 -0.557 0.164 0.342 -0.510 0.085 0.110 71.200 3.399 
0.142 -0.484 -0.611 0.164 0.383 -0.554 0.085 0.112 71.000 3.389 
0.183 -0.540 -0.706 0.171 0.454 -0.630 0.078 0.117 70.800 3.380 
0.200 -0.608 -0.803 0.203 0.505 -0.708 0.085 0.134 70.400 3.370 
0.254 -0.642 -0.889 0.190 0.576 -0.769 0.090 0.127 70.200 3.360 
0.286 -0.694 -0.969 0.200 0.632 -0.835 0.129 0.134 69.600 3.350 
0.298 -0.781 -1.072 0.239 0.689 -0.930 0.186 0.159 69.000 3.341 
0.320 -0.867 -1.175 0.269 0.755 -1.026 0.222 0.181 68.200 3.331 
0.322 -0.877 -1.194 0.276 0.762 -1.038 0.271 0.183 67.400 3.321 
0.300 -0.833 -1.121 0.261 0.718 -0.982 0.220 0.176 66.200 3.311 
0.242 -0.786 -1.026 0.271 0.635 -0.906 0.071 0.178 65.000 3.302 
0.164 -0.838 -0.987 0.330 0.584 -0.918 0.056 0.222 63.800 3.292 
0.144 -0.884 -1.016 0.364 0.586 -0.955 -0.005 0.244 62.400 3.282 
0.137 -0.908 -1.038 0.383 0.591 -0.977 -0.112 0.254 61.200 3.272 
0.168 -0.896 -1.060 0.361 0.618 -0.979 -0.288 0.239 59.800 3.263 
0.166 -0.877 -1.035 0.352 0.606 -0.960 -0.381 0.234 58.600 3.253 
0.225 -0.786 -1.009 0.281 0.618 -0.899 -0.501 0.186 57.400 3.243 
0.269 -0.694 -0.957 0.210 0.615 -0.828 -0.525 0.139 56.800 3.238 
0.252 -0.584 -0.825 0.161 0.545 -0.708 -0.464 0.107 56.000 3.233 
0.215 -0.474 -0.684 0.127 0.452 -0.581 -0.386 0.083 56.000 3.228 
0.173 -0.369 -0.530 0.093 0.359 -0.454 -0.315 0.063 55.800 3.223 
0.147 -0.281 -0.415 0.061 0.288 -0.354 -0.256 0.042 56.000 3.219 
0.115 -0.252 -0.352 0.061 0.242 -0.308 -0.203 0.044 56.400 3.214 
0.098 -0.220 -0.310 0.059 0.208 -0.269 -0.181 0.039 57.000 3.209 
0.078 -0.195 -0.269 0.056 0.176 -0.234 -0.166 0.037 57.600 3.204 
0.059 -0.168 -0.220 0.051 0.144 -0.198 -0.107 0.034 58.600 3.199 
0.046 -0.154 -0.195 0.051 0.125 -0.176 -0.066 0.034 59.600 3.194 
0.032 -0.127 -0.154 0.046 0.095 -0.142 -0.039 0.029 60.400 3.189 
0.017 -0.098 -0.115 0.042 0.066 -0.105 -0.034 0.024 61.400 3.184 
0.027 -0.046 -0.068 0.007 0.051 -0.059 -0.034 0.005 62.000 3.175 
0.017 -0.010 -0.022 -0.005 0.022 -0.017 -0.027 -0.005 62.600 3.165 
-0.000 -0.002 0.005 -0.002 0.002 -0.002 -0.012 -0.002 63.000 3.155 
-0.002 0.024 0.034 -0.015 -0.015 0.027 0.005 -0.010 63.200 3.145 
-0.015 0.054 0.078 -0.024 -0.042 0.061 0.024 -0.015 63.000 3.136 
-0.032 0.051 0.093 -0.015 -0.056 0.068 0.049 -0.010 62.800 3.126 
-0.049 0.044 0.100 -0.000 -0.071 0.068 0.073 -0.000 62.000 3.116 
-0.061 0.049 0.117 0.002 -0.085 0.081 0.063 0.002 61.000 3.106 
-0.056 0.061 0.122 -0.005 -0.085 0.090 0.059 -0.005 59.600 3.092 
-0.049 0.068 0.125 -0.012 -0.083 0.093 0.066 -0.010 58.200 3.077 
-0.054 0.076 0.139 -0.015 -0.090 0.103 0.068 -0.010 56.800 3.062 
-0.059 0.081 0.149 -0.015 -0.098 0.110 0.076 -0.010 55.400 3.048 
-0.054 0.088 0.149 -0.020 -0.098 0.115 0.073 -0.015 54.200 3.033 
-0.056 0.088 0.149 -0.017 -0.100 0.117 0.078 -0.012 53.200 3.018 
-0.063 0.090 0.156 -0.015 -0.107 0.122 0.078 -0.012 53.200 3.004 
-0.063 0.098 0.166 -0.020 -0.112 0.129 0.076 -0.015 53.000 2.989 
-0.063 0.107 0.173 -0.022 -0.117 0.139 0.076 -0.017 54.800 2.955 
-0.066 0.112 0.188 -0.027 -0.122 0.147 0.081 -0.017 56.400 2.921 
-0.076 0.107 0.195 -0.022 -0.129 0.147 0.085 -0.012 57.200 2.886 
-0.071 0.110 0.186 -0.022 -0.125 0.147 0.088 -0.015 58.000 2.852 
-0.073 0.110 0.188 -0.020 -0.127 0.147 0.090 -0.015 56.400 2.828 
-0.078 0.122 0.203 -0.022 -0.139 0.161 0.095 -0.017 55.000 2.803 
-0.078 0.117 0.198 -0.020 -0.137 0.156 0.105 -0.015 54.600 2.779 
-0.073 0.134 0.212 -0.032 -0.139 0.171 0.105 -0.022 54.400 2.755 
-0.076 0.144 0.222 -0.034 -0.147 0.183 0.120 -0.024 55.400 2.730 
-0.078 0.149 0.237 -0.039 -0.151 0.188 0.127 -0.027 56.400 2.706 
-0.085 0.149 0.239 -0.034 -0.159 0.193 0.132 -0.024 55.800 2.681 
-0.083 0.161 0.247 -0.039 -0.164 0.203 0.137 -0.029 55.000 2.657 
-0.095 0.171 0.271 -0.039 -0.181 0.220 0.159 -0.027 51.400 2.632 
-0.103 0.181 0.295 -0.044 -0.193 0.232 0.166 -0.029 47.800 2.608 
-0.105 0.183 0.295 -0.042 -0.195 0.237 0.181 -0.029 44.000 2.584 
-0.105 0.188 0.303 -0.046 -0.198 0.242 0.195 -0.029 40.200 2.559 
-0.115 0.188 0.313 -0.042 -0.208 0.247 0.210 -0.027 40.600 2.530 
-0.120 0.193 0.320 -0.039 -0.215 0.254 0.227 -0.027 41.000 2.501 
-0.122 0.186 0.322 -0.039 -0.215 0.247 0.249 -0.024 43.200 2.471 
-0.127 0.188 0.325 -0.034 -0.220 0.252 0.259 -0.022 45.400 2.442 
-0.139 0.183 0.335 -0.027 -0.230 0.254 0.276 -0.017 44.000 2.418 
-0.142 0.190 0.342 -0.029 -0.237 0.261 0.295 -0.020 42.600 2.393 
-0.159 0.178 0.347 -0.015 -0.247 0.259 0.308 -0.010 40.200 2.369 
-0.154 0.186 0.349 -0.020 -0.247 0.264 0.320 -0.012 38.000 2.344 
-0.156 0.186 0.342 -0.015 -0.249 0.264 0.327 -0.012 37.800 2.315 
-0.151 0.176 0.335 -0.015 -0.239 0.252 0.337 -0.010 37.800 2.286 
-0.149 0.173 0.337 -0.020 -0.234 0.249 0.342 -0.010 38.800 2.256 
-0.164 0.171 0.342 -0.007 -0.249 0.254 0.352 -0.005 39.600 2.227 
-0.173 0.171 0.354 -0.002 -0.259 0.259 0.359 -0.002 40.600 2.198 
-0.171 0.176 0.359 -0.007 -0.259 0.261 0.374 -0.005 41.600 2.168 
-0.176 0.183 0.369 -0.007 -0.266 0.271 0.381 -0.005 41.600 2.139 
-0.181 0.178 0.371 -0.005 -0.269 0.269 0.386 -0.002 41.600 2.110 
-0.186 0.178 0.381 -0.005 -0.274 0.271 0.386 -0.000 40.600 2.081 
-0.190 0.181 0.381 -0.000 -0.281 0.276 0.376 -0.000 39.400 2.051 
-0.200 0.166 0.381 0.010 -0.283 0.266 0.371 0.010 37.800 2.022 
-0.210 0.168 0.381 0.020 -0.293 0.274 0.359 0.012 36.200 1.993 
-0.208 0.159 0.383 0.017 -0.286 0.264 0.349 0.015 36.000 1.963 
-0.200 0.159 0.371 0.015 -0.278 0.259 0.330 0.012 35.600 1.934 
-0.183 0.151 0.349 0.010 -0.259 0.244 0.305 0.007 37.800 1.905 
-0.176 0.149 0.339 0.007 -0.249 0.237 0.288 0.007 39.800 1.875 
-0.161 0.139 0.317 0.002 -0.230 0.220 0.266 0.005 41.800 1.846 
-0.156 0.139 0.310 0.002 -0.225 0.217 0.249 0.002 44.000 1.817 
-0.142 0.115 0.276 0.005 -0.198 0.186 0.234 0.007 42.600 1.788 
-0.134 0.105 0.249 0.010 -0.186 0.173 0.203 0.007 41.400 1.758 
-0.110 0.100 0.225 -0.002 -0.159 0.156 0.183 -0.000 39.600 1.729 
-0.100 0.083 0.195 0.002 -0.142 0.134 0.164 0.002 37.800 1.700 
-0.095 0.066 0.171 0.010 -0.127 0.115 0.151 0.007 38.400 1.670 
-0.093 0.056 0.164 0.012 -0.120 0.103 0.139 0.010 39.000 1.641 
-0.095 0.059 0.166 0.012 -0.125 0.107 0.127 0.010 38.400 1.607 
-0.095 0.044 0.151 0.020 -0.117 0.093 0.120 0.015 38.000 1.573 
-0.088 0.039 0.144 0.017 -0.107 0.083 0.112 0.015 36.200 1.538 
-0.085 0.039 0.139 0.017 -0.105 0.083 0.103 0.012 34.600 1.504 
-0.090 0.029 0.137 0.022 -0.105 0.076 0.098 0.017 35.400 1.475 
-0.085 0.032 0.129 0.022 -0.100 0.076 0.085 0.015 36.200 1.446 
-0.085 0.032 0.129 0.022 -0.100 0.076 0.078 0.015 37.000 1.416 
-0.095 0.024 0.132 0.029 -0.107 0.073 0.078 0.022 37.600 1.387 
-0.095 0.032 0.139 0.027 -0.110 0.081 0.076 0.020 36.400 1.353 
-0.090 0.017 0.125 0.029 -0.098 0.063 0.073 0.022 35.000 1.319 
-0.085 0.020 0.120 0.027 -0.095 0.063 0.071 0.020 34.600 1.284 
-0.081 0.027 0.125 0.020 -0.093 0.068 0.071 0.015 34.200 1.250 
-0.085 0.032 0.132 0.020 -0.100 0.076 0.063 0.015 37.600 1.221 
-0.085 0.037 0.137 0.017 -0.103 0.081 0.071 0.015 40.800 1.192 
-0.078 0.044 0.144 0.007 -0.100 0.083 0.068 0.010 49.000 1.162 
-0.085 0.054 0.159 0.007 -0.112 0.098 0.066 0.007 57.200 1.133 
-0.098 0.059 0.171 0.012 -0.127 0.107 0.068 0.010 68.000 1.109 
-0.093 0.061 0.168 0.010 -0.122 0.107 0.071 0.007 79.000 1.084 
-0.090 0.068 0.181 -0.000 -0.125 0.115 0.076 0.005 89.200 1.060 
-0.100 0.068 0.186 0.007 -0.134 0.120 0.076 0.007 99.400 1.035 
-0.105 0.081 0.208 0.002 -0.144 0.134 0.076 0.005 106.200 1.035 
-0.029 0.252 0.300 -0.120 -0.154 0.266 -0.012 -0.076 113.000 1.035 
-0.142 0.015 0.178 0.054 -0.149 0.085 0.125 0.039 114.400 1.035 
-0.110 0.078 0.212 0.005 -0.149 0.134 0.085 0.007 116.000 1.035 
-0.100 0.093 0.217 -0.007 -0.147 0.144 0.061 -0.000 113.400 1.050 
-0.115 0.085 0.222 0.005 -0.156 0.144 0.066 0.007 110.800 1.065 
-0.105 0.088 0.217 -0.002 -0.149 0.142 0.056 0.002 106.000 1.079 
-0.115 0.095 0.234 -0.002 -0.161 0.154 0.039 0.005 101.200 1.094 
-0.107 0.105 0.242 -0.012 -0.159 0.159 0.020 -0.002 95.000 1.138 
-0.105 0.115 0.247 -0.017 -0.161 0.168 0.024 -0.005 88.800 1.182 
-0.112 0.132 0.269 -0.022 -0.178 0.188 0.007 -0.010 83.600 1.226 
-0.129 0.139 0.295 -0.017 -0.198 0.205 0.022 -0.005 78.200 1.270 
-0.122 0.156 0.303 -0.029 -0.200 0.217 0.020 -0.015 75.600 1.328 
-0.115 0.166 0.305 -0.037 -0.198 0.225 0.007 -0.020 73.000 1.387 
