I II III aVR aVL aVF V1 V2 AO SPO2 
-0.068 0.034 0.120 0.010 -0.085 0.068 0.059 0.010 92.000 2.716 
-0.063 0.051 0.132 -0.002 -0.088 0.083 0.063 0.002 93.400 2.696 
-0.063 0.061 0.139 -0.005 -0.093 0.093 0.076 -0.002 94.600 2.676 
-0.066 0.066 0.151 -0.010 -0.098 0.100 0.088 -0.002 95.600 2.657 
-0.085 0.063 0.171 -0.000 -0.117 0.107 0.110 0.005 96.400 2.637 
-0.078 0.059 0.164 -0.002 -0.107 0.098 0.122 0.005 97.400 2.618 
-0.083 0.061 0.161 0.002 -0.112 0.103 0.137 0.005 97.800 2.598 
-0.085 0.059 0.164 0.005 -0.115 0.103 0.151 0.007 98.400 2.579 
-0.098 0.066 0.186 0.005 -0.129 0.115 0.173 0.007 98.800 2.564 
-0.093 0.071 0.183 0.002 -0.127 0.117 0.188 0.005 99.200 2.549 
-0.110 0.078 0.205 0.007 -0.149 0.134 0.208 0.007 99.600 2.535 
-0.115 0.068 0.203 0.015 -0.149 0.127 0.220 0.012 99.800 2.520 
-0.107 0.078 0.205 0.005 -0.147 0.132 0.237 0.007 100.200 2.501 
-0.122 0.076 0.220 0.012 -0.159 0.137 0.249 0.012 100.800 2.481 
-0.132 0.073 0.220 0.022 -0.168 0.139 0.256 0.017 101.200 2.462 
-0.139 0.066 0.230 0.024 -0.171 0.137 0.269 0.022 101.800 2.442 
-0.127 0.068 0.217 0.020 -0.161 0.132 0.274 0.017 102.200 2.422 
-0.127 0.061 0.208 0.024 -0.156 0.125 0.281 0.020 102.800 2.403 
-0.129 0.049 0.203 0.029 -0.154 0.115 0.283 0.024 103.400 2.383 
-0.139 0.037 0.198 0.042 -0.156 0.107 0.293 0.032 104.000 2.364 
-0.129 0.032 0.186 0.037 -0.144 0.098 0.293 0.029 104.800 2.344 
-0.129 0.039 0.188 0.037 -0.149 0.105 0.281 0.027 105.400 2.325 
-0.134 0.034 0.186 0.042 -0.151 0.103 0.281 0.032 105.800 2.305 
-0.129 0.027 0.168 0.046 -0.142 0.093 0.266 0.032 106.200 2.286 
-0.117 0.015 0.154 0.042 -0.125 0.073 0.256 0.032 106.400 2.261 
-0.103 0.012 0.132 0.037 -0.107 0.063 0.237 0.027 106.600 2.237 
-0.090 0.005 0.115 0.034 -0.093 0.051 0.225 0.027 106.600 2.212 
-0.083 -0.005 0.098 0.034 -0.081 0.037 0.208 0.027 106.600 2.188 
-0.068 -0.012 0.073 0.032 -0.061 0.022 0.183 0.024 106.400 2.164 
-0.073 -0.022 0.073 0.037 -0.061 0.015 0.168 0.029 106.200 2.139 
-0.054 -0.012 0.061 0.024 -0.046 0.015 0.142 0.020 106.000 2.115 
-0.046 -0.027 0.042 0.027 -0.032 -0.002 0.125 0.022 105.800 2.090 
-0.034 -0.039 0.017 0.027 -0.015 -0.022 0.107 0.022 105.600 2.061 
-0.034 -0.049 0.010 0.029 -0.010 -0.032 0.093 0.024 105.200 2.032 
-0.024 -0.068 -0.017 0.034 0.010 -0.056 0.085 0.029 104.800 2.002 
