I II III aVR aVL aVF V1 AO Resp SPO2
0.010 0.059 0.046 -0.032 -0.020 0.054 -0.007 63.000 0.054 1.836 
0.007 0.042 0.034 -0.024 -0.012 0.039 0.007 62.400 0.054 1.817 
0.010 0.020 0.017 -0.017 -0.000 0.015 0.005 61.800 0.054 1.797 
0.002 0.005 0.005 -0.005 -0.000 0.005 0.015 61.400 0.054 1.778 
-0.012 -0.002 0.010 0.007 -0.010 0.005 0.017 61.000 0.054 1.763 
-0.010 0.002 0.010 0.005 -0.010 0.007 0.020 60.600 0.054 1.748 
-0.012 -0.000 0.005 0.010 -0.012 0.007 0.020 60.200 0.054 1.734 
-0.015 -0.007 0.002 0.015 -0.010 -0.000 0.020 60.000 0.054 1.719 
-0.015 -0.002 0.012 0.010 -0.012 0.005 0.029 59.800 0.054 1.719 
-0.005 0.010 0.015 -0.002 -0.010 0.012 0.024 59.800 0.054 1.719 
-0.020 0.010 0.029 0.005 -0.024 0.020 0.027 59.800 0.054 1.719 
-0.015 0.015 0.034 -0.002 -0.022 0.022 0.032 60.000 0.051 1.719 
-0.015 0.002 0.020 0.005 -0.015 0.010 0.027 60.200 0.049 1.748 
-0.015 -0.000 0.010 0.010 -0.015 0.007 0.032 60.600 0.049 1.778 
-0.010 0.002 0.007 0.007 -0.010 0.007 0.034 61.000 0.049 1.807 
0.007 0.007 0.002 -0.007 0.005 0.005 0.037 61.400 0.049 1.836 
-0.002 0.010 0.007 -0.000 -0.007 0.012 0.029 62.000 0.046 1.900 
-0.010 0.007 0.010 0.005 -0.012 0.012 0.022 62.600 0.046 1.963 
-0.005 0.005 0.010 -0.000 -0.007 0.007 0.027 63.000 0.046 2.027 
-0.010 0.005 0.015 0.002 -0.012 0.010 0.034 63.600 0.044 2.090 
0.007 0.054 0.042 -0.027 -0.020 0.051 0.032 64.200 0.044 2.183 
0.024 0.168 0.142 -0.095 -0.059 0.156 0.061 64.600 0.042 2.276 
0.032 0.234 0.200 -0.132 -0.085 0.220 0.090 65.000 0.042 2.369 
0.115 0.347 0.222 -0.225 -0.059 0.291 0.076 65.600 0.042 2.462 
0.244 0.515 0.269 -0.379 -0.012 0.393 -0.015 65.800 0.042 2.569 
0.486 0.803 0.313 -0.642 0.085 0.562 -0.269 66.200 0.042 2.676 
0.762 1.114 0.349 -0.935 0.205 0.733 -0.593 66.400 0.042 2.784 
0.916 1.292 0.371 -1.101 0.271 0.835 -0.779 66.600 0.044 2.891 
0.906 0.999 0.083 -0.947 0.408 0.547 -0.691 66.600 0.044 2.999 
0.449 0.576 0.125 -0.510 0.161 0.352 -0.317 66.800 0.044 3.106 
-0.083 0.295 0.383 -0.107 -0.230 0.337 0.076 66.800 0.046 3.214 
-0.320 0.168 0.488 0.076 -0.403 0.330 0.261 66.600 0.046 3.321 
-0.322 0.149 0.469 0.088 -0.396 0.310 0.239 66.600 0.049 3.453 
-0.291 0.147 0.442 0.071 -0.364 0.293 0.227 66.600 0.049 3.585 
-0.288 0.137 0.432 0.073 -0.357 0.281 0.295 66.400 0.051 3.717 
-0.293 0.117 0.408 0.090 -0.352 0.264 0.354 66.400 0.054 3.849 
-0.276 0.107 0.386 0.083 -0.330 0.247 0.383 66.200 0.056 3.863 
-0.259 0.105 0.366 0.076 -0.310 0.234 0.427 66.000 0.059 3.878 
-0.256 0.093 0.354 0.081 -0.303 0.222 0.464 66.000 0.061 3.893 
-0.271 0.027 0.305 0.120 -0.283 0.164 0.542 65.800 0.063 3.907 
-0.259 -0.017 0.242 0.139 -0.249 0.112 0.630 65.800 0.066 3.897 
-0.230 -0.049 0.183 0.139 -0.205 0.066 0.733 65.600 0.071 3.888 
-0.210 -0.046 0.161 0.129 -0.186 0.059 0.813 65.600 0.073 3.878 
-0.203 -0.051 0.147 0.129 -0.176 0.051 0.833 65.400 0.078 3.868 
-0.198 -0.063 0.132 0.132 -0.166 0.037 0.825 65.400 0.083 3.829 
-0.190 -0.085 0.103 0.139 -0.147 0.010 0.725 65.200 0.085 3.790 
-0.168 -0.095 0.066 0.137 -0.120 -0.010 0.564 65.200 0.090 3.751 
-0.161 -0.093 0.056 0.134 -0.115 -0.012 0.383 65.000 0.095 3.712 
-0.147 -0.076 0.063 0.115 -0.107 -0.002 0.239 65.000 0.100 3.658 
-0.100 -0.056 0.044 0.078 -0.071 -0.005 0.134 64.800 0.105 3.604 
-0.039 -0.034 -0.000 0.039 -0.022 -0.015 0.090 64.600 0.110 3.551 
-0.007 -0.027 -0.022 0.020 0.007 -0.022 0.054 64.400 0.115 3.497 
-0.010 -0.020 -0.015 0.017 -0.000 -0.015 0.044 64.400 0.122 3.424 
-0.024 -0.027 -0.015 0.032 -0.010 -0.015 0.024 64.200 0.127 3.350 
-0.002 -0.007 -0.015 0.010 0.002 -0.005 0.002 64.200 0.132 3.277 
0.007 -0.015 -0.029 0.007 0.015 -0.017 -0.007 64.200 0.139 3.204 
-0.000 -0.017 -0.020 0.010 0.010 -0.017 -0.010 64.600 0.144 3.121 
-0.000 -0.022 -0.034 0.017 0.012 -0.022 -0.024 64.800 0.149 3.038 
-0.000 -0.020 -0.024 0.012 0.010 -0.020 -0.024 65.400 0.154 2.955 
0.005 -0.022 -0.029 0.010 0.017 -0.024 -0.024 66.200 0.161 2.872 
0.005 -0.034 -0.042 0.017 0.022 -0.037 -0.024 66.800 0.166 2.784 
-0.007 -0.032 -0.027 0.022 0.010 -0.027 -0.024 67.400 0.173 2.696 
0.012 -0.022 -0.037 0.007 0.024 -0.027 -0.024 68.000 0.178 2.608 
0.015 -0.022 -0.037 0.005 0.027 -0.029 -0.022 68.600 0.186 2.520 
0.005 -0.027 -0.039 0.015 0.020 -0.029 -0.017 69.200 0.190 2.447 
-0.000 -0.039 -0.044 0.022 0.020 -0.039 -0.027 69.800 0.193 2.374 
-0.015 -0.054 -0.049 0.039 0.012 -0.046 -0.022 70.600 0.198 2.300 
0.010 -0.059 -0.068 0.024 0.039 -0.063 -0.024 71.200 0.203 2.227 
0.005 -0.066 -0.071 0.032 0.039 -0.068 -0.022 72.000 0.208 2.183 
-0.005 -0.073 -0.071 0.042 0.032 -0.071 -0.032 72.600 0.210 2.139 
-0.015 -0.090 -0.078 0.054 0.032 -0.083 -0.029 73.400 0.215 2.095 
-0.015 -0.093 -0.081 0.056 0.032 -0.085 -0.015 74.000 0.220 2.051 
-0.012 -0.120 -0.105 0.066 0.049 -0.112 -0.015 74.600 0.222 2.032 
-0.012 -0.137 -0.129 0.078 0.056 -0.129 -0.022 75.400 0.225 2.012 
-0.032 -0.159 -0.132 0.098 0.049 -0.142 -0.020 75.800 0.227 1.993 
-0.032 -0.171 -0.147 0.105 0.054 -0.154 -0.010 76.400 0.230 1.973 
-0.042 -0.186 -0.151 0.117 0.051 -0.164 -0.007 77.000 0.232 1.993 
-0.051 -0.195 -0.156 0.129 0.046 -0.168 -0.010 77.600 0.232 2.012 
-0.056 -0.217 -0.171 0.142 0.054 -0.188 -0.007 78.200 0.234 2.032 
-0.044 -0.234 -0.193 0.142 0.073 -0.212 -0.007 79.000 0.234 2.051 
-0.056 -0.247 -0.200 0.156 0.068 -0.217 -0.010 79.800 0.234 2.085 
-0.059 -0.264 -0.208 0.164 0.073 -0.234 -0.017 80.600 0.234 2.120 
-0.068 -0.276 -0.212 0.176 0.071 -0.242 -0.015 81.200 0.234 2.154 
-0.078 -0.271 -0.200 0.178 0.059 -0.232 -0.005 82.000 0.237 2.188 
-0.061 -0.269 -0.215 0.168 0.073 -0.237 -0.015 82.800 0.237 2.227 
-0.037 -0.254 -0.230 0.151 0.090 -0.234 -0.032 83.600 0.234 2.266 
-0.027 -0.252 -0.237 0.147 0.100 -0.237 -0.042 84.200 0.234 2.305 
-0.020 -0.234 -0.220 0.129 0.098 -0.225 -0.039 84.800 0.234 2.344 
-0.024 -0.203 -0.183 0.117 0.078 -0.190 -0.049 85.400 0.234 2.383 
-0.010 -0.154 -0.156 0.088 0.068 -0.149 -0.063 86.000 0.232 2.422 
0.017 -0.120 -0.142 0.054 0.078 -0.127 -0.068 86.400 0.232 2.462 
0.044 -0.088 -0.129 0.022 0.088 -0.110 -0.081 86.800 0.230 2.501 
0.059 -0.063 -0.120 0.002 0.090 -0.093 -0.083 87.200 0.227 2.525 
0.046 -0.051 -0.098 0.002 0.073 -0.073 -0.088 87.600 0.227 2.549 
0.059 -0.020 -0.078 -0.020 0.068 -0.049 -0.088 87.800 0.225 2.574 
