I II III aVR aVL aVF V1 AO Resp SPO2
-0.076 -0.244 -0.178 0.166 0.046 -0.205 -0.012 85.000 -0.088 2.422 
-0.081 -0.269 -0.193 0.178 0.054 -0.227 -0.007 85.400 -0.088 2.442 
-0.088 -0.288 -0.208 0.193 0.056 -0.244 -0.005 86.000 -0.088 2.476 
-0.107 -0.278 -0.176 0.195 0.032 -0.225 -0.007 86.600 -0.088 2.510 
-0.122 -0.295 -0.183 0.215 0.027 -0.234 -0.015 87.000 -0.088 2.545 
-0.107 -0.291 -0.193 0.205 0.039 -0.237 -0.017 87.600 -0.090 2.579 
-0.090 -0.308 -0.230 0.205 0.063 -0.261 -0.024 88.200 -0.090 2.613 
-0.071 -0.274 -0.212 0.178 0.066 -0.237 -0.034 88.800 -0.090 2.647 
-0.056 -0.266 -0.220 0.166 0.078 -0.237 -0.046 89.400 -0.090 2.681 
-0.051 -0.244 -0.198 0.151 0.071 -0.217 -0.051 90.000 -0.093 2.716 
-0.042 -0.210 -0.171 0.127 0.063 -0.188 -0.054 90.600 -0.093 2.745 
-0.015 -0.195 -0.183 0.107 0.083 -0.188 -0.068 91.200 -0.093 2.774 
-0.007 -0.178 -0.178 0.098 0.083 -0.173 -0.071 91.800 -0.095 2.803 
0.007 -0.129 -0.139 0.063 0.073 -0.132 -0.076 92.400 -0.095 2.833 
0.024 -0.112 -0.134 0.044 0.081 -0.125 -0.076 92.800 -0.095 2.852 
0.042 -0.088 -0.129 0.024 0.085 -0.107 -0.088 93.400 -0.095 2.872 
0.046 -0.056 -0.103 0.005 0.076 -0.078 -0.093 93.600 -0.095 2.891 
0.059 -0.032 -0.088 -0.015 0.076 -0.061 -0.090 94.000 -0.095 2.911 
0.059 -0.010 -0.071 -0.022 0.063 -0.039 -0.076 94.400 -0.095 2.921 
0.056 -0.010 -0.066 -0.022 0.061 -0.037 -0.063 94.600 -0.095 2.930 
0.054 0.005 -0.049 -0.029 0.051 -0.022 -0.059 95.000 -0.095 2.940 
0.051 0.022 -0.034 -0.034 0.042 -0.002 -0.059 95.200 -0.095 2.950 
0.054 0.024 -0.027 -0.039 0.042 -0.002 -0.046 95.400 -0.095 2.955 
0.056 0.042 -0.012 -0.049 0.037 0.015 -0.037 95.800 -0.095 2.960 
0.042 0.042 -0.005 -0.039 0.022 0.022 -0.032 95.800 -0.095 2.965 
0.039 0.039 -0.000 -0.039 0.020 0.020 -0.027 96.000 -0.093 2.969 
0.037 0.051 0.020 -0.046 0.012 0.034 -0.015 96.200 -0.093 2.969 
0.029 0.044 0.012 -0.034 0.007 0.029 -0.017 96.200 -0.093 2.969 
0.029 0.056 0.022 -0.039 0.002 0.042 -0.015 96.200 -0.093 2.969 
0.022 0.039 0.022 -0.032 0.002 0.029 -0.005 96.200 -0.095 2.969 
0.015 0.029 0.020 -0.024 -0.000 0.022 -0.000 96.200 -0.095 2.960 
0.029 0.039 0.005 -0.032 0.010 0.024 -0.010 96.000 -0.095 2.950 
0.039 0.032 -0.012 -0.032 0.024 0.012 -0.005 95.800 -0.095 2.940 
0.010 0.024 0.012 -0.015 -0.002 0.020 0.012 95.600 -0.093 2.930 
0.002 0.024 0.017 -0.010 -0.010 0.024 0.012 95.400 -0.093 2.916 
-0.005 0.029 0.034 -0.012 -0.020 0.032 0.012 95.000 -0.093 2.901 
0.007 0.012 -0.000 -0.007 0.002 0.010 0.012 94.800 -0.093 2.886 
0.020 0.015 -0.012 -0.012 0.012 0.005 0.020 94.400 -0.093 2.872 
0.012 0.027 0.010 -0.017 -0.000 0.022 0.017 94.000 -0.093 2.847 
0.005 0.024 0.017 -0.012 -0.007 0.022 0.017 93.400 -0.093 2.823 
0.002 0.044 0.037 -0.020 -0.020 0.044 0.012 92.800 -0.093 2.799 
-0.002 0.032 0.037 -0.015 -0.017 0.034 0.012 92.200 -0.093 2.774 
-0.005 0.029 0.027 -0.007 -0.020 0.032 0.022 91.400 -0.093 2.716 
-0.002 0.037 0.034 -0.015 -0.020 0.039 0.020 90.800 -0.093 2.657 
-0.007 0.044 0.044 -0.015 -0.029 0.049 0.020 89.800 -0.093 2.598 
0.002 0.056 0.046 -0.024 -0.024 0.056 0.020 89.000 -0.090 2.540 
0.007 0.071 0.054 -0.034 -0.027 0.068 0.029 88.000 -0.090 2.515 
0.020 0.083 0.059 -0.049 -0.022 0.073 0.042 87.000 -0.090 2.491 
0.015 0.105 0.088 -0.059 -0.037 0.098 0.063 86.000 -0.090 2.466 
0.027 0.129 0.107 -0.081 -0.037 0.117 0.081 85.200 -0.090 2.442 
0.046 0.176 0.127 -0.110 -0.042 0.154 0.085 84.400 -0.090 2.427 
0.071 0.217 0.147 -0.144 -0.037 0.183 0.103 83.800 -0.090 2.413 
0.068 0.227 0.154 -0.144 -0.044 0.193 0.107 83.200 -0.090 2.398 
0.085 0.237 0.156 -0.164 -0.032 0.195 0.085 82.600 -0.088 2.383 
0.068 0.239 0.171 -0.154 -0.051 0.205 0.110 82.000 -0.088 2.374 
0.073 0.230 0.156 -0.151 -0.042 0.193 0.105 81.400 -0.088 2.364 
0.068 0.225 0.156 -0.147 -0.044 0.190 0.032 80.800 -0.088 2.354 
0.059 0.183 0.120 -0.117 -0.032 0.154 -0.012 80.200 -0.090 2.344 
0.044 0.151 0.103 -0.095 -0.032 0.129 -0.037 79.800 -0.090 2.335 
0.046 0.137 0.088 -0.090 -0.022 0.115 -0.056 79.200 -0.090 2.325 
0.042 0.100 0.049 -0.066 -0.007 0.081 -0.059 78.800 -0.090 2.315 
0.054 0.083 0.029 -0.068 0.012 0.056 -0.063 78.400 -0.090 2.305 
0.061 0.088 0.029 -0.076 0.017 0.059 -0.073 78.200 -0.090 2.286 
0.042 0.063 0.017 -0.049 0.010 0.044 -0.066 77.800 -0.090 2.266 
0.056 0.046 -0.012 -0.049 0.034 0.020 -0.059 77.400 -0.090 2.247 
0.066 0.020 -0.051 -0.039 0.056 -0.012 -0.056 77.200 -0.088 2.227 
0.024 -0.015 -0.037 -0.005 0.032 -0.027 -0.032 76.800 -0.088 2.208 
0.024 -0.010 -0.032 -0.007 0.029 -0.022 -0.022 76.400 -0.088 2.188 
0.012 -0.005 -0.015 -0.005 0.015 -0.010 -0.012 76.200 -0.088 2.168 
0.005 -0.002 -0.010 -0.000 0.007 -0.005 -0.007 75.800 -0.088 2.149 
-0.002 0.002 0.007 -0.000 -0.002 0.005 -0.000 75.400 -0.088 2.120 
-0.024 -0.027 -0.007 0.029 -0.010 -0.015 0.007 75.000 -0.088 2.090 
-0.020 -0.042 -0.024 0.032 0.002 -0.032 0.005 74.600 -0.085 2.061 
-0.024 -0.042 -0.024 0.037 -0.002 -0.029 0.020 74.400 -0.083 2.032 
-0.017 -0.022 -0.007 0.022 -0.005 -0.012 0.005 74.200 -0.083 2.002 
-0.017 -0.037 -0.017 0.027 0.002 -0.027 0.012 74.000 -0.083 1.973 
-0.037 -0.032 0.002 0.037 -0.020 -0.012 0.020 74.000 -0.083 1.944 
-0.037 -0.034 0.007 0.034 -0.020 -0.015 0.012 73.800 -0.081 1.915 
-0.027 -0.037 -0.005 0.029 -0.007 -0.022 0.015 73.600 -0.078 1.905 
-0.024 -0.039 -0.010 0.029 -0.005 -0.027 0.017 73.400 -0.078 1.895 
-0.027 -0.037 -0.012 0.034 -0.007 -0.022 0.020 73.400 -0.078 1.885 
-0.032 -0.061 -0.032 0.049 -0.000 -0.044 0.024 73.200 -0.076 1.875 
-0.027 -0.046 -0.020 0.037 -0.002 -0.032 0.024 73.200 -0.076 1.885 
-0.029 -0.034 -0.005 0.032 -0.012 -0.020 0.020 73.200 -0.073 1.895 
-0.022 -0.020 -0.000 0.022 -0.012 -0.007 0.022 73.600 -0.073 1.905 
-0.017 -0.007 0.005 0.015 -0.012 0.002 0.020 74.000 -0.073 1.915 
-0.010 -0.022 -0.010 0.015 0.002 -0.017 0.017 74.600 -0.071 1.954 
-0.015 -0.034 -0.022 0.027 0.002 -0.027 0.020 75.000 -0.068 1.993 
-0.017 0.015 0.029 0.002 -0.024 0.024 0.027 75.600 -0.068 2.032 
0.005 0.120 0.117 -0.063 -0.054 0.117 0.054 76.400 -0.066 2.071 
0.017 0.203 0.190 -0.112 -0.083 0.195 0.088 76.800 -0.066 2.129 
0.066 0.281 0.220 -0.176 -0.073 0.249 0.090 77.400 -0.063 2.188 
0.208 0.403 0.198 -0.305 0.007 0.300 0.034 77.600 -0.063 2.247 
0.396 0.625 0.237 -0.513 0.083 0.427 -0.149 78.000 -0.061 2.305 
0.718 0.882 0.166 -0.801 0.278 0.523 -0.457 78.200 -0.061 2.374 
0.935 1.143 0.203 -1.035 0.364 0.676 -0.728 78.400 -0.059 2.442 
1.006 1.035 0.024 -1.018 0.488 0.532 -0.740 78.400 -0.059 2.510 
0.747 0.615 -0.134 -0.679 0.440 0.242 -0.488 78.600 -0.054 2.579 
0.095 0.320 0.227 -0.208 -0.063 0.274 -0.029 78.600 -0.054 2.637 
-0.261 0.183 0.444 0.039 -0.352 0.315 0.227 78.600 -0.051 2.696 
-0.335 0.120 0.459 0.105 -0.393 0.288 0.286 78.400 -0.051 2.755 
-0.308 0.117 0.425 0.095 -0.366 0.271 0.261 78.200 -0.049 2.813 
-0.310 0.100 0.410 0.105 -0.359 0.256 0.332 77.800 -0.046 2.852 
-0.325 0.088 0.413 0.120 -0.369 0.252 0.410 77.400 -0.044 2.891 
-0.327 0.095 0.425 0.115 -0.374 0.259 0.442 77.000 -0.042 2.930 
-0.313 0.117 0.430 0.098 -0.371 0.274 0.479 76.600 -0.039 2.969 
-0.322 0.112 0.432 0.107 -0.379 0.274 0.527 76.200 -0.037 2.979 
-0.317 0.093 0.415 0.110 -0.364 0.252 0.581 75.800 -0.037 2.989 
-0.305 0.020 0.330 0.142 -0.315 0.173 0.674 75.600 -0.034 2.999 
-0.295 -0.012 0.288 0.151 -0.288 0.137 0.786 75.400 -0.032 3.009 
-0.269 -0.002 0.269 0.134 -0.266 0.132 0.877 75.200 -0.029 2.999 
-0.252 0.007 0.261 0.122 -0.254 0.134 0.877 75.000 -0.027 2.989 
-0.247 -0.032 0.227 0.134 -0.230 0.093 0.855 74.800 -0.024 2.979 
-0.230 -0.044 0.186 0.137 -0.208 0.071 0.747 74.400 -0.022 2.969 
-0.208 -0.066 0.137 0.139 -0.173 0.039 0.611 74.200 -0.020 2.945 
-0.181 -0.066 0.105 0.129 -0.147 0.024 0.415 74.000 -0.017 2.921 
-0.168 -0.066 0.103 0.117 -0.134 0.020 0.269 73.600 -0.015 2.896 
-0.117 -0.063 0.049 0.093 -0.085 -0.005 0.154 73.400 -0.012 2.872 
-0.078 -0.066 0.010 0.073 -0.044 -0.027 0.112 73.000 -0.012 2.828 
-0.034 -0.039 -0.012 0.042 -0.015 -0.022 0.061 72.400 -0.010 2.784 
-0.010 -0.032 -0.027 0.024 0.007 -0.027 0.044 72.200 -0.007 2.740 
-0.017 -0.034 -0.022 0.029 -0.000 -0.024 0.032 72.000 -0.005 2.696 
-0.022 -0.051 -0.034 0.039 0.005 -0.039 0.024 72.000 -0.002 2.647 
-0.017 -0.046 -0.029 0.032 0.007 -0.037 0.012 72.000 -0.002 2.598 
-0.012 -0.042 -0.029 0.027 0.010 -0.034 0.002 72.400 -0.000 2.549 
-0.015 -0.044 -0.034 0.032 0.007 -0.037 -0.007 72.800 -0.000 2.501 
-0.010 -0.044 -0.032 0.027 0.012 -0.039 -0.010 73.200 -0.000 2.442 
-0.007 -0.042 -0.037 0.027 0.015 -0.037 -0.017 73.600 0.002 2.383 
-0.000 -0.054 -0.049 0.024 0.027 -0.054 -0.022 73.800 0.002 2.325 
0.002 -0.044 -0.054 0.024 0.024 -0.044 -0.015 74.000 0.005 2.266 
-0.010 -0.051 -0.046 0.034 0.017 -0.046 -0.017 74.200 0.005 2.212 
-0.015 -0.059 -0.049 0.039 0.015 -0.051 -0.022 74.400 0.007 2.159 
-0.000 -0.066 -0.056 0.029 0.034 -0.066 -0.024 74.800 0.007 2.105 
-0.012 -0.063 -0.054 0.039 0.020 -0.056 -0.027 75.200 0.010 2.051 
-0.002 -0.071 -0.073 0.039 0.034 -0.068 -0.027 75.800 0.012 2.002 
-0.022 -0.085 -0.068 0.056 0.022 -0.073 -0.027 76.600 0.015 1.954 
-0.027 -0.095 -0.066 0.061 0.022 -0.081 -0.034 77.200 0.015 1.905 
-0.032 -0.103 -0.073 0.068 0.020 -0.085 -0.027 77.800 0.017 1.856 
-0.034 -0.115 -0.081 0.076 0.024 -0.098 -0.022 78.400 0.017 1.812 
-0.049 -0.129 -0.083 0.090 0.017 -0.105 -0.024 79.000 0.020 1.768 
-0.049 -0.147 -0.098 0.098 0.024 -0.122 -0.024 79.600 0.020 1.724 
-0.039 -0.166 -0.129 0.105 0.044 -0.147 -0.022 80.000 0.022 1.680 
-0.054 -0.176 -0.120 0.115 0.034 -0.149 -0.012 80.600 0.022 1.695 
-0.076 -0.186 -0.115 0.134 0.017 -0.147 -0.017 81.000 0.024 1.709 
-0.085 -0.200 -0.120 0.147 0.015 -0.156 -0.010 81.600 0.024 1.724 
-0.093 -0.212 -0.129 0.159 0.015 -0.166 -0.012 82.000 0.027 1.739 
-0.085 -0.230 -0.147 0.159 0.029 -0.186 -0.012 82.600 0.027 1.773 
-0.095 -0.252 -0.164 0.178 0.032 -0.203 -0.012 83.400 0.027 1.807 
-0.100 -0.276 -0.178 0.190 0.039 -0.225 -0.010 84.000 0.027 1.841 
-0.107 -0.300 -0.198 0.208 0.044 -0.247 -0.015 84.800 0.029 1.875 
-0.117 -0.320 -0.215 0.225 0.044 -0.261 -0.012 85.400 0.029 1.915 
-0.110 -0.315 -0.212 0.217 0.049 -0.259 -0.012 86.000 0.029 1.954 
-0.093 -0.310 -0.220 0.203 0.063 -0.264 -0.017 86.800 0.029 1.993 
-0.090 -0.300 -0.212 0.198 0.061 -0.254 -0.027 87.400 0.032 2.032 
-0.093 -0.283 -0.190 0.188 0.049 -0.237 -0.034 88.000 0.032 2.066 
-0.085 -0.266 -0.183 0.178 0.049 -0.222 -0.044 88.600 0.032 2.100 
-0.073 -0.244 -0.171 0.159 0.049 -0.208 -0.051 89.200 0.032 2.134 
-0.054 -0.230 -0.176 0.142 0.061 -0.203 -0.054 90.000 0.032 2.168 
-0.039 -0.205 -0.166 0.122 0.063 -0.186 -0.061 90.600 0.032 2.193 
-0.022 -0.171 -0.149 0.098 0.063 -0.159 -0.071 91.200 0.032 2.217 
-0.005 -0.132 -0.125 0.068 0.061 -0.129 -0.083 91.800 0.032 2.242 
0.012 -0.100 -0.107 0.042 0.063 -0.105 -0.088 92.200 0.032 2.266 
0.037 -0.061 -0.093 0.010 0.068 -0.078 -0.085 92.800 0.034 2.276 
0.034 -0.044 -0.076 0.005 0.056 -0.061 -0.088 93.200 0.034 2.286 
0.029 -0.027 -0.056 -0.000 0.044 -0.042 -0.081 93.400 0.034 2.295 
0.042 -0.010 -0.054 -0.015 0.046 -0.029 -0.076 93.800 0.034 2.305 
0.046 -0.000 -0.042 -0.024 0.046 -0.022 -0.076 94.000 0.037 2.310 
0.044 0.020 -0.017 -0.034 0.034 -0.002 -0.071 94.200 0.037 2.315 
0.046 0.024 -0.015 -0.039 0.034 0.002 -0.059 94.400 0.037 2.320 
0.029 0.010 -0.017 -0.020 0.024 -0.005 -0.037 94.600 0.039 2.325 
0.020 0.022 0.002 -0.020 0.010 0.012 -0.024 94.800 0.039 2.320 
0.020 0.042 0.022 -0.029 -0.000 0.032 -0.029 95.000 0.039 2.315 
0.017 0.034 0.024 -0.029 -0.000 0.027 -0.022 94.800 0.039 2.310 
0.020 0.054 0.034 -0.037 -0.007 0.044 -0.022 94.800 0.039 2.305 
0.010 0.046 0.039 -0.029 -0.012 0.042 -0.010 94.600 0.039 2.295 
-0.010 0.042 0.049 -0.015 -0.029 0.046 -0.002 94.400 0.039 2.286 
-0.005 0.037 0.039 -0.015 -0.022 0.039 0.005 94.200 0.039 2.276 
0.002 0.034 0.034 -0.020 -0.015 0.034 0.005 94.000 0.039 2.266 
0.012 0.029 0.017 -0.020 -0.002 0.024 -0.002 94.000 0.039 2.252 
0.005 0.017 0.012 -0.010 -0.002 0.015 0.002 93.800 0.039 2.237 
-0.005 0.020 0.024 -0.007 -0.015 0.022 0.007 93.600 0.039 2.222 
-0.010 0.010 0.020 -0.000 -0.015 0.015 0.010 93.400 0.039 2.208 
-0.000 0.024 0.027 -0.012 -0.012 0.024 0.012 93.000 0.039 2.188 
0.002 0.034 0.029 -0.017 -0.015 0.034 0.010 92.600 0.039 2.168 
0.002 0.024 0.029 -0.017 -0.010 0.024 0.007 91.800 0.039 2.149 
-0.007 0.029 0.037 -0.010 -0.022 0.034 0.007 91.000 0.039 2.129 
-0.007 0.027 0.032 -0.007 -0.020 0.032 0.012 90.400 0.039 2.100 
-0.007 0.029 0.039 -0.012 -0.022 0.034 0.015 89.800 0.039 2.071 
-0.007 0.022 0.034 -0.010 -0.017 0.027 0.010 89.400 0.039 2.042 
-0.005 0.027 0.034 -0.012 -0.017 0.029 0.007 89.000 0.037 2.012 
-0.012 0.010 0.029 -0.002 -0.017 0.017 0.017 88.800 0.037 1.983 
-0.002 0.022 0.027 -0.010 -0.012 0.024 0.017 88.600 0.037 1.954 
-0.000 0.049 0.049 -0.024 -0.024 0.049 0.012 88.000 0.037 1.924 
-0.002 0.061 0.068 -0.032 -0.032 0.063 0.029 87.400 0.039 1.895 
0.002 0.085 0.081 -0.042 -0.039 0.085 0.046 86.600 0.037 1.875 
0.020 0.120 0.107 -0.073 -0.039 0.110 0.061 85.800 0.037 1.856 
0.034 0.137 0.110 -0.088 -0.034 0.120 0.081 85.000 0.037 1.836 
0.049 0.149 0.105 -0.100 -0.024 0.125 0.095 84.200 0.034 1.817 
0.059 0.193 0.134 -0.125 -0.037 0.164 0.110 83.400 0.034 1.797 
0.071 0.227 0.159 -0.149 -0.042 0.193 0.103 82.800 0.034 1.778 
0.078 0.252 0.178 -0.166 -0.046 0.212 0.076 82.200 0.034 1.758 
0.076 0.247 0.178 -0.164 -0.046 0.210 0.103 81.600 0.034 1.739 
0.056 0.222 0.171 -0.142 -0.054 0.195 0.100 81.000 0.034 1.724 
0.056 0.200 0.147 -0.129 -0.044 0.173 0.024 80.400 0.034 1.709 
0.046 0.168 0.122 -0.107 -0.037 0.147 -0.012 79.600 0.034 1.695 
0.042 0.144 0.105 -0.093 -0.029 0.125 -0.042 78.800 0.037 1.680 
0.059 0.132 0.076 -0.095 -0.007 0.103 -0.061 78.000 0.037 1.665 
0.046 0.107 0.063 -0.078 -0.007 0.085 -0.066 77.400 0.037 1.651 
0.056 0.100 0.049 -0.081 0.007 0.073 -0.061 76.800 0.037 1.636 
0.061 0.066 0.007 -0.063 0.029 0.037 -0.066 76.200 0.034 1.621 
0.059 0.039 -0.022 -0.046 0.039 0.010 -0.066 75.800 0.037 1.602 
0.071 0.029 -0.044 -0.049 0.056 -0.005 -0.063 75.200 0.037 1.582 
0.059 0.015 -0.044 -0.037 0.051 -0.015 -0.056 74.800 0.037 1.563 
0.022 0.010 -0.015 -0.015 0.017 -0.000 -0.027 74.400 0.039 1.543 
0.010 -0.007 -0.015 -0.002 0.015 -0.012 -0.017 74.000 0.039 1.524 
-0.012 -0.007 0.002 0.012 -0.007 -0.000 -0.010 73.400 0.039 1.504 
-0.007 -0.002 0.007 0.005 -0.005 0.002 -0.005 72.800 0.039 1.485 
-0.007 -0.002 0.005 0.005 -0.005 0.002 -0.007 72.400 0.039 1.465 
-0.012 -0.024 -0.005 0.015 -0.000 -0.017 -0.002 72.000 0.039 1.455 
-0.017 -0.020 -0.007 0.022 -0.007 -0.010 0.007 71.600 0.039 1.446 
-0.027 -0.020 0.002 0.027 -0.017 -0.005 0.012 71.400 0.039 1.436 
-0.029 -0.010 0.020 0.020 -0.024 0.005 0.007 71.200 0.039 1.426 
-0.029 -0.022 0.005 0.027 -0.017 -0.007 0.012 71.000 0.039 1.441 
-0.017 -0.027 -0.005 0.020 -0.002 -0.017 0.012 71.000 0.039 1.455 
-0.017 -0.029 -0.010 0.022 -0.002 -0.020 0.020 70.800 0.039 1.470 
-0.020 -0.042 -0.017 0.029 0.002 -0.032 0.015 70.800 0.039 1.485 
-0.029 -0.051 -0.020 0.039 -0.002 -0.037 0.020 70.600 0.037 1.534 
-0.017 -0.042 -0.020 0.027 0.005 -0.032 0.017 70.600 0.037 1.582 
-0.017 -0.032 -0.015 0.024 -0.000 -0.022 0.020 70.600 0.037 1.631 
-0.024 -0.032 -0.010 0.029 -0.007 -0.020 0.020 70.800 0.034 1.680 
-0.029 -0.029 -0.005 0.032 -0.015 -0.015 0.017 71.000 0.034 1.768 
-0.022 -0.034 -0.012 0.029 -0.005 -0.022 0.029 71.400 0.032 1.856 
-0.024 -0.046 -0.015 0.032 -0.000 -0.034 0.020 71.800 0.032 1.944 
-0.027 -0.044 -0.012 0.034 -0.005 -0.029 0.015 72.200 0.029 2.032 
-0.010 -0.020 -0.002 0.012 -0.000 -0.015 0.017 72.400 0.029 2.261 
-0.012 0.042 0.049 -0.012 -0.032 0.049 0.022 72.800 0.029 2.491 
0.005 0.125 0.117 -0.063 -0.056 0.122 0.056 72.800 0.029 2.720 
0.010 0.186 0.181 -0.100 -0.083 0.181 0.090 73.000 0.029 2.950 
0.078 0.293 0.215 -0.186 -0.068 0.254 0.100 73.200 0.027 3.048 
0.210 0.440 0.222 -0.320 -0.010 0.335 0.015 73.400 0.027 3.145 
0.447 0.674 0.222 -0.557 0.110 0.452 -0.203 73.600 0.027 3.243 
0.786 0.965 0.176 -0.874 0.305 0.571 -0.523 73.800 0.024 3.341 
0.979 1.165 0.186 -1.072 0.398 0.676 -0.752 73.800 0.024 3.409 
1.016 0.916 -0.103 -0.965 0.559 0.408 -0.701 74.000 0.024 3.477 
0.650 0.515 -0.134 -0.581 0.393 0.190 -0.383 74.000 0.024 3.546 
-0.012 0.278 0.293 -0.134 -0.151 0.286 0.063 74.000 0.027 3.614 
-0.335 0.151 0.488 0.090 -0.410 0.320 0.293 73.800 0.027 3.639 
-0.359 0.120 0.484 0.117 -0.418 0.300 0.288 73.600 0.027 3.663 
-0.308 0.129 0.435 0.090 -0.371 0.283 0.288 73.200 0.027 3.687 
-0.315 0.115 0.435 0.098 -0.371 0.274 0.352 73.000 0.024 3.712 
-0.330 0.115 0.447 0.107 -0.386 0.281 0.430 72.800 0.027 3.712 
-0.315 0.120 0.442 0.095 -0.374 0.278 0.462 72.600 0.027 3.712 
-0.320 0.125 0.447 0.098 -0.381 0.286 0.491 72.200 0.027 3.712 
-0.330 0.134 0.471 0.095 -0.396 0.300 0.537 72.000 0.029 3.712 
-0.322 0.090 0.415 0.115 -0.366 0.252 0.606 71.600 0.029 3.692 
-0.298 0.029 0.335 0.132 -0.313 0.178 0.694 71.200 0.029 3.673 
-0.293 -0.010 0.291 0.149 -0.288 0.137 0.806 71.000 0.029 3.653 
-0.276 -0.002 0.281 0.137 -0.274 0.137 0.872 70.600 0.029 3.634 
-0.266 0.007 0.276 0.129 -0.269 0.142 0.869 70.400 0.029 3.604 
-0.266 -0.029 0.242 0.147 -0.252 0.105 0.833 70.200 0.032 3.575 
-0.225 -0.039 0.193 0.129 -0.205 0.073 0.708 70.000 0.032 3.546 
-0.183 -0.059 0.127 0.120 -0.154 0.034 0.581 69.600 0.034 3.516 
-0.178 -0.073 0.100 0.129 -0.142 0.017 0.398 69.400 0.034 3.477 
-0.156 -0.078 0.083 0.115 -0.117 -0.000 0.264 69.000 0.034 3.438 
-0.115 -0.066 0.049 0.090 -0.081 -0.007 0.156 68.800 0.034 3.399 
-0.073 -0.042 0.029 0.059 -0.051 -0.005 0.105 68.600 0.034 3.360 
-0.027 -0.034 -0.010 0.032 -0.010 -0.020 0.059 68.400 0.034 3.306 
-0.010 -0.020 -0.012 0.017 -0.000 -0.015 0.049 68.200 0.034 3.253 
-0.010 -0.027 -0.012 0.017 0.005 -0.022 0.034 68.200 0.034 3.199 
-0.022 -0.027 -0.005 0.024 -0.007 -0.015 0.029 68.000 0.034 3.145 
-0.020 -0.037 -0.017 0.029 -0.000 -0.027 0.024 68.000 0.034 3.082 
-0.005 -0.044 -0.032 0.022 0.017 -0.042 0.010 67.800 0.034 3.018 
-0.010 -0.042 -0.029 0.024 0.012 -0.037 0.005 68.000 0.034 2.955 
-0.017 -0.034 -0.017 0.027 -0.000 -0.024 0.007 68.200 0.034 2.891 
-0.015 -0.029 -0.015 0.022 -0.000 -0.022 -0.002 68.800 0.032 2.823 
0.012 -0.044 -0.046 0.012 0.034 -0.049 -0.012 69.600 0.032 2.755 
-0.012 -0.056 -0.037 0.032 0.017 -0.049 -0.007 70.800 0.029 2.686 
-0.020 -0.063 -0.044 0.042 0.012 -0.054 -0.012 72.000 0.029 2.618 
-0.017 -0.051 -0.037 0.037 0.010 -0.042 -0.015 73.000 0.027 2.554 
-0.010 -0.061 -0.046 0.034 0.022 -0.056 -0.015 74.000 0.027 2.491 
-0.015 -0.063 -0.042 0.037 0.017 -0.056 -0.010 74.600 0.027 2.427 
-0.024 -0.071 -0.042 0.046 0.012 -0.059 -0.017 75.200 0.024 2.364 
-0.017 -0.076 -0.054 0.044 0.022 -0.066 -0.012 75.200 0.022 2.320 
-0.037 -0.103 -0.059 0.066 0.015 -0.083 -0.010 75.400 0.020 2.276 
-0.044 -0.112 -0.063 0.076 0.012 -0.090 -0.000 75.200 0.020 2.232 
-0.046 -0.107 -0.056 0.076 0.007 -0.083 -0.000 75.000 0.015 2.188 
-0.056 -0.115 -0.061 0.088 0.002 -0.085 -0.002 74.800 0.015 2.173 
-0.051 -0.129 -0.076 0.090 0.015 -0.103 -0.007 74.800 0.015 2.159 
-0.061 -0.154 -0.093 0.107 0.017 -0.122 -0.010 75.200 0.015 2.144 
-0.076 -0.176 -0.103 0.127 0.012 -0.137 -0.010 75.800 0.012 2.129 
-0.078 -0.195 -0.110 0.134 0.020 -0.156 -0.007 75.600 0.010 2.139 
-0.088 -0.215 -0.122 0.149 0.020 -0.171 -0.015 75.600 0.010 2.149 
-0.095 -0.230 -0.134 0.164 0.020 -0.181 -0.005 74.800 0.010 2.159 
-0.103 -0.244 -0.139 0.173 0.020 -0.193 -0.005 74.000 0.007 2.168 
-0.100 -0.256 -0.151 0.176 0.029 -0.205 -0.000 74.600 0.007 2.198 
-0.120 -0.271 -0.149 0.195 0.017 -0.210 -0.002 75.200 0.007 2.227 
-0.120 -0.291 -0.166 0.203 0.027 -0.230 -0.010 77.400 0.005 2.256 
-0.105 -0.298 -0.190 0.200 0.044 -0.244 -0.015 79.800 0.005 2.286 
-0.110 -0.305 -0.200 0.210 0.044 -0.249 -0.017 81.800 0.005 2.320 
-0.105 -0.305 -0.198 0.205 0.049 -0.252 -0.024 84.000 0.002 2.354 
-0.112 -0.295 -0.188 0.208 0.037 -0.239 -0.029 84.600 0.002 2.388 
-0.107 -0.266 -0.164 0.190 0.027 -0.212 -0.039 85.200 0.002 2.422 
-0.083 -0.249 -0.168 0.168 0.042 -0.208 -0.039 85.000 0.002 2.452 
-0.054 -0.222 -0.168 0.139 0.059 -0.195 -0.049 84.600 0.002 2.481 
-0.037 -0.193 -0.156 0.115 0.061 -0.173 -0.051 84.200 0.002 2.510 
-0.024 -0.156 -0.127 0.088 0.054 -0.144 -0.059 84.000 0.002 2.540 
-0.002 -0.125 -0.117 0.061 0.061 -0.122 -0.063 83.800 0.002 2.554 
-0.002 -0.110 -0.105 0.056 0.054 -0.107 -0.068 83.400 0.002 2.569 
0.017 -0.068 -0.083 0.024 0.051 -0.076 -0.071 83.200 0.002 2.584 
