I II III aVR aVL aVF V1 AO SPO2
0.081 -0.083 -0.166 0.002 0.122 -0.122 0.034 4.600 3.223 
0.085 -0.083 -0.171 -0.000 0.127 -0.125 0.029 4.600 3.233 
0.090 -0.085 -0.181 -0.000 0.134 -0.129 0.027 4.600 3.243 
0.103 -0.063 -0.166 -0.020 0.134 -0.115 0.029 4.600 3.248 
0.125 -0.042 -0.161 -0.044 0.147 -0.103 0.017 4.600 3.253 
0.120 -0.022 -0.144 -0.046 0.132 -0.081 0.017 4.600 3.258 
0.127 0.005 -0.122 -0.066 0.125 -0.059 0.015 4.600 3.263 
0.115 0.010 -0.112 -0.059 0.110 -0.046 0.010 4.800 3.272 
0.134 0.032 -0.107 -0.081 0.120 -0.034 -0.007 4.800 3.282 
0.147 0.032 -0.115 -0.088 0.132 -0.042 -0.012 5.000 3.292 
0.147 0.044 -0.100 -0.095 0.125 -0.029 -0.017 5.200 3.302 
0.156 0.073 -0.085 -0.112 0.120 -0.005 -0.010 5.200 3.306 
0.147 0.071 -0.083 -0.105 0.112 -0.002 -0.015 5.200 3.311 
0.161 0.085 -0.073 -0.125 0.120 0.005 -0.017 5.200 3.316 
0.176 0.110 -0.068 -0.142 0.122 0.022 -0.020 5.200 3.321 
0.178 0.115 -0.068 -0.144 0.122 0.027 -0.034 5.200 3.331 
0.181 0.105 -0.068 -0.147 0.129 0.015 -0.032 5.200 3.341 
0.164 0.085 -0.076 -0.125 0.122 0.005 -0.022 5.000 3.350 
0.183 0.085 -0.088 -0.139 0.142 -0.005 -0.029 4.800 3.360 
0.166 0.083 -0.081 -0.125 0.125 -0.000 -0.034 4.600 3.365 
0.166 0.090 -0.071 -0.129 0.122 0.007 -0.034 4.400 3.370 
0.144 0.073 -0.063 -0.112 0.107 0.002 -0.032 4.400 3.375 
0.134 0.056 -0.073 -0.098 0.107 -0.010 -0.032 4.200 3.380 
0.122 0.039 -0.078 -0.083 0.103 -0.022 -0.022 4.200 3.375 
0.100 0.017 -0.078 -0.061 0.093 -0.032 -0.012 4.000 3.370 
0.090 -0.010 -0.093 -0.044 0.095 -0.054 -0.012 4.000 3.365 
0.076 -0.039 -0.107 -0.022 0.095 -0.076 -0.000 4.000 3.360 
0.081 -0.066 -0.134 -0.012 0.115 -0.105 0.002 4.000 3.346 
0.076 -0.085 -0.149 -0.000 0.120 -0.122 0.007 4.200 3.331 
0.056 -0.115 -0.156 0.022 0.115 -0.142 0.017 4.200 3.316 
0.020 -0.134 -0.139 0.051 0.088 -0.144 0.024 4.400 3.302 
0.032 -0.142 -0.164 0.051 0.103 -0.156 0.017 4.600 3.277 
0.037 -0.139 -0.164 0.046 0.107 -0.156 0.027 4.600 3.253 
0.022 -0.173 -0.183 0.071 0.110 -0.183 0.027 4.800 3.228 
0.007 -0.200 -0.193 0.090 0.107 -0.203 0.032 5.000 3.204 
0.012 -0.188 -0.186 0.081 0.107 -0.193 0.032 5.000 3.179 
0.012 -0.183 -0.181 0.078 0.105 -0.188 0.046 5.200 3.155 
0.002 -0.186 -0.176 0.085 0.095 -0.186 0.051 5.200 3.131 
0.002 -0.186 -0.171 0.083 0.095 -0.186 0.044 5.200 3.106 
-0.000 -0.195 -0.178 0.090 0.098 -0.195 0.044 5.200 3.082 
-0.002 -0.217 -0.195 0.100 0.107 -0.215 0.044 5.400 3.057 
-0.007 -0.222 -0.195 0.105 0.105 -0.217 0.044 5.400 3.033 
-0.005 -0.232 -0.205 0.107 0.112 -0.230 0.051 5.400 3.009 
-0.010 -0.230 -0.203 0.112 0.105 -0.225 0.051 5.200 2.979 
-0.022 -0.239 -0.193 0.120 0.098 -0.227 0.049 5.200 2.950 
-0.027 -0.237 -0.186 0.120 0.093 -0.222 0.051 5.200 2.921 
-0.002 -0.232 -0.205 0.105 0.115 -0.230 0.049 5.000 2.891 
0.002 -0.230 -0.210 0.103 0.117 -0.230 0.051 5.000 2.862 
-0.015 -0.227 -0.181 0.105 0.100 -0.220 0.049 4.800 2.833 
0.002 -0.230 -0.200 0.098 0.117 -0.230 0.039 4.800 2.803 
-0.010 -0.230 -0.190 0.105 0.105 -0.225 0.046 4.600 2.774 
-0.015 -0.242 -0.203 0.117 0.107 -0.234 0.044 4.600 2.735 
-0.015 -0.225 -0.178 0.105 0.098 -0.217 0.037 4.600 2.696 
-0.015 -0.212 -0.161 0.095 0.093 -0.205 0.032 4.600 2.657 
-0.005 -0.210 -0.176 0.093 0.100 -0.208 0.027 4.600 2.618 
0.005 -0.200 -0.176 0.083 0.105 -0.203 0.022 4.600 2.574 
0.010 -0.217 -0.195 0.088 0.120 -0.222 0.022 4.800 2.530 
0.005 -0.217 -0.193 0.093 0.115 -0.220 0.029 4.800 2.486 
0.005 -0.225 -0.193 0.093 0.117 -0.227 0.024 4.800 2.442 
-0.002 -0.215 -0.178 0.093 0.105 -0.212 0.029 4.800 2.403 
0.010 -0.203 -0.186 0.083 0.112 -0.208 0.027 4.800 2.364 
0.012 -0.190 -0.159 0.068 0.107 -0.195 0.027 4.800 2.325 
0.015 -0.168 -0.142 0.056 0.100 -0.176 0.012 5.000 2.286 
0.024 -0.156 -0.139 0.046 0.103 -0.168 0.007 4.800 2.276 
0.039 -0.147 -0.149 0.037 0.112 -0.166 0.007 4.800 2.266 
0.032 -0.147 -0.139 0.039 0.105 -0.161 0.005 4.800 2.256 
0.027 -0.134 -0.120 0.034 0.095 -0.147 -0.000 4.800 2.247 
0.037 -0.132 -0.127 0.027 0.103 -0.149 -0.005 4.600 2.286 
0.034 -0.125 -0.115 0.024 0.098 -0.142 -0.005 4.600 2.325 
0.024 -0.117 -0.100 0.027 0.083 -0.129 0.005 4.600 2.364 
0.020 -0.125 -0.098 0.029 0.083 -0.134 -0.002 4.600 2.403 
0.005 -0.122 -0.085 0.039 0.066 -0.125 0.007 4.600 2.491 
0.037 -0.107 -0.093 0.010 0.090 -0.125 -0.010 4.600 2.579 
0.027 -0.100 -0.078 0.012 0.078 -0.112 -0.012 4.600 2.667 
0.039 -0.112 -0.103 0.012 0.095 -0.132 -0.012 4.600 2.755 
0.042 -0.137 -0.134 0.027 0.110 -0.156 -0.015 4.600 2.886 
0.051 -0.144 -0.154 0.027 0.125 -0.168 -0.012 4.600 3.018 
0.054 -0.151 -0.164 0.029 0.129 -0.178 -0.012 4.600 3.150 
0.044 -0.159 -0.159 0.037 0.125 -0.181 -0.007 4.600 3.282 
0.061 -0.154 -0.161 0.020 0.139 -0.183 -0.015 4.600 3.429 
0.051 -0.159 -0.164 0.032 0.132 -0.183 -0.012 4.600 3.575 
0.049 -0.173 -0.171 0.037 0.137 -0.198 -0.005 4.600 3.722 
0.044 -0.183 -0.173 0.044 0.137 -0.205 0.005 4.600 3.868 
0.044 -0.183 -0.181 0.046 0.137 -0.205 0.012 4.600 3.995 
0.037 -0.200 -0.186 0.056 0.137 -0.217 0.017 4.600 4.122 
0.039 -0.215 -0.193 0.059 0.147 -0.234 0.020 4.600 4.249 
0.039 -0.200 -0.183 0.054 0.139 -0.220 0.022 4.600 4.376 
0.027 -0.210 -0.178 0.063 0.132 -0.222 0.024 4.800 4.440 
0.010 -0.217 -0.166 0.073 0.120 -0.222 0.024 4.800 4.503 
-0.002 -0.242 -0.178 0.093 0.120 -0.239 0.020 4.800 4.567 
-0.015 -0.247 -0.168 0.100 0.110 -0.239 0.042 5.000 4.630 
-0.024 -0.254 -0.168 0.110 0.103 -0.242 0.054 5.000 4.640 
-0.022 -0.261 -0.178 0.112 0.110 -0.249 0.054 5.200 4.650 
-0.027 -0.276 -0.186 0.120 0.112 -0.261 0.061 5.200 4.659 
-0.017 -0.278 -0.200 0.117 0.122 -0.269 0.059 5.200 4.669 
-0.024 -0.274 -0.188 0.120 0.112 -0.261 0.063 5.000 4.620 
-0.029 -0.261 -0.173 0.117 0.103 -0.247 0.061 5.000 4.571 
-0.029 -0.264 -0.171 0.115 0.103 -0.249 0.061 5.000 4.523 
-0.017 -0.274 -0.188 0.112 0.120 -0.264 0.066 5.000 4.474 
-0.022 -0.291 -0.203 0.125 0.125 -0.278 0.078 4.800 4.440 
-0.034 -0.288 -0.183 0.127 0.110 -0.271 0.078 4.800 4.405 
-0.034 -0.291 -0.190 0.129 0.112 -0.274 0.076 4.800 4.371 
-0.039 -0.295 -0.186 0.132 0.110 -0.276 0.081 4.600 4.337 
-0.042 -0.281 -0.173 0.129 0.100 -0.259 0.076 4.600 4.303 
-0.044 -0.261 -0.147 0.117 0.088 -0.239 0.078 4.400 4.269 
-0.039 -0.252 -0.139 0.110 0.088 -0.232 0.081 4.400 4.234 
-0.042 -0.266 -0.156 0.120 0.093 -0.244 0.085 4.400 4.200 
-0.046 -0.278 -0.159 0.127 0.093 -0.254 0.088 4.400 4.161 
-0.044 -0.276 -0.156 0.122 0.095 -0.254 0.083 4.600 4.122 
-0.029 -0.269 -0.166 0.112 0.105 -0.254 0.083 4.600 4.083 
-0.034 -0.271 -0.156 0.112 0.103 -0.254 0.093 4.600 4.044 
-0.039 -0.271 -0.151 0.115 0.098 -0.252 0.103 4.800 3.995 
-0.042 -0.286 -0.164 0.125 0.103 -0.264 0.132 4.800 3.946 
-0.044 -0.308 -0.188 0.139 0.110 -0.286 0.161 5.000 3.897 
-0.017 -0.278 -0.176 0.105 0.122 -0.269 0.166 5.000 3.849 
0.007 -0.203 -0.127 0.056 0.110 -0.205 0.154 5.000 3.795 
0.049 -0.088 -0.054 -0.022 0.093 -0.112 0.090 5.200 3.741 
0.122 -0.000 -0.032 -0.105 0.122 -0.061 -0.002 5.200 3.687 
0.212 0.110 -0.010 -0.208 0.159 0.005 -0.142 5.200 3.634 
0.300 0.239 0.024 -0.313 0.181 0.090 -0.283 5.200 3.575 
0.308 0.234 0.012 -0.313 0.190 0.081 -0.335 5.200 3.516 
0.266 0.183 0.005 -0.269 0.176 0.051 -0.364 5.000 3.458 
0.156 0.039 -0.024 -0.144 0.137 -0.039 -0.330 5.000 3.399 
0.017 -0.139 -0.066 0.017 0.088 -0.147 -0.266 5.000 3.341 
-0.107 -0.322 -0.129 0.173 0.054 -0.269 -0.198 4.800 3.282 
-0.195 -0.437 -0.159 0.276 0.024 -0.339 -0.139 4.800 3.223 
-0.210 -0.515 -0.217 0.320 0.049 -0.410 -0.122 4.800 3.165 
-0.232 -0.564 -0.242 0.354 0.051 -0.447 -0.090 4.800 3.111 
-0.210 -0.530 -0.234 0.327 0.056 -0.425 -0.061 4.600 3.057 
-0.186 -0.474 -0.200 0.286 0.051 -0.381 -0.039 4.600 3.004 
-0.149 -0.420 -0.183 0.242 0.061 -0.344 -0.017 4.400 2.950 
-0.112 -0.388 -0.190 0.208 0.083 -0.332 -0.000 4.000 2.906 
-0.085 -0.347 -0.176 0.173 0.088 -0.303 0.012 3.800 2.862 
-0.078 -0.313 -0.149 0.154 0.078 -0.274 0.022 3.600 2.818 
-0.046 -0.286 -0.144 0.120 0.098 -0.261 0.022 3.400 2.774 
-0.039 -0.269 -0.139 0.110 0.095 -0.249 0.039 3.400 2.740 
-0.042 -0.283 -0.156 0.120 0.100 -0.261 0.049 3.600 2.706 
-0.027 -0.283 -0.171 0.112 0.115 -0.269 0.059 3.800 2.672 
-0.024 -0.288 -0.171 0.110 0.120 -0.276 0.078 4.000 2.637 
-0.032 -0.264 -0.142 0.103 0.100 -0.247 0.076 4.200 2.613 
-0.020 -0.256 -0.154 0.098 0.110 -0.247 0.078 4.400 2.589 
-0.015 -0.247 -0.144 0.088 0.110 -0.239 0.073 4.800 2.564 
-0.020 -0.247 -0.144 0.093 0.105 -0.237 0.085 5.000 2.540 
-0.010 -0.252 -0.154 0.088 0.117 -0.247 0.090 5.200 2.525 
-0.015 -0.254 -0.159 0.095 0.112 -0.247 0.085 5.400 2.510 
-0.015 -0.247 -0.147 0.088 0.110 -0.239 0.078 5.400 2.496 
-0.002 -0.247 -0.161 0.083 0.122 -0.244 0.083 5.600 2.481 
-0.012 -0.256 -0.166 0.095 0.117 -0.249 0.093 5.600 2.476 
-0.015 -0.242 -0.144 0.088 0.107 -0.234 0.088 5.600 2.471 
