I II III aVR aVL aVF V1 V2 LV AO Resp SPO2
-0.020 0.020 0.017 0.012 -0.029 0.029 -0.017 -0.002 75.600 78.200 0.359 2.305 
-0.020 0.005 0.002 0.020 -0.022 0.015 -0.032 0.002 73.200 78.000 0.359 2.295 
-0.020 0.020 0.015 0.012 -0.029 0.029 -0.046 -0.002 70.600 77.800 0.359 2.286 
-0.020 0.017 0.012 0.015 -0.027 0.027 -0.059 -0.002 67.800 77.800 0.357 2.271 
-0.027 -0.007 -0.002 0.029 -0.022 0.007 -0.066 0.010 64.800 77.600 0.357 2.256 
-0.027 -0.000 0.005 0.024 -0.027 0.015 -0.068 0.007 61.800 77.400 0.354 2.242 
-0.007 0.010 -0.000 0.007 -0.012 0.015 -0.066 -0.002 58.600 77.200 0.352 2.227 
-0.005 0.010 -0.002 0.007 -0.010 0.012 -0.076 -0.005 55.200 77.000 0.349 2.212 
-0.010 0.012 -0.005 0.012 -0.015 0.017 -0.071 -0.002 51.800 76.800 0.347 2.198 
0.002 0.024 -0.002 -0.000 -0.010 0.024 -0.061 -0.012 48.400 76.600 0.344 2.183 
0.022 0.039 -0.007 -0.017 0.002 0.029 -0.046 -0.022 45.000 76.200 0.339 2.168 
0.027 0.042 -0.012 -0.020 0.007 0.029 -0.049 -0.024 41.600 76.000 0.337 2.159 
0.024 0.039 -0.012 -0.017 0.005 0.027 -0.046 -0.024 38.200 75.600 0.335 2.149 
0.015 0.034 -0.007 -0.010 -0.002 0.027 -0.039 -0.020 34.800 75.400 0.332 2.139 
-0.002 0.029 0.010 -0.002 -0.017 0.032 -0.032 -0.012 31.600 75.000 0.330 2.129 
-0.010 0.017 0.002 0.010 -0.017 0.022 -0.024 -0.005 28.600 74.800 0.327 2.115 
-0.017 0.002 -0.007 0.022 -0.017 0.012 -0.024 0.002 25.800 74.400 0.325 2.100 
-0.020 -0.002 -0.002 0.022 -0.017 0.007 -0.015 0.005 23.000 74.000 0.320 2.085 
-0.020 -0.000 -0.005 0.022 -0.020 0.010 -0.010 0.005 20.600 73.600 0.317 2.071 
-0.020 -0.002 -0.007 0.024 -0.017 0.007 -0.005 0.005 18.400 73.400 0.317 2.056 
-0.024 -0.000 -0.002 0.027 -0.024 0.012 -0.010 0.005 16.400 73.000 0.315 2.042 
-0.029 -0.010 -0.007 0.034 -0.024 0.005 0.002 0.010 14.600 72.800 0.315 2.027 
-0.015 -0.000 -0.012 0.022 -0.015 0.007 -0.002 0.002 13.000 72.600 0.313 2.012 
-0.017 0.002 -0.005 0.020 -0.017 0.012 -0.007 0.002 11.400 72.600 0.308 2.002 
-0.032 -0.007 -0.002 0.034 -0.027 0.010 -0.010 0.010 10.200 72.400 0.305 1.993 
-0.022 -0.000 -0.005 0.024 -0.022 0.012 -0.002 0.005 9.200 72.200 0.300 1.983 
-0.015 0.007 -0.005 0.017 -0.017 0.015 -0.005 -0.000 8.400 72.000 0.298 1.973 
-0.022 -0.000 -0.007 0.027 -0.022 0.012 -0.000 0.005 7.600 71.600 0.295 1.958 
-0.024 -0.002 -0.007 0.029 -0.022 0.010 -0.002 0.007 7.200 71.200 0.295 1.944 
-0.029 -0.002 -0.000 0.029 -0.027 0.012 -0.002 0.007 6.800 71.000 0.295 1.929 
-0.022 0.005 -0.000 0.022 -0.024 0.017 -0.002 0.002 6.800 70.600 0.293 1.915 
-0.022 0.007 -0.002 0.024 -0.024 0.020 0.002 0.002 6.800 70.400 0.288 1.900 
-0.027 -0.010 -0.007 0.032 -0.022 0.005 -0.002 0.010 6.800 70.200 0.286 1.885 
-0.029 -0.002 -0.002 0.032 -0.027 0.012 -0.000 0.007 7.200 70.000 0.281 1.871 
-0.022 -0.002 -0.005 0.024 -0.020 0.010 -0.000 0.005 7.400 69.800 0.278 1.856 
-0.027 -0.007 -0.007 0.032 -0.022 0.007 -0.000 0.010 7.800 69.400 0.278 1.846 
-0.027 -0.017 -0.012 0.034 -0.017 -0.002 0.007 0.012 8.400 69.200 0.276 1.836 
-0.015 -0.032 -0.039 0.034 0.002 -0.024 0.015 0.012 9.000 68.800 0.276 1.827 
0.012 -0.022 -0.051 0.015 0.024 -0.027 0.017 -0.000 9.800 68.600 0.274 1.817 
0.022 -0.039 -0.083 0.020 0.042 -0.049 0.029 0.002 10.600 68.200 0.274 1.822 
0.044 -0.039 -0.100 0.007 0.063 -0.061 0.051 -0.005 11.400 67.800 0.274 1.827 
0.090 -0.042 -0.154 -0.012 0.112 -0.085 0.120 -0.020 12.200 67.600 0.271 1.832 
0.173 -0.046 -0.244 -0.051 0.198 -0.132 0.193 -0.044 13.200 67.200 0.269 1.836 
0.249 -0.059 -0.332 -0.083 0.278 -0.183 0.276 -0.066 14.000 66.800 0.266 1.861 
0.308 -0.027 -0.352 -0.132 0.322 -0.181 0.317 -0.095 15.000 66.400 0.264 1.885 
0.332 0.076 -0.276 -0.193 0.295 -0.090 0.371 -0.139 15.800 66.200 0.261 1.910 
0.200 0.190 -0.037 -0.181 0.105 0.090 0.361 -0.132 16.600 65.800 0.259 1.934 
0.032 0.308 0.254 -0.159 -0.122 0.293 0.256 -0.115 17.600 65.600 0.259 1.973 
-0.098 0.444 0.520 -0.161 -0.320 0.493 0.186 -0.117 18.400 65.200 0.259 2.012 
-0.127 0.518 0.632 -0.188 -0.386 0.581 0.171 -0.132 19.400 65.000 0.259 2.051 
-0.139 0.484 0.601 -0.161 -0.381 0.554 0.190 -0.117 20.200 64.800 0.259 2.090 
-0.178 0.386 0.535 -0.088 -0.371 0.476 0.305 -0.071 21.000 64.600 0.259 2.144 
-0.222 0.274 0.476 -0.015 -0.359 0.386 0.515 -0.020 21.800 64.400 0.259 2.198 
-0.215 0.217 0.420 0.005 -0.322 0.325 0.708 -0.002 22.400 64.200 0.259 2.252 
-0.220 0.186 0.379 0.032 -0.313 0.295 0.962 0.010 23.000 64.000 0.259 2.305 
-0.264 0.105 0.347 0.090 -0.315 0.237 1.016 0.051 23.600 63.800 0.259 2.364 
-0.300 0.054 0.337 0.132 -0.327 0.205 0.979 0.081 24.200 63.400 0.259 2.422 
-0.283 0.029 0.298 0.134 -0.298 0.171 1.006 0.083 24.600 63.200 0.259 2.481 
-0.271 0.002 0.254 0.144 -0.271 0.139 0.916 0.088 24.800 63.000 0.259 2.540 
-0.298 -0.063 0.212 0.193 -0.266 0.085 0.791 0.117 25.000 63.000 0.261 2.593 
-0.286 -0.083 0.186 0.193 -0.244 0.061 0.752 0.120 25.200 62.800 0.261 2.647 
-0.259 -0.083 0.161 0.178 -0.217 0.046 0.642 0.112 25.200 62.600 0.264 2.701 
-0.244 -0.078 0.147 0.171 -0.205 0.044 0.498 0.105 25.200 62.600 0.266 2.755 
-0.256 -0.120 0.117 0.198 -0.195 0.010 0.374 0.122 25.000 62.400 0.266 2.799 
-0.247 -0.134 0.098 0.198 -0.178 -0.010 0.308 0.125 24.800 62.400 0.266 2.842 
-0.195 -0.095 0.078 0.156 -0.147 0.002 0.171 0.095 24.800 62.200 0.269 2.886 
-0.154 -0.068 0.063 0.122 -0.120 0.010 0.020 0.071 24.600 62.200 0.269 2.930 
-0.166 -0.105 0.037 0.149 -0.112 -0.022 -0.061 0.088 24.600 62.200 0.271 2.960 
-0.154 -0.110 0.022 0.144 -0.098 -0.032 -0.154 0.085 24.600 62.000 0.271 2.989 
-0.112 -0.066 0.024 0.100 -0.078 -0.010 -0.215 0.056 25.000 62.000 0.271 3.018 
-0.081 -0.056 -0.000 0.081 -0.051 -0.015 -0.198 0.044 25.400 62.000 0.274 3.048 
-0.098 -0.085 -0.010 0.103 -0.054 -0.037 -0.181 0.059 26.200 62.000 0.278 3.072 
-0.076 -0.090 -0.034 0.093 -0.029 -0.051 -0.144 0.054 27.400 62.000 0.281 3.096 
-0.029 -0.044 -0.032 0.046 -0.007 -0.029 -0.098 0.022 28.800 62.200 0.286 3.121 
-0.015 -0.029 -0.039 0.034 -0.000 -0.022 -0.088 0.012 30.600 62.400 0.288 3.145 
-0.024 -0.049 -0.042 0.046 -0.000 -0.037 -0.098 0.022 33.000 62.800 0.288 3.165 
-0.024 -0.049 -0.042 0.046 -0.000 -0.037 -0.090 0.022 35.600 63.200 0.291 3.184 
0.002 -0.042 -0.054 0.024 0.024 -0.042 -0.081 0.010 38.800 63.800 0.291 3.204 
0.010 -0.007 -0.042 0.012 0.015 -0.012 -0.073 -0.002 42.200 64.600 0.293 3.223 
-0.007 -0.034 -0.051 0.034 0.010 -0.029 -0.076 0.012 46.000 65.400 0.295 3.223 
0.002 -0.034 -0.051 0.024 0.020 -0.034 -0.076 0.007 50.200 66.400 0.298 3.223 
0.010 -0.015 -0.044 0.012 0.017 -0.020 -0.059 -0.000 54.400 67.400 0.300 3.223 
0.015 -0.000 -0.044 0.007 0.015 -0.007 -0.056 -0.007 58.600 68.400 0.303 3.223 
-0.000 -0.027 -0.046 0.024 0.015 -0.027 -0.066 0.007 63.000 69.400 0.308 3.214 
-0.002 -0.037 -0.051 0.029 0.017 -0.034 -0.071 0.010 67.200 70.600 0.310 3.204 
0.017 -0.010 -0.049 0.007 0.022 -0.017 -0.063 -0.005 71.200 71.600 0.315 3.194 
0.022 -0.000 -0.054 0.005 0.022 -0.010 -0.063 -0.010 75.200 72.600 0.317 3.184 
0.010 -0.027 -0.063 0.022 0.024 -0.032 -0.076 0.002 78.800 73.600 0.320 3.165 
0.010 -0.034 -0.061 0.022 0.027 -0.039 -0.085 0.005 82.000 74.600 0.322 3.145 
0.029 -0.005 -0.056 -0.000 0.032 -0.020 -0.078 -0.010 84.800 75.400 0.322 3.126 
0.034 -0.002 -0.061 -0.002 0.037 -0.020 -0.076 -0.012 87.400 76.200 0.327 3.106 
0.022 -0.034 -0.081 0.020 0.039 -0.044 -0.085 0.002 89.400 77.000 0.330 3.077 
0.017 -0.039 -0.078 0.022 0.037 -0.046 -0.093 0.005 91.000 77.600 0.332 3.048 
0.034 -0.020 -0.076 0.005 0.044 -0.037 -0.093 -0.007 92.200 78.200 0.335 3.018 
0.046 -0.010 -0.083 -0.005 0.051 -0.032 -0.098 -0.015 93.000 78.800 0.339 2.989 
0.037 -0.037 -0.100 0.015 0.056 -0.054 -0.112 -0.002 93.400 79.200 0.342 2.960 
0.037 -0.051 -0.103 0.015 0.063 -0.068 -0.127 0.002 93.600 79.800 0.344 2.930 
0.046 -0.029 -0.098 0.002 0.061 -0.051 -0.120 -0.007 93.600 80.200 0.347 2.901 
0.066 -0.020 -0.110 -0.010 0.076 -0.051 -0.125 -0.017 93.400 80.800 0.352 2.872 
0.063 -0.049 -0.127 -0.000 0.088 -0.081 -0.137 -0.007 93.200 81.200 0.352 2.842 
0.063 -0.054 -0.132 0.002 0.090 -0.085 -0.154 -0.005 92.800 81.600 0.354 2.813 
0.076 -0.034 -0.134 -0.007 0.093 -0.071 -0.149 -0.017 92.600 82.000 0.357 2.784 
0.093 -0.032 -0.137 -0.024 0.110 -0.078 -0.149 -0.022 92.200 82.400 0.359 2.755 
0.081 -0.046 -0.142 -0.010 0.105 -0.085 -0.154 -0.015 92.000 82.600 0.359 2.730 
0.081 -0.049 -0.144 -0.007 0.105 -0.088 -0.144 -0.012 92.000 82.800 0.361 2.706 
0.095 -0.042 -0.151 -0.020 0.117 -0.088 -0.125 -0.020 91.800 83.200 0.361 2.681 
0.107 -0.020 -0.154 -0.029 0.117 -0.073 -0.115 -0.032 92.000 83.400 0.364 2.657 
0.098 -0.042 -0.156 -0.020 0.120 -0.090 -0.103 -0.022 92.000 83.600 0.366 2.637 
0.090 -0.044 -0.151 -0.015 0.112 -0.088 -0.088 -0.017 92.200 84.000 0.369 2.618 
0.103 -0.024 -0.149 -0.027 0.115 -0.076 -0.068 -0.029 92.400 84.200 0.371 2.598 
0.107 -0.005 -0.144 -0.034 0.110 -0.059 -0.044 -0.037 92.800 84.400 0.374 2.579 
0.095 -0.015 -0.132 -0.029 0.103 -0.061 -0.032 -0.029 93.000 84.600 0.374 2.569 
0.083 -0.039 -0.134 -0.015 0.103 -0.081 -0.012 -0.017 93.200 85.000 0.374 2.559 
0.083 -0.017 -0.115 -0.024 0.093 -0.059 0.017 -0.024 93.400 85.200 0.374 2.549 
0.090 0.005 -0.112 -0.034 0.088 -0.039 0.032 -0.034 93.600 85.600 0.374 2.540 
0.066 -0.012 -0.095 -0.017 0.073 -0.044 0.044 -0.020 93.800 85.800 0.374 2.530 
0.046 -0.017 -0.083 -0.005 0.056 -0.039 0.051 -0.012 93.800 86.000 0.376 2.520 
0.059 0.010 -0.071 -0.022 0.054 -0.020 0.076 -0.024 93.800 86.000 0.376 2.510 
0.061 0.017 -0.071 -0.024 0.054 -0.012 0.088 -0.029 93.600 86.200 0.379 2.501 
0.044 0.007 -0.059 -0.015 0.042 -0.015 0.085 -0.020 93.600 86.200 0.379 2.491 
0.034 0.002 -0.044 -0.012 0.034 -0.015 0.078 -0.015 93.200 86.000 0.376 2.481 
0.032 0.020 -0.034 -0.015 0.022 0.005 0.083 -0.020 92.800 86.000 0.376 2.471 
0.032 0.027 -0.024 -0.020 0.020 0.012 0.081 -0.022 92.400 85.800 0.374 2.462 
0.010 0.020 -0.012 -0.002 -0.000 0.015 0.071 -0.012 92.000 85.400 0.374 2.457 
0.002 0.002 -0.017 0.007 0.002 0.002 0.056 -0.005 91.400 85.000 0.374 2.452 
-0.000 0.020 -0.000 -0.000 -0.010 0.020 0.046 -0.010 90.600 84.400 0.371 2.447 
0.010 0.029 0.002 -0.010 -0.005 0.024 0.039 -0.015 89.800 83.800 0.369 2.442 
-0.005 0.017 -0.000 0.005 -0.012 0.020 0.020 -0.007 89.000 83.200 0.369 2.432 
-0.017 0.005 0.002 0.017 -0.020 0.015 0.005 0.002 88.000 82.400 0.369 2.422 
-0.012 0.024 0.022 0.002 -0.024 0.032 -0.002 -0.007 86.800 81.800 0.369 2.413 
-0.002 0.032 0.015 -0.005 -0.017 0.034 -0.002 -0.012 85.600 81.000 0.369 2.403 
-0.010 0.027 0.022 -0.000 -0.022 0.032 -0.005 -0.007 84.200 80.400 0.366 2.393 
-0.020 0.017 0.020 0.010 -0.027 0.027 -0.015 -0.002 82.800 79.800 0.364 2.383 
-0.015 0.032 0.024 0.002 -0.029 0.039 -0.007 -0.007 81.000 79.400 0.361 2.374 
-0.007 0.037 0.029 -0.007 -0.024 0.042 -0.002 -0.012 79.200 78.800 0.359 2.364 
-0.012 0.032 0.029 -0.002 -0.027 0.039 -0.010 -0.010 77.200 78.600 0.359 2.354 
-0.017 0.027 0.029 0.002 -0.029 0.037 -0.024 -0.005 75.000 78.200 0.359 2.344 
-0.010 0.032 0.027 -0.002 -0.024 0.037 -0.044 -0.010 72.600 78.000 0.357 2.335 
-0.015 0.034 0.024 0.002 -0.032 0.042 -0.054 -0.010 70.000 77.800 0.354 2.325 
-0.022 0.020 0.022 0.012 -0.032 0.032 -0.063 -0.002 67.200 77.600 0.352 2.310 
-0.027 0.015 0.022 0.017 -0.034 0.029 -0.073 0.002 64.200 77.400 0.349 2.295 
-0.015 0.029 0.027 0.002 -0.029 0.037 -0.068 -0.007 61.000 77.200 0.347 2.281 
-0.005 0.027 0.012 -0.000 -0.017 0.029 -0.068 -0.010 57.800 77.000 0.344 2.266 
-0.007 0.012 0.005 0.005 -0.012 0.017 -0.083 -0.005 54.400 76.800 0.342 2.252 
-0.002 0.017 0.002 0.002 -0.010 0.020 -0.076 -0.007 51.000 76.600 0.342 2.237 
0.010 0.034 0.002 -0.010 -0.007 0.029 -0.066 -0.017 47.600 76.400 0.339 2.222 
0.032 0.054 -0.000 -0.032 0.005 0.039 -0.056 -0.032 44.200 76.200 0.337 2.208 
0.029 0.042 -0.007 -0.024 0.010 0.027 -0.059 -0.027 40.800 76.000 0.335 2.193 
0.024 0.034 -0.007 -0.020 0.007 0.022 -0.061 -0.022 37.400 75.800 0.332 2.178 
0.020 0.034 -0.002 -0.017 0.002 0.024 -0.044 -0.020 34.000 75.600 0.330 2.164 
0.012 0.034 0.007 -0.015 -0.005 0.029 -0.034 -0.017 30.800 75.400 0.327 2.149 
-0.005 0.017 0.002 0.005 -0.012 0.020 -0.037 -0.007 27.800 75.200 0.322 2.134 
-0.017 -0.002 -0.002 0.020 -0.015 0.007 -0.034 0.005 25.000 75.000 0.320 2.120 
-0.017 -0.000 -0.000 0.017 -0.017 0.010 -0.029 0.002 22.400 74.800 0.315 2.105 
-0.010 0.010 -0.002 0.012 -0.015 0.015 -0.017 -0.002 19.800 74.400 0.313 2.090 
-0.015 0.005 -0.002 0.017 -0.017 0.012 -0.024 -0.000 17.600 74.200 0.310 2.081 
-0.017 -0.002 -0.005 0.020 -0.015 0.007 -0.022 0.005 15.600 74.000 0.308 2.071 
-0.017 -0.000 -0.007 0.022 -0.017 0.010 -0.020 0.002 14.000 73.800 0.305 2.061 
-0.007 0.007 -0.000 0.007 -0.010 0.012 -0.017 -0.002 12.400 73.400 0.303 2.051 
-0.012 -0.005 -0.005 0.015 -0.010 0.002 -0.020 0.002 11.000 73.200 0.300 2.037 
-0.020 -0.007 -0.000 0.020 -0.015 0.002 -0.017 0.007 10.000 72.800 0.298 2.022 
-0.017 -0.010 -0.000 0.017 -0.012 -0.000 -0.010 0.007 9.200 72.600 0.295 2.007 
-0.010 0.002 -0.005 0.012 -0.010 0.007 -0.015 -0.000 8.400 72.200 0.293 1.993 
-0.020 -0.005 -0.002 0.022 -0.017 0.005 -0.017 0.005 8.000 71.800 0.291 1.978 
-0.029 -0.010 0.002 0.029 -0.024 0.005 -0.020 0.010 7.600 71.400 0.288 1.963 
-0.022 -0.012 -0.000 0.022 -0.015 -0.000 -0.015 0.010 7.400 71.200 0.288 1.949 
-0.017 -0.002 -0.000 0.017 -0.015 0.007 -0.015 0.005 7.400 70.800 0.283 1.934 
-0.022 -0.010 0.002 0.022 -0.017 0.002 -0.020 0.007 7.400 70.400 0.281 1.919 
-0.027 -0.012 -0.005 0.029 -0.020 0.002 -0.022 0.010 7.600 70.000 0.276 1.905 
-0.022 -0.010 0.002 0.022 -0.017 0.002 -0.017 0.007 7.800 69.800 0.274 1.890 
-0.015 -0.002 -0.005 0.017 -0.012 0.005 -0.012 0.002 8.200 69.400 0.269 1.875 
-0.020 -0.007 -0.007 0.024 -0.015 0.002 -0.015 0.007 8.600 69.000 0.266 1.861 
-0.017 -0.022 -0.017 0.027 -0.005 -0.012 -0.010 0.010 9.000 68.600 0.264 1.846 
-0.007 -0.032 -0.034 0.024 0.010 -0.027 -0.005 0.010 9.600 68.400 0.261 1.832 
0.017 -0.022 -0.054 0.010 0.029 -0.029 0.002 -0.000 10.200 68.000 0.259 1.817 
0.034 -0.034 -0.081 0.007 0.051 -0.051 0.012 -0.002 10.800 67.600 0.256 1.832 
0.049 -0.046 -0.103 0.002 0.073 -0.071 0.046 -0.002 11.400 67.400 0.256 1.846 
0.103 -0.049 -0.164 -0.020 0.127 -0.100 0.120 -0.020 12.000 67.000 0.254 1.861 
0.193 -0.051 -0.256 -0.063 0.220 -0.147 0.188 -0.049 12.600 66.600 0.252 1.875 
0.274 -0.046 -0.342 -0.103 0.298 -0.183 0.264 -0.078 13.400 66.400 0.249 1.910 
0.322 -0.012 -0.344 -0.149 0.330 -0.173 0.315 -0.105 14.200 66.000 0.247 1.944 
0.310 0.063 -0.254 -0.183 0.278 -0.090 0.354 -0.127 15.000 65.800 0.244 1.978 
0.173 0.193 0.005 -0.176 0.078 0.107 0.322 -0.125 15.800 65.600 0.242 2.012 
0.024 0.335 0.293 -0.171 -0.142 0.322 0.217 -0.122 16.600 65.400 0.239 2.061 
-0.095 0.469 0.552 -0.181 -0.330 0.518 0.156 -0.127 17.400 65.200 0.237 2.110 
-0.137 0.496 0.623 -0.173 -0.383 0.564 0.151 -0.122 18.400 65.000 0.234 2.159 
-0.149 0.454 0.589 -0.144 -0.376 0.530 0.168 -0.105 19.200 64.800 0.232 2.208 
-0.173 0.371 0.530 -0.090 -0.359 0.459 0.320 -0.068 20.000 64.600 0.232 2.266 
-0.215 0.261 0.464 -0.017 -0.344 0.369 0.523 -0.017 21.000 64.200 0.230 2.325 
-0.232 0.178 0.396 0.034 -0.320 0.295 0.733 0.015 21.800 64.000 0.230 2.383 
-0.230 0.149 0.359 0.051 -0.303 0.264 0.977 0.024 22.600 63.800 0.227 2.442 
-0.261 0.100 0.344 0.090 -0.310 0.232 0.969 0.051 23.200 63.600 0.225 2.501 
-0.298 0.054 0.332 0.132 -0.325 0.203 0.965 0.078 23.800 63.400 0.225 2.559 
-0.305 -0.010 0.288 0.161 -0.300 0.144 0.962 0.103 24.200 63.200 0.225 2.618 
-0.293 -0.034 0.247 0.171 -0.276 0.112 0.864 0.107 24.600 63.000 0.222 2.676 
-0.283 -0.056 0.208 0.181 -0.254 0.085 0.750 0.110 25.000 62.800 0.222 2.725 
-0.288 -0.090 0.178 0.200 -0.242 0.054 0.708 0.125 25.200 62.600 0.220 2.774 
-0.276 -0.105 0.156 0.198 -0.222 0.034 0.581 0.125 25.200 62.600 0.220 2.823 
-0.259 -0.098 0.139 0.190 -0.210 0.032 0.452 0.117 25.200 62.400 0.217 2.872 
-0.247 -0.110 0.115 0.190 -0.190 0.015 0.315 0.117 25.000 62.200 0.215 2.906 
-0.232 -0.125 0.085 0.190 -0.168 -0.007 0.261 0.117 24.800 62.000 0.212 2.940 
-0.198 -0.117 0.066 0.166 -0.139 -0.017 0.105 0.103 24.800 62.000 0.210 2.974 
-0.168 -0.085 0.071 0.134 -0.125 -0.000 -0.032 0.083 24.600 61.800 0.208 3.009 
-0.161 -0.103 0.044 0.139 -0.110 -0.022 -0.100 0.085 24.600 61.800 0.208 3.038 
-0.149 -0.110 0.032 0.134 -0.093 -0.034 -0.205 0.083 24.600 61.600 0.208 3.067 
-0.132 -0.088 0.027 0.120 -0.088 -0.022 -0.249 0.071 24.800 61.600 0.208 3.096 
-0.088 -0.063 0.010 0.083 -0.056 -0.020 -0.230 0.049 25.200 61.600 0.208 3.126 
-0.073 -0.066 -0.005 0.076 -0.039 -0.029 -0.217 0.044 26.000 61.600 0.208 3.140 
-0.063 -0.071 -0.020 0.073 -0.027 -0.039 -0.181 0.042 27.000 61.600 0.208 3.155 
-0.059 -0.068 -0.027 0.073 -0.024 -0.039 -0.134 0.039 28.600 61.800 0.208 3.170 
-0.032 -0.049 -0.032 0.049 -0.007 -0.032 -0.134 0.024 30.400 62.000 0.208 3.184 
-0.034 -0.034 -0.024 0.046 -0.017 -0.017 -0.137 0.020 32.800 62.400 0.208 3.199 
-0.027 -0.042 -0.024 0.039 -0.005 -0.027 -0.132 0.020 35.600 63.000 0.205 3.214 
-0.027 -0.046 -0.032 0.044 -0.002 -0.032 -0.117 0.022 38.600 63.600 0.205 3.228 
-0.012 -0.037 -0.037 0.032 0.007 -0.029 -0.112 0.015 42.200 64.200 0.203 3.243 
-0.015 -0.037 -0.039 0.034 0.005 -0.029 -0.112 0.015 46.200 65.000 0.203 3.243 
-0.015 -0.044 -0.042 0.037 0.007 -0.037 -0.107 0.017 50.200 65.800 0.203 3.243 
-0.015 -0.037 -0.039 0.034 0.005 -0.029 -0.100 0.015 54.600 67.000 0.200 3.243 
-0.005 -0.020 -0.042 0.027 0.005 -0.017 -0.105 0.005 59.000 68.000 0.198 3.243 
-0.000 -0.022 -0.044 0.022 0.012 -0.022 -0.112 0.005 63.400 69.200 0.200 3.238 
-0.010 -0.042 -0.042 0.032 0.012 -0.037 -0.107 0.015 67.600 70.200 0.200 3.233 
-0.020 -0.044 -0.042 0.042 0.002 -0.034 -0.105 0.020 71.800 71.400 0.200 3.228 
-0.000 -0.024 -0.044 0.022 0.012 -0.024 -0.112 0.005 75.600 72.400 0.203 3.223 
-0.000 -0.024 -0.044 0.022 0.012 -0.024 -0.120 0.005 79.200 73.200 0.203 3.209 
-0.012 -0.049 -0.051 0.039 0.012 -0.042 -0.127 0.017 82.600 74.200 0.203 3.194 
-0.012 -0.046 -0.051 0.039 0.012 -0.039 -0.120 0.017 85.400 75.000 0.200 3.179 
0.007 -0.032 -0.059 0.022 0.024 -0.034 -0.122 0.005 87.800 75.800 0.198 3.165 
0.010 -0.029 -0.059 0.020 0.024 -0.034 -0.134 0.005 89.800 76.600 0.200 3.140 
-0.000 -0.039 -0.054 0.027 0.020 -0.039 -0.147 0.010 91.200 77.200 0.200 3.116 
-0.000 -0.051 -0.068 0.034 0.027 -0.051 -0.139 0.015 92.200 77.800 0.200 3.092 
0.017 -0.044 -0.078 0.022 0.039 -0.051 -0.144 0.007 93.000 78.400 0.203 3.067 
0.017 -0.044 -0.081 0.024 0.039 -0.051 -0.154 0.007 93.200 78.800 0.203 3.038 
0.015 -0.054 -0.078 0.024 0.042 -0.061 -0.176 0.010 93.200 79.200 0.203 3.009 
0.012 -0.054 -0.085 0.032 0.039 -0.059 -0.176 0.012 93.000 79.800 0.200 2.979 
0.029 -0.049 -0.100 0.022 0.054 -0.063 -0.181 0.005 92.800 80.200 0.198 2.950 
0.044 -0.051 -0.110 0.012 0.071 -0.073 -0.198 -0.000 92.400 80.800 0.198 2.916 
0.044 -0.056 -0.110 0.012 0.073 -0.078 -0.205 0.002 92.000 81.200 0.198 2.882 
0.044 -0.066 -0.122 0.017 0.078 -0.088 -0.200 0.005 91.600 81.400 0.198 2.847 
0.054 -0.061 -0.137 0.015 0.085 -0.088 -0.200 -0.000 91.400 81.800 0.198 2.813 
0.063 -0.051 -0.132 0.002 0.090 -0.083 -0.208 -0.007 91.200 82.000 0.198 2.784 
0.061 -0.061 -0.134 0.007 0.093 -0.090 -0.210 -0.002 91.000 82.400 0.195 2.755 
0.066 -0.054 -0.132 -0.000 0.093 -0.085 -0.190 -0.007 91.000 82.600 0.195 2.725 
0.073 -0.046 -0.139 -0.002 0.098 -0.083 -0.171 -0.012 91.200 82.800 0.193 2.696 
0.078 -0.051 -0.144 -0.005 0.105 -0.090 -0.161 -0.012 91.400 83.200 0.193 2.676 
0.073 -0.054 -0.142 -0.002 0.100 -0.090 -0.142 -0.010 91.600 83.400 0.190 2.657 
0.076 -0.046 -0.134 -0.007 0.100 -0.083 -0.117 -0.012 91.800 83.600 0.190 2.637 
0.083 -0.027 -0.127 -0.020 0.098 -0.068 -0.095 -0.022 92.200 84.000 0.188 2.618 
0.083 -0.012 -0.115 -0.024 0.090 -0.054 -0.088 -0.027 92.600 84.200 0.188 2.603 
0.073 -0.017 -0.105 -0.020 0.083 -0.054 -0.063 -0.022 92.800 84.600 0.188 2.589 
0.068 -0.015 -0.107 -0.015 0.076 -0.049 -0.037 -0.020 93.200 84.800 0.186 2.574 
0.073 -0.002 -0.095 -0.024 0.076 -0.039 -0.015 -0.027 93.400 85.000 0.183 2.559 
0.063 -0.002 -0.085 -0.020 0.066 -0.034 -0.000 -0.022 93.400 85.200 0.183 2.545 
0.054 -0.010 -0.078 -0.015 0.059 -0.037 0.017 -0.017 93.600 85.400 0.183 2.530 
0.039 -0.010 -0.061 -0.007 0.044 -0.029 0.037 -0.012 93.600 85.600 0.183 2.515 
0.046 0.012 -0.056 -0.017 0.042 -0.010 0.042 -0.022 93.400 85.800 0.181 2.501 
0.039 0.012 -0.049 -0.015 0.034 -0.007 0.049 -0.020 93.200 85.800 0.178 2.496 
0.017 0.002 -0.029 -0.002 0.017 -0.005 0.049 -0.010 93.000 85.800 0.178 2.491 
0.010 0.010 -0.015 -0.002 0.005 0.005 0.049 -0.010 92.600 85.600 0.176 2.486 
0.017 0.022 -0.010 -0.012 0.007 0.015 0.049 -0.015 92.200 85.400 0.173 2.481 
0.002 0.015 -0.010 0.002 -0.005 0.015 0.051 -0.007 91.600 85.000 0.171 2.471 
-0.012 0.007 0.005 0.010 -0.015 0.015 0.032 -0.000 91.000 84.600 0.166 2.462 
