I II III aVR aVL aVF V1 V2 LV AO Resp SPO2
-0.061 -0.078 -0.034 0.078 -0.022 -0.046 -0.139 0.044 28.400 62.000 0.181 3.116 
-0.051 -0.063 -0.034 0.068 -0.020 -0.037 -0.095 0.037 29.800 62.200 0.186 3.131 
-0.024 -0.054 -0.054 0.051 0.002 -0.042 -0.090 0.024 31.600 62.600 0.193 3.145 
-0.027 -0.056 -0.054 0.054 0.002 -0.042 -0.095 0.024 34.000 63.000 0.198 3.150 
-0.024 -0.049 -0.046 0.049 -0.000 -0.037 -0.088 0.022 36.800 63.600 0.205 3.155 
-0.022 -0.051 -0.046 0.046 0.005 -0.039 -0.083 0.022 39.800 64.200 0.210 3.160 
-0.007 -0.027 -0.044 0.029 0.007 -0.022 -0.081 0.010 43.400 65.000 0.217 3.165 
-0.000 -0.027 -0.046 0.024 0.015 -0.027 -0.081 0.007 47.200 65.800 0.222 3.165 
-0.012 -0.044 -0.049 0.037 0.010 -0.037 -0.078 0.017 51.400 66.600 0.227 3.165 
-0.010 -0.042 -0.049 0.034 0.012 -0.037 -0.066 0.015 55.600 67.600 0.230 3.165 
-0.002 -0.037 -0.056 0.032 0.017 -0.034 -0.068 0.010 60.000 68.400 0.237 3.165 
-0.000 -0.044 -0.063 0.032 0.022 -0.044 -0.071 0.012 64.400 69.400 0.242 3.150 
-0.012 -0.051 -0.056 0.042 0.015 -0.044 -0.073 0.020 68.600 70.400 0.247 3.136 
-0.007 -0.042 -0.054 0.034 0.015 -0.037 -0.071 0.015 72.600 71.400 0.254 3.121 
0.005 -0.029 -0.061 0.027 0.020 -0.032 -0.073 0.005 76.400 72.600 0.259 3.106 
0.010 -0.039 -0.068 0.024 0.029 -0.044 -0.073 0.007 79.800 73.400 0.264 3.087 
-0.007 -0.059 -0.068 0.042 0.022 -0.054 -0.083 0.020 83.000 74.200 0.269 3.067 
0.002 -0.044 -0.061 0.029 0.024 -0.044 -0.081 0.012 85.600 75.000 0.271 3.048 
0.012 -0.037 -0.071 0.024 0.032 -0.042 -0.088 0.005 88.000 76.000 0.278 3.028 
0.024 -0.032 -0.073 0.012 0.042 -0.044 -0.095 -0.000 89.800 76.600 0.283 2.994 
0.005 -0.061 -0.078 0.034 0.037 -0.063 -0.100 0.017 91.200 77.400 0.286 2.960 
0.007 -0.061 -0.085 0.037 0.039 -0.063 -0.098 0.015 92.200 78.000 0.291 2.926 
0.017 -0.051 -0.095 0.032 0.044 -0.059 -0.100 0.010 92.600 78.600 0.298 2.891 
0.024 -0.044 -0.093 0.022 0.046 -0.056 -0.117 0.005 93.000 79.200 0.303 2.862 
0.022 -0.066 -0.107 0.032 0.056 -0.076 -0.127 0.012 93.000 79.800 0.308 2.833 
0.027 -0.071 -0.117 0.032 0.063 -0.083 -0.127 0.012 92.800 80.200 0.313 2.803 
0.046 -0.051 -0.117 0.012 0.073 -0.073 -0.137 -0.000 92.400 80.800 0.317 2.774 
0.044 -0.061 -0.125 0.020 0.076 -0.083 -0.147 0.002 92.200 81.200 0.322 2.740 
0.044 -0.071 -0.134 0.024 0.081 -0.093 -0.154 0.007 91.800 81.800 0.327 2.706 
0.044 -0.071 -0.142 0.027 0.081 -0.093 -0.151 0.007 91.600 82.000 0.330 2.672 
0.059 -0.056 -0.147 0.015 0.088 -0.085 -0.151 -0.002 91.400 82.400 0.337 2.637 
0.071 -0.063 -0.159 0.010 0.103 -0.098 -0.159 -0.005 91.400 82.800 0.342 2.613 
0.063 -0.078 -0.161 0.017 0.103 -0.110 -0.151 0.002 91.400 83.000 0.344 2.589 
0.068 -0.068 -0.159 0.012 0.103 -0.103 -0.137 -0.002 91.600 83.200 0.349 2.564 
0.081 -0.049 -0.156 -0.002 0.105 -0.088 -0.125 -0.012 92.000 83.600 0.354 2.540 
0.078 -0.056 -0.159 0.002 0.107 -0.095 -0.112 -0.010 92.400 83.800 0.357 2.525 
0.076 -0.066 -0.161 0.005 0.110 -0.103 -0.098 -0.005 92.800 84.000 0.359 2.510 
0.073 -0.061 -0.159 0.007 0.105 -0.098 -0.073 -0.007 93.200 84.200 0.361 2.496 
0.083 -0.044 -0.147 -0.010 0.105 -0.085 -0.051 -0.015 93.600 84.600 0.364 2.481 
0.076 -0.039 -0.139 -0.005 0.095 -0.076 -0.037 -0.015 94.000 84.800 0.366 2.466 
0.061 -0.051 -0.132 0.005 0.088 -0.081 -0.015 -0.005 94.200 85.000 0.369 2.452 
0.056 -0.046 -0.122 0.005 0.081 -0.073 0.010 -0.005 94.400 85.000 0.371 2.437 
0.059 -0.024 -0.107 -0.005 0.071 -0.054 0.020 -0.015 94.600 85.200 0.374 2.422 
0.054 -0.020 -0.098 -0.005 0.063 -0.046 0.034 -0.015 94.600 85.400 0.374 2.418 
0.037 -0.034 -0.090 0.010 0.054 -0.051 0.049 -0.002 94.600 85.600 0.376 2.413 
0.029 -0.027 -0.078 0.010 0.044 -0.042 0.066 -0.002 94.400 85.600 0.376 2.408 
0.037 -0.007 -0.066 -0.002 0.042 -0.024 0.071 -0.012 94.000 85.800 0.379 2.403 
0.027 -0.010 -0.056 0.002 0.032 -0.022 0.076 -0.007 93.600 85.800 0.379 2.393 
0.010 -0.010 -0.044 0.012 0.015 -0.015 0.076 -0.002 93.200 85.800 0.379 2.383 
-0.002 -0.017 -0.042 0.024 0.007 -0.015 0.081 0.005 92.600 85.600 0.381 2.374 
0.007 -0.000 -0.037 0.012 0.007 -0.002 0.076 -0.005 91.800 85.400 0.383 2.364 
-0.002 -0.000 -0.020 0.012 -0.002 0.002 0.063 -0.002 91.200 85.000 0.383 2.359 
-0.017 -0.015 -0.017 0.027 -0.010 -0.005 0.054 0.007 90.400 84.600 0.383 2.354 
-0.017 -0.007 -0.012 0.024 -0.012 0.002 0.046 0.005 89.400 84.000 0.383 2.349 
-0.007 0.012 -0.002 0.010 -0.012 0.017 0.034 -0.005 88.600 83.400 0.383 2.344 
-0.015 0.010 0.002 0.015 -0.020 0.017 0.029 -0.000 87.600 82.800 0.383 2.339 
-0.027 -0.000 -0.002 0.029 -0.027 0.015 0.010 0.007 86.600 82.200 0.383 2.335 
-0.027 -0.002 0.002 0.027 -0.024 0.012 0.007 0.007 85.400 81.400 0.383 2.330 
-0.022 0.012 0.005 0.020 -0.027 0.024 -0.000 -0.000 84.200 80.800 0.383 2.325 
-0.017 0.015 0.010 0.012 -0.024 0.024 -0.005 -0.002 82.800 80.200 0.379 2.320 
-0.027 0.005 0.010 0.022 -0.029 0.020 -0.010 0.005 81.200 79.600 0.376 2.315 
-0.029 0.005 0.015 0.022 -0.032 0.020 -0.005 0.005 79.600 79.200 0.374 2.310 
-0.020 0.015 0.010 0.015 -0.027 0.024 -0.000 -0.000 77.800 78.800 0.369 2.305 
-0.017 0.022 0.012 0.012 -0.027 0.032 0.002 -0.005 75.800 78.400 0.369 2.295 
-0.037 0.017 0.032 0.022 -0.044 0.037 -0.012 0.005 73.600 78.200 0.369 2.286 
-0.032 0.007 0.010 0.027 -0.034 0.024 -0.034 0.005 71.200 78.000 0.369 2.276 
-0.022 0.020 0.012 0.017 -0.032 0.032 -0.054 -0.002 68.600 77.800 0.369 2.266 
-0.027 -0.000 0.007 0.024 -0.027 0.015 -0.056 0.007 65.800 77.600 0.369 2.252 
-0.039 -0.007 0.010 0.034 -0.034 0.012 -0.068 0.012 62.800 77.400 0.366 2.237 
-0.029 0.002 0.015 0.022 -0.029 0.017 -0.066 0.007 59.600 77.200 0.366 2.222 
