I II III aVR aVL aVF V2 AO LV SPO2
0.015 -0.007 -0.032 0.002 0.020 -0.015 -0.005 60.400 16.000 1.807 
0.039 0.015 -0.039 -0.020 0.032 -0.005 -0.020 60.200 16.000 1.797 
0.044 0.002 -0.054 -0.017 0.044 -0.020 -0.017 60.200 16.000 1.788 
0.017 -0.015 -0.039 0.002 0.024 -0.022 -0.002 60.000 16.200 1.778 
0.022 -0.000 -0.032 -0.005 0.022 -0.010 -0.010 59.800 16.200 1.768 
0.049 0.010 -0.046 -0.024 0.044 -0.015 -0.022 59.600 16.200 1.758 
0.034 -0.015 -0.049 -0.010 0.042 -0.032 -0.010 59.400 16.200 1.748 
0.010 -0.017 -0.037 0.010 0.020 -0.022 -0.000 59.200 16.200 1.739 
0.022 -0.000 -0.024 -0.010 0.022 -0.010 -0.010 59.000 16.200 1.729 
0.042 0.005 -0.039 -0.022 0.039 -0.015 -0.017 58.800 16.400 1.719 
0.017 -0.020 -0.042 0.005 0.027 -0.027 -0.002 58.800 16.400 1.705 
-0.002 -0.020 -0.024 0.015 0.007 -0.017 0.005 58.600 16.400 1.690 
0.024 -0.000 -0.027 -0.010 0.024 -0.012 -0.010 58.400 16.400 1.675 
0.034 -0.005 -0.044 -0.012 0.037 -0.022 -0.012 58.200 16.400 1.661 
0.012 -0.022 -0.042 0.010 0.024 -0.027 -0.000 58.000 16.600 1.651 
0.010 -0.015 -0.027 0.005 0.017 -0.020 -0.000 57.800 16.600 1.641 
0.034 0.015 -0.022 -0.022 0.027 -0.002 -0.020 57.600 16.600 1.631 
0.032 0.022 -0.012 -0.024 0.022 0.007 -0.020 57.600 16.800 1.621 
0.005 0.022 0.017 -0.012 -0.005 0.020 -0.012 57.400 16.800 1.617 
0.012 0.044 0.032 -0.027 -0.010 0.039 -0.022 57.200 16.800 1.612 
0.039 0.054 0.017 -0.046 0.012 0.034 -0.034 57.000 16.800 1.607 
0.034 0.029 -0.005 -0.032 0.020 0.012 -0.024 57.000 17.000 1.602 
0.010 0.017 0.005 -0.012 0.002 0.012 -0.012 56.800 17.000 1.582 
0.027 0.032 0.005 -0.029 0.012 0.020 -0.022 56.600 17.000 1.563 
0.054 0.024 -0.027 -0.039 0.042 -0.002 -0.029 56.600 17.000 1.543 
0.037 0.005 -0.037 -0.017 0.034 -0.012 -0.017 56.400 17.000 1.524 
0.029 0.007 -0.020 -0.020 0.027 -0.007 -0.015 56.200 17.000 1.514 
0.054 0.037 -0.017 -0.044 0.037 0.010 -0.032 56.200 17.200 1.504 
0.071 0.042 -0.027 -0.056 0.051 0.007 -0.039 56.000 17.200 1.495 
0.044 0.024 -0.017 -0.034 0.032 0.002 -0.024 55.800 17.200 1.485 
0.034 0.039 0.005 -0.037 0.015 0.022 -0.027 55.800 17.200 1.475 
0.068 0.042 -0.022 -0.056 0.049 0.007 -0.039 55.600 17.200 1.465 
0.063 0.015 -0.054 -0.037 0.056 -0.017 -0.029 55.600 17.200 1.455 
0.032 0.002 -0.032 -0.015 0.032 -0.012 -0.015 55.400 17.200 1.446 
0.039 0.024 -0.017 -0.029 0.027 0.005 -0.024 55.200 17.200 1.436 
0.066 0.032 -0.034 -0.049 0.051 -0.000 -0.034 55.200 17.400 1.426 
0.056 -0.000 -0.054 -0.029 0.056 -0.027 -0.022 55.000 17.400 1.416 
0.022 -0.007 -0.034 -0.005 0.027 -0.017 -0.007 54.800 17.400 1.407 
0.027 0.005 -0.020 -0.017 0.024 -0.007 -0.012 54.600 17.400 1.397 
0.037 -0.000 -0.037 -0.017 0.037 -0.017 -0.015 54.600 17.400 1.387 
-0.007 -0.034 -0.027 0.022 0.010 -0.029 0.012 54.400 17.600 1.377 
-0.029 -0.042 -0.015 0.037 -0.007 -0.027 0.022 54.200 17.600 1.368 
-0.000 -0.029 -0.027 0.015 0.015 -0.029 0.007 54.000 17.800 1.358 
0.015 -0.032 -0.049 0.010 0.032 -0.039 0.002 54.000 17.800 1.348 
-0.012 -0.051 -0.037 0.032 0.015 -0.044 0.020 53.800 17.800 1.338 
-0.020 -0.044 -0.022 0.032 0.002 -0.034 0.020 53.600 18.000 1.328 
0.010 -0.027 -0.034 0.007 0.024 -0.032 0.002 53.600 18.000 1.319 
0.010 -0.037 -0.046 0.015 0.029 -0.042 0.007 53.400 18.200 1.309 
-0.020 -0.049 -0.027 0.034 0.005 -0.039 0.020 53.200 18.200 1.299 
-0.017 -0.027 -0.015 0.024 -0.002 -0.017 0.012 53.200 18.400 1.289 
0.010 -0.022 -0.034 0.007 0.022 -0.027 0.002 53.000 18.400 1.280 
0.002 -0.042 -0.044 0.020 0.024 -0.042 0.010 53.000 18.600 1.270 
-0.024 -0.051 -0.024 0.037 0.002 -0.039 0.022 52.800 18.600 1.260 
-0.000 -0.022 -0.020 0.010 0.012 -0.022 0.005 52.800 18.800 1.250 
0.020 -0.017 -0.044 0.002 0.029 -0.027 -0.002 52.600 18.800 1.236 
-0.000 -0.046 -0.046 0.024 0.024 -0.046 0.012 52.600 18.800 1.221 
-0.017 -0.042 -0.024 0.029 0.005 -0.032 0.017 52.400 19.000 1.206 
-0.002 -0.022 -0.022 0.015 0.010 -0.020 0.005 52.400 19.000 1.192 
-0.000 -0.034 -0.042 0.022 0.017 -0.034 0.010 52.200 19.000 1.177 
-0.039 -0.059 -0.020 0.049 -0.010 -0.039 0.029 52.200 19.000 1.162 
-0.061 -0.051 0.010 0.056 -0.034 -0.020 0.034 52.200 19.000 1.148 
-0.000 -0.020 -0.017 0.010 0.010 -0.020 0.005 52.000 19.000 1.133 
0.049 -0.005 -0.054 -0.022 0.051 -0.029 -0.017 52.000 19.200 1.128 
0.137 0.063 -0.061 -0.105 0.105 -0.005 -0.068 51.800 19.200 1.123 
0.332 0.222 -0.103 -0.281 0.222 0.056 -0.188 51.800 19.200 1.118 
0.584 0.427 -0.151 -0.508 0.371 0.137 -0.339 51.600 19.200 1.114 
0.818 0.623 -0.186 -0.725 0.508 0.215 -0.484 51.600 19.200 1.114 
0.979 0.781 -0.190 -0.884 0.589 0.293 -0.589 51.400 19.400 1.114 
1.043 0.781 -0.264 -0.911 0.652 0.261 -0.611 51.400 19.400 1.114 
1.001 0.476 -0.520 -0.740 0.764 -0.024 -0.496 51.200 19.600 1.114 
0.867 0.181 -0.679 -0.527 0.777 -0.252 -0.352 51.000 19.600 1.138 
0.589 -0.032 -0.620 -0.278 0.606 -0.325 -0.188 51.000 19.800 1.162 
0.237 -0.081 -0.322 -0.076 0.278 -0.198 -0.054 50.800 20.000 1.187 
0.042 -0.115 -0.161 0.039 0.100 -0.134 0.022 50.800 20.000 1.211 
-0.020 -0.139 -0.125 0.083 0.051 -0.129 0.051 50.600 20.200 1.260 
-0.010 -0.103 -0.095 0.059 0.042 -0.098 0.034 50.600 20.400 1.309 
0.022 -0.034 -0.056 0.007 0.039 -0.044 0.002 50.400 20.800 1.358 
0.015 -0.017 -0.032 0.002 0.024 -0.024 -0.002 50.400 21.000 1.407 
-0.037 -0.044 -0.012 0.044 -0.015 -0.024 0.024 50.200 21.400 1.475 
-0.051 -0.037 0.007 0.049 -0.032 -0.010 0.027 50.200 22.000 1.543 
-0.024 -0.020 -0.002 0.027 -0.015 -0.007 0.012 50.000 22.600 1.612 
-0.029 -0.046 -0.017 0.039 -0.005 -0.032 0.022 50.000 23.400 1.680 
-0.071 -0.061 0.007 0.068 -0.039 -0.024 0.042 49.800 24.600 1.763 
-0.061 -0.046 0.012 0.056 -0.037 -0.015 0.034 49.800 25.800 1.846 
-0.022 -0.037 -0.017 0.032 -0.002 -0.024 0.017 49.800 27.400 1.929 
-0.037 -0.061 -0.020 0.046 -0.005 -0.042 0.029 49.600 29.400 2.012 
-0.063 -0.063 -0.002 0.066 -0.032 -0.032 0.039 49.600 31.800 2.100 
-0.042 -0.044 -0.002 0.044 -0.020 -0.022 0.027 49.400 34.400 2.188 
-0.029 -0.042 -0.012 0.037 -0.007 -0.027 0.022 49.400 37.200 2.276 
-0.063 -0.059 0.005 0.061 -0.034 -0.027 0.039 49.400 40.400 2.364 
-0.081 -0.051 0.024 0.068 -0.054 -0.010 0.042 49.200 43.800 2.452 
-0.051 -0.029 0.020 0.042 -0.037 -0.002 0.024 49.200 47.600 2.540 
-0.037 -0.037 -0.000 0.037 -0.017 -0.017 0.022 49.000 51.400 2.628 
-0.063 -0.054 0.010 0.059 -0.037 -0.022 0.037 49.000 55.400 2.716 
-0.063 -0.042 0.020 0.054 -0.042 -0.010 0.032 49.000 59.600 2.789 
-0.034 -0.032 0.002 0.034 -0.017 -0.015 0.020 49.000 63.600 2.862 
-0.037 -0.042 -0.007 0.042 -0.015 -0.022 0.024 49.000 67.800 2.935 
-0.059 -0.056 -0.000 0.059 -0.029 -0.027 0.037 49.200 71.800 3.009 
-0.044 -0.042 -0.002 0.046 -0.022 -0.020 0.027 49.400 75.800 3.072 
-0.029 -0.042 -0.017 0.039 -0.007 -0.027 0.022 49.600 79.800 3.136 
-0.044 -0.056 -0.017 0.054 -0.015 -0.034 0.032 50.000 83.400 3.199 
-0.066 -0.056 0.005 0.063 -0.037 -0.022 0.039 50.600 87.000 3.263 
-0.056 -0.042 0.012 0.051 -0.034 -0.012 0.029 51.200 90.600 3.316 
-0.049 -0.049 -0.000 0.049 -0.024 -0.024 0.029 51.800 93.800 3.370 
-0.071 -0.059 0.012 0.066 -0.042 -0.022 0.042 52.600 97.000 3.424 
-0.093 -0.054 0.037 0.076 -0.066 -0.007 0.046 53.600 100.000 3.477 
-0.076 -0.044 0.024 0.063 -0.054 -0.005 0.037 54.600 103.000 3.526 
-0.078 -0.059 0.017 0.071 -0.049 -0.020 0.044 55.600 105.800 3.575 
-0.110 -0.071 0.034 0.093 -0.073 -0.015 0.059 56.800 108.400 3.624 
-0.105 -0.056 0.042 0.085 -0.076 -0.002 0.051 58.000 111.200 3.673 
-0.081 -0.051 0.022 0.071 -0.054 -0.010 0.042 59.400 113.600 3.722 
-0.088 -0.076 0.015 0.081 -0.049 -0.032 0.051 60.600 116.200 3.770 
-0.103 -0.078 0.027 0.090 -0.063 -0.027 0.059 62.000 118.600 3.819 
-0.088 -0.061 0.029 0.073 -0.056 -0.017 0.046 63.200 121.000 3.868 
-0.071 -0.061 0.007 0.068 -0.039 -0.024 0.042 64.400 123.400 3.907 
-0.095 -0.078 0.012 0.090 -0.056 -0.029 0.056 65.600 125.600 3.946 
-0.098 -0.066 0.029 0.083 -0.063 -0.017 0.051 66.800 127.600 3.985 
-0.081 -0.049 0.032 0.066 -0.056 -0.007 0.042 68.000 129.600 4.024 
-0.081 -0.059 0.017 0.073 -0.051 -0.017 0.044 69.000 131.400 4.073 
-0.115 -0.073 0.032 0.100 -0.078 -0.015 0.061 70.000 133.000 4.122 
-0.115 -0.056 0.054 0.088 -0.085 0.002 0.054 70.800 134.600 4.171 
-0.093 -0.044 0.034 0.076 -0.071 0.002 0.044 71.800 136.000 4.220 
-0.093 -0.063 0.024 0.081 -0.061 -0.017 0.049 72.600 137.400 4.225 
-0.120 -0.076 0.037 0.103 -0.081 -0.015 0.063 73.400 138.600 4.230 
-0.105 -0.056 0.039 0.085 -0.076 -0.002 0.051 74.200 139.600 4.234 
-0.078 -0.054 0.017 0.071 -0.051 -0.015 0.042 75.000 140.600 4.239 
-0.093 -0.076 0.005 0.090 -0.054 -0.029 0.054 76.000 141.600 4.234 
-0.120 -0.083 0.029 0.105 -0.078 -0.022 0.066 76.800 142.600 4.230 
-0.098 -0.066 0.027 0.085 -0.063 -0.017 0.051 77.800 143.400 4.225 
-0.085 -0.061 0.012 0.081 -0.054 -0.017 0.046 78.800 144.200 4.220 
-0.115 -0.083 0.022 0.105 -0.073 -0.024 0.063 79.800 145.000 4.200 
-0.139 -0.081 0.051 0.115 -0.098 -0.010 0.071 81.000 145.600 4.181 
-0.120 -0.061 0.051 0.095 -0.088 -0.000 0.059 82.200 146.200 4.161 
-0.115 -0.071 0.037 0.098 -0.078 -0.012 0.059 83.400 146.800 4.142 
-0.149 -0.088 0.054 0.122 -0.105 -0.012 0.076 84.600 147.200 4.112 
-0.166 -0.078 0.078 0.127 -0.127 0.005 0.078 86.000 147.600 4.083 
-0.139 -0.061 0.066 0.107 -0.107 0.010 0.063 87.400 147.800 4.054 
-0.149 -0.083 0.061 0.120 -0.107 -0.007 0.076 88.800 148.200 4.024 
-0.190 -0.098 0.081 0.151 -0.142 -0.002 0.093 90.200 148.200 3.990 
-0.188 -0.083 0.090 0.144 -0.147 0.012 0.088 91.600 148.400 3.956 
-0.166 -0.076 0.076 0.129 -0.127 0.007 0.078 93.000 148.400 3.922 
-0.176 -0.090 0.071 0.142 -0.129 -0.002 0.085 94.400 148.400 3.888 
-0.198 -0.098 0.085 0.156 -0.149 0.002 0.095 95.800 148.200 3.849 
-0.183 -0.081 0.098 0.134 -0.142 0.012 0.085 97.000 148.000 3.810 
-0.161 -0.071 0.078 0.122 -0.125 0.010 0.076 98.200 147.600 3.770 
-0.188 -0.088 0.085 0.147 -0.144 0.007 0.090 99.400 147.200 3.731 
-0.210 -0.085 0.103 0.159 -0.166 0.020 0.095 100.600 146.600 3.697 
-0.186 -0.061 0.110 0.132 -0.154 0.032 0.081 101.600 146.000 3.663 
-0.173 -0.068 0.095 0.127 -0.139 0.020 0.078 102.600 145.400 3.629 
-0.210 -0.093 0.107 0.156 -0.164 0.012 0.098 103.600 144.400 3.595 
-0.215 -0.081 0.122 0.154 -0.173 0.027 0.095 104.400 143.600 3.560 
-0.181 -0.061 0.103 0.129 -0.149 0.029 0.078 105.000 142.400 3.526 
-0.168 -0.076 0.083 0.127 -0.129 0.010 0.078 105.800 141.200 3.492 
-0.188 -0.095 0.081 0.149 -0.139 -0.000 0.093 106.400 139.800 3.458 
-0.173 -0.081 0.073 0.137 -0.132 0.007 0.083 106.800 138.400 3.429 
-0.134 -0.076 0.049 0.110 -0.095 -0.007 0.068 107.200 136.600 3.399 
-0.132 -0.090 0.029 0.117 -0.085 -0.024 0.071 107.600 134.800 3.370 
-0.147 -0.095 0.039 0.127 -0.098 -0.022 0.078 108.000 132.800 3.341 
-0.120 -0.068 0.042 0.100 -0.085 -0.007 0.061 108.200 130.600 3.321 
-0.088 -0.066 0.010 0.083 -0.054 -0.022 0.049 108.200 128.200 3.302 
-0.088 -0.076 0.005 0.085 -0.049 -0.032 0.051 108.400 125.800 3.282 
-0.088 -0.061 0.017 0.081 -0.056 -0.017 0.046 108.400 123.200 3.263 
-0.049 -0.039 -0.000 0.049 -0.029 -0.015 0.027 108.400 120.600 3.243 
-0.020 -0.034 -0.027 0.034 -0.002 -0.024 0.015 108.200 118.000 3.223 
-0.020 -0.034 -0.024 0.032 -0.002 -0.024 0.015 108.000 115.200 3.204 
-0.007 -0.015 -0.022 0.020 -0.000 -0.010 0.005 107.800 112.600 3.184 
0.032 0.002 -0.039 -0.012 0.032 -0.012 -0.015 107.400 109.800 3.170 
0.039 -0.005 -0.056 -0.010 0.042 -0.024 -0.015 107.000 107.000 3.155 
0.020 -0.010 -0.046 0.005 0.024 -0.020 -0.005 106.400 104.200 3.140 
0.034 0.007 -0.037 -0.015 0.032 -0.010 -0.017 105.800 101.600 3.126 
0.051 0.012 -0.046 -0.027 0.046 -0.012 -0.024 105.200 99.000 3.116 
0.042 -0.000 -0.051 -0.015 0.042 -0.020 -0.017 104.400 96.200 3.106 
0.012 -0.007 -0.029 0.002 0.017 -0.012 -0.005 103.600 93.600 3.096 
0.032 0.012 -0.032 -0.015 0.027 -0.002 -0.017 102.600 91.000 3.087 
0.044 -0.000 -0.054 -0.017 0.044 -0.022 -0.017 101.600 88.400 3.072 
0.017 -0.024 -0.054 0.010 0.029 -0.032 -0.000 100.400 85.600 3.057 
0.005 -0.020 -0.037 0.015 0.015 -0.022 0.002 99.400 82.800 3.043 
0.027 -0.007 -0.046 -0.002 0.032 -0.020 -0.010 98.200 79.800 3.028 
0.027 -0.029 -0.066 0.007 0.042 -0.042 -0.002 96.800 76.600 3.013 
-0.000 -0.051 -0.063 0.032 0.027 -0.051 0.015 95.600 73.200 2.999 
-0.007 -0.042 -0.046 0.032 0.015 -0.037 0.015 94.400 69.800 2.984 
0.020 -0.029 -0.063 0.012 0.034 -0.039 -0.000 93.000 66.200 2.969 
0.017 -0.051 -0.081 0.024 0.044 -0.059 0.010 91.800 62.600 2.955 
-0.015 -0.068 -0.061 0.046 0.020 -0.061 0.024 90.600 59.000 2.940 
-0.010 -0.049 -0.056 0.039 0.015 -0.044 0.017 89.400 55.400 2.926 
0.017 -0.046 -0.076 0.022 0.042 -0.054 0.007 88.400 51.800 2.911 
-0.002 -0.071 -0.081 0.044 0.034 -0.068 0.022 87.400 48.400 2.896 
-0.029 -0.073 -0.061 0.061 0.007 -0.059 0.032 86.400 45.000 2.882 
-0.012 -0.051 -0.051 0.039 0.015 -0.044 0.020 85.600 41.800 2.867 
0.007 -0.051 -0.071 0.029 0.034 -0.054 0.012 84.800 38.800 2.852 
-0.012 -0.068 -0.071 0.049 0.022 -0.061 0.024 84.200 36.000 2.838 
-0.024 -0.066 -0.051 0.051 0.010 -0.054 0.027 83.600 33.400 2.823 
0.010 -0.044 -0.061 0.022 0.032 -0.049 0.010 83.200 31.200 2.808 
0.024 -0.044 -0.083 0.017 0.046 -0.056 0.005 82.800 29.200 2.794 
-0.002 -0.066 -0.076 0.042 0.032 -0.063 0.020 82.400 27.600 2.779 
-0.002 -0.042 -0.056 0.032 0.020 -0.039 0.012 82.000 26.200 2.764 
0.024 -0.029 -0.068 0.010 0.039 -0.042 -0.000 81.800 25.000 2.750 
0.027 -0.039 -0.081 0.015 0.046 -0.051 0.002 81.600 24.000 2.735 
0.002 -0.054 -0.068 0.032 0.029 -0.054 0.015 81.400 23.200 2.720 
0.007 -0.034 -0.056 0.022 0.024 -0.037 0.007 81.200 22.400 2.706 
0.032 -0.027 -0.071 0.005 0.046 -0.042 -0.005 81.000 21.800 2.691 
0.022 -0.046 -0.078 0.017 0.046 -0.056 0.005 80.600 21.200 2.676 
0.002 -0.044 -0.056 0.027 0.024 -0.044 0.012 80.400 20.600 2.662 
0.029 -0.024 -0.061 0.002 0.042 -0.039 -0.005 80.000 19.800 2.647 
0.049 -0.027 -0.088 -0.005 0.063 -0.051 -0.010 79.800 19.200 2.632 
0.022 -0.049 -0.085 0.022 0.046 -0.059 0.007 79.400 18.600 2.618 
0.005 -0.046 -0.063 0.027 0.029 -0.049 0.012 79.000 18.000 2.608 
0.027 -0.027 -0.066 0.007 0.042 -0.039 -0.002 78.400 17.600 2.598 
0.032 -0.034 -0.081 0.010 0.049 -0.049 -0.002 78.000 17.000 2.589 
-0.000 -0.054 -0.059 0.029 0.027 -0.054 0.015 77.400 16.400 2.579 
-0.007 -0.039 -0.042 0.029 0.012 -0.034 0.012 77.000 16.000 2.564 
0.017 -0.024 -0.051 0.010 0.029 -0.032 -0.000 76.400 15.400 2.549 
0.005 -0.039 -0.059 0.024 0.024 -0.042 0.010 75.800 15.200 2.535 
-0.017 -0.046 -0.034 0.034 0.007 -0.037 0.020 75.400 14.800 2.520 
-0.010 -0.024 -0.027 0.024 0.002 -0.020 0.010 74.800 14.600 2.491 
0.015 -0.022 -0.046 0.010 0.027 -0.029 -0.000 74.400 14.400 2.462 
-0.002 -0.042 -0.051 0.029 0.020 -0.039 0.012 74.000 14.400 2.432 
-0.029 -0.046 -0.032 0.046 -0.005 -0.032 0.022 73.400 14.400 2.403 
-0.010 -0.022 -0.027 0.024 0.002 -0.017 0.007 73.000 14.400 2.388 
0.007 -0.024 -0.042 0.015 0.020 -0.027 0.002 72.600 14.600 2.374 
-0.010 -0.039 -0.039 0.029 0.010 -0.034 0.015 72.200 14.600 2.359 
-0.027 -0.039 -0.027 0.042 -0.007 -0.024 0.020 72.000 14.800 2.344 
0.002 -0.022 -0.034 0.015 0.015 -0.022 0.005 71.600 15.000 2.335 
0.007 -0.037 -0.056 0.022 0.027 -0.039 0.007 71.400 15.000 2.325 
-0.017 -0.056 -0.046 0.042 0.012 -0.046 0.022 71.000 15.200 2.315 
-0.020 -0.044 -0.034 0.037 0.002 -0.034 0.020 70.800 15.200 2.305 
0.005 -0.029 -0.049 0.020 0.020 -0.032 0.005 70.600 15.400 2.291 
-0.007 -0.054 -0.054 0.034 0.020 -0.049 0.017 70.400 15.400 2.276 
-0.034 -0.063 -0.037 0.054 -0.002 -0.046 0.029 70.200 15.400 2.261 
-0.027 -0.046 -0.034 0.044 -0.002 -0.032 0.022 70.000 15.400 2.247 
-0.002 -0.039 -0.044 0.024 0.017 -0.037 0.012 69.800 15.200 2.237 
-0.020 -0.056 -0.044 0.042 0.010 -0.046 0.022 69.400 15.200 2.227 
-0.037 -0.056 -0.029 0.051 -0.007 -0.037 0.029 69.200 15.200 2.217 
-0.005 -0.032 -0.037 0.024 0.012 -0.029 0.010 69.000 15.000 2.208 
0.022 -0.034 -0.059 0.007 0.039 -0.044 0.002 68.800 15.000 2.193 
-0.002 -0.049 -0.056 0.032 0.022 -0.046 0.015 68.600 15.000 2.178 
-0.012 -0.037 -0.034 0.029 0.007 -0.029 0.015 68.200 15.000 2.164 
0.017 -0.015 -0.039 0.002 0.024 -0.022 -0.002 68.000 14.800 2.149 
0.022 -0.020 -0.054 0.005 0.032 -0.029 -0.002 67.600 14.800 2.139 
-0.005 -0.037 -0.039 0.024 0.015 -0.034 0.012 67.400 14.800 2.129 
-0.007 -0.017 -0.017 0.017 0.002 -0.012 0.005 67.000 14.800 2.120 
0.022 -0.000 -0.029 -0.007 0.022 -0.010 -0.010 66.800 14.800 2.110 
0.022 -0.015 -0.039 -0.002 0.029 -0.024 -0.005 66.400 15.000 2.095 
0.002 -0.020 -0.024 0.010 0.012 -0.020 0.002 66.200 15.000 2.081 
0.015 0.005 -0.015 -0.007 0.012 -0.002 -0.010 65.800 15.000 2.066 
0.044 0.012 -0.039 -0.024 0.039 -0.010 -0.022 65.600 15.000 2.051 
0.037 -0.002 -0.044 -0.015 0.039 -0.020 -0.015 65.200 15.200 2.042 
0.012 -0.000 -0.020 -0.002 0.012 -0.005 -0.007 64.800 15.200 2.032 
0.032 0.027 -0.010 -0.027 0.020 0.012 -0.022 64.600 15.200 2.022 
0.046 0.027 -0.024 -0.034 0.034 0.005 -0.027 64.400 15.400 2.012 
0.024 0.005 -0.015 -0.017 0.022 -0.007 -0.012 64.000 15.400 2.002 
0.012 0.010 -0.002 -0.010 0.007 0.005 -0.010 63.800 15.600 1.993 
0.039 0.029 -0.010 -0.034 0.024 0.010 -0.024 63.600 15.600 1.983 
0.049 0.020 -0.029 -0.034 0.039 -0.005 -0.024 63.400 15.800 1.973 
0.017 0.005 -0.015 -0.010 0.015 -0.002 -0.010 63.200 15.800 1.958 
0.022 0.027 0.005 -0.024 0.010 0.017 -0.020 63.000 16.000 1.944 
0.044 0.044 -0.010 -0.039 0.022 0.022 -0.032 62.800 16.000 1.929 
0.034 0.027 -0.017 -0.024 0.022 0.010 -0.022 62.600 16.200 1.915 
0.010 0.017 -0.000 -0.010 0.002 0.012 -0.012 62.400 16.200 1.905 
0.017 0.044 0.017 -0.024 -0.005 0.037 -0.022 62.200 16.400 1.895 
0.044 0.051 0.010 -0.049 0.020 0.029 -0.034 62.000 16.400 1.885 
0.024 0.032 0.005 -0.027 0.010 0.020 -0.022 61.800 16.600 1.875 
0.002 0.037 0.024 -0.015 -0.015 0.037 -0.015 61.600 16.600 1.861 
0.029 0.059 0.024 -0.042 -0.000 0.044 -0.032 61.400 16.800 1.846 
0.049 0.056 -0.000 -0.049 0.022 0.032 -0.037 61.200 16.800 1.832 
0.029 0.044 0.007 -0.032 0.007 0.029 -0.027 61.000 16.800 1.817 
0.022 0.056 0.027 -0.034 -0.005 0.046 -0.029 60.800 17.000 1.807 
0.056 0.078 0.012 -0.061 0.017 0.051 -0.046 60.600 17.000 1.797 
0.063 0.068 -0.007 -0.059 0.029 0.037 -0.046 60.400 17.000 1.788 
0.046 0.054 0.005 -0.049 0.020 0.032 -0.037 60.200 17.000 1.778 
0.059 0.081 0.015 -0.066 0.020 0.051 -0.049 60.000 17.000 1.763 
0.083 0.120 0.029 -0.098 0.024 0.078 -0.071 59.800 16.800 1.748 
0.051 0.103 0.044 -0.073 -0.000 0.078 -0.054 59.600 16.800 1.734 
0.039 0.098 0.059 -0.068 -0.010 0.078 -0.049 59.400 16.800 1.719 
0.068 0.117 0.046 -0.090 0.010 0.083 -0.063 59.400 16.800 1.709 
0.095 0.107 0.007 -0.098 0.042 0.061 -0.071 59.200 16.800 1.700 
0.071 0.076 -0.000 -0.071 0.034 0.042 -0.051 59.000 16.800 1.690 
0.061 0.076 0.010 -0.066 0.024 0.046 -0.049 58.800 16.800 1.680 
0.100 0.090 -0.015 -0.093 0.056 0.042 -0.066 58.800 16.800 1.670 
0.112 0.078 -0.039 -0.093 0.073 0.022 -0.066 58.600 16.800 1.661 
0.095 0.063 -0.037 -0.076 0.063 0.017 -0.056 58.400 16.800 1.651 
0.103 0.088 -0.022 -0.090 0.059 0.037 -0.066 58.400 16.600 1.641 
0.142 0.107 -0.034 -0.125 0.088 0.037 -0.085 58.200 16.600 1.631 
0.144 0.100 -0.044 -0.122 0.095 0.029 -0.083 58.000 16.600 1.621 
0.112 0.095 -0.020 -0.103 0.066 0.039 -0.071 57.800 16.600 1.612 
0.137 0.107 -0.032 -0.120 0.083 0.039 -0.083 57.800 16.600 1.602 
0.161 0.095 -0.068 -0.127 0.115 0.015 -0.088 57.600 16.600 1.587 
0.144 0.081 -0.068 -0.110 0.105 0.010 -0.078 57.400 16.600 1.573 
0.129 0.088 -0.044 -0.107 0.085 0.024 -0.076 57.200 16.600 1.558 
0.151 0.100 -0.046 -0.127 0.103 0.024 -0.085 57.000 16.600 1.543 
0.168 0.095 -0.076 -0.129 0.122 0.012 -0.090 56.800 16.600 1.534 
0.137 0.068 -0.071 -0.100 0.103 -0.000 -0.071 56.600 16.600 1.524 
0.115 0.063 -0.051 -0.088 0.083 0.007 -0.061 56.400 16.600 1.514 
0.134 0.073 -0.066 -0.100 0.098 0.007 -0.071 56.200 16.600 1.504 
0.125 0.049 -0.078 -0.085 0.100 -0.012 -0.061 56.000 16.600 1.495 
0.088 0.020 -0.073 -0.051 0.078 -0.024 -0.039 55.800 16.600 1.485 
0.090 0.032 -0.063 -0.059 0.076 -0.012 -0.044 55.600 16.800 1.475 
0.117 0.044 -0.081 -0.076 0.095 -0.015 -0.056 55.400 16.800 1.465 
0.110 0.024 -0.090 -0.063 0.098 -0.029 -0.046 55.200 16.800 1.451 
0.083 0.012 -0.076 -0.044 0.078 -0.029 -0.034 55.000 17.000 1.436 
0.090 0.024 -0.076 -0.051 0.078 -0.020 -0.042 55.000 17.000 1.421 
0.115 0.029 -0.095 -0.066 0.100 -0.027 -0.051 54.800 17.000 1.407 
0.100 0.007 -0.098 -0.051 0.098 -0.042 -0.039 54.600 17.000 1.397 
0.078 0.007 -0.073 -0.042 0.076 -0.032 -0.032 54.600 17.000 1.387 
0.098 0.027 -0.076 -0.059 0.085 -0.022 -0.044 54.400 17.000 1.377 
0.107 0.027 -0.085 -0.063 0.095 -0.027 -0.046 54.400 17.000 1.368 
0.078 0.005 -0.076 -0.039 0.076 -0.034 -0.029 54.200 17.000 1.358 
0.066 0.017 -0.049 -0.042 0.059 -0.015 -0.029 54.000 16.800 1.348 
0.093 0.037 -0.059 -0.063 0.076 -0.010 -0.046 53.800 16.800 1.338 
0.093 0.027 -0.063 -0.061 0.081 -0.020 -0.042 53.800 16.800 1.328 
0.066 0.010 -0.051 -0.039 0.061 -0.022 -0.027 53.600 16.800 1.304 
0.066 0.034 -0.029 -0.051 0.049 0.002 -0.037 53.400 16.800 1.280 
