I II III aVR aVL aVF V2 AO LV SPO2
0.015 0.073 0.046 -0.037 -0.022 0.066 -0.032 50.800 15.200 1.187 
0.046 0.098 0.042 -0.066 -0.002 0.076 -0.051 50.800 15.200 1.172 
0.059 0.088 0.017 -0.066 0.015 0.059 -0.051 50.600 15.000 1.158 
0.024 0.063 0.022 -0.034 -0.007 0.051 -0.032 50.400 15.000 1.143 
0.024 0.066 0.024 -0.037 -0.007 0.054 -0.032 50.400 15.200 1.128 
0.059 0.073 0.005 -0.061 0.022 0.044 -0.046 50.200 15.200 1.114 
0.063 0.061 -0.015 -0.056 0.034 0.029 -0.044 50.000 15.200 1.109 
0.044 0.063 0.002 -0.044 0.012 0.042 -0.039 50.000 15.400 1.104 
0.054 0.093 0.020 -0.063 0.007 0.066 -0.051 49.800 15.400 1.099 
0.085 0.107 0.007 -0.088 0.032 0.066 -0.066 49.800 15.400 1.094 
0.076 0.088 0.005 -0.078 0.032 0.051 -0.056 49.600 15.600 1.099 
0.051 0.088 0.022 -0.061 0.007 0.063 -0.049 49.400 15.600 1.104 
0.071 0.088 -0.000 -0.071 0.027 0.054 -0.056 49.400 15.600 1.109 
0.085 0.071 -0.029 -0.071 0.051 0.029 -0.054 49.200 15.600 1.114 
0.063 0.051 -0.024 -0.051 0.039 0.020 -0.042 49.200 15.600 1.138 
0.049 0.063 -0.000 -0.049 0.017 0.039 -0.039 49.200 15.600 1.162 
0.073 0.071 -0.017 -0.063 0.039 0.034 -0.051 49.000 15.600 1.187 
0.078 0.056 -0.034 -0.061 0.051 0.017 -0.046 49.000 15.600 1.211 
0.034 0.029 -0.017 -0.024 0.020 0.012 -0.024 48.800 15.600 1.265 
0.020 0.034 -0.000 -0.020 0.002 0.024 -0.020 48.800 15.600 1.319 
0.032 0.046 -0.000 -0.032 0.010 0.032 -0.029 48.600 15.400 1.372 
0.017 0.015 -0.015 -0.010 0.010 0.007 -0.012 48.600 15.400 1.426 
-0.015 -0.007 -0.010 0.020 -0.010 -0.000 0.005 48.600 15.400 1.499 
-0.000 0.010 -0.007 0.005 -0.005 0.010 -0.005 48.400 15.600 1.573 
0.032 0.020 -0.024 -0.020 0.022 0.005 -0.020 48.400 15.600 1.646 
0.022 -0.005 -0.037 -0.002 0.024 -0.015 -0.007 48.200 15.600 1.719 
-0.000 -0.002 -0.017 0.010 0.002 -0.002 -0.002 48.200 15.800 1.807 
0.015 0.020 -0.012 -0.007 0.005 0.012 -0.015 48.000 15.800 1.895 
0.037 0.017 -0.029 -0.022 0.029 -0.000 -0.020 48.000 16.000 1.983 
0.015 -0.007 -0.034 0.002 0.020 -0.015 -0.005 47.800 16.200 2.071 
-0.002 -0.002 -0.015 0.010 -0.000 -0.000 -0.000 47.800 16.200 2.159 
0.029 0.017 -0.022 -0.017 0.022 0.002 -0.017 47.600 16.400 2.247 
0.037 0.012 -0.039 -0.017 0.032 -0.005 -0.020 47.600 16.600 2.335 
0.012 -0.002 -0.029 0.002 0.015 -0.007 -0.005 47.400 16.600 2.422 
0.007 0.007 -0.020 0.002 0.005 0.005 -0.007 47.400 16.800 2.505 
0.032 0.020 -0.032 -0.015 0.022 0.005 -0.020 47.400 16.800 2.589 
0.020 0.005 -0.034 -0.002 0.017 -0.005 -0.010 47.200 16.800 2.672 
-0.017 -0.010 -0.002 0.020 -0.012 -0.000 0.007 47.200 16.800 2.755 
-0.024 0.005 0.012 0.020 -0.027 0.017 0.005 47.200 16.800 2.833 
-0.017 0.005 0.012 0.012 -0.020 0.015 0.002 47.000 17.000 2.911 
-0.032 -0.007 0.007 0.029 -0.027 0.010 0.010 47.000 17.000 2.989 
-0.012 0.010 0.007 0.010 -0.017 0.017 -0.002 47.000 17.000 3.067 
0.088 0.088 -0.012 -0.081 0.044 0.044 -0.061 46.800 17.000 3.131 
0.286 0.205 -0.090 -0.239 0.183 0.063 -0.166 46.800 17.000 3.194 
0.488 0.335 -0.159 -0.408 0.322 0.090 -0.276 46.800 17.000 3.258 
0.747 0.567 -0.198 -0.647 0.464 0.193 -0.440 46.800 17.200 3.321 
1.023 0.772 -0.269 -0.889 0.637 0.261 -0.601 46.600 17.200 3.375 
1.201 0.862 -0.347 -1.028 0.772 0.261 -0.691 46.600 17.200 3.429 
1.116 0.657 -0.474 -0.879 0.789 0.100 -0.593 46.400 17.400 3.482 
1.013 0.339 -0.698 -0.664 0.845 -0.166 -0.454 46.400 17.400 3.536 
0.874 0.103 -0.784 -0.481 0.823 -0.335 -0.327 46.400 17.600 3.590 
0.527 -0.085 -0.618 -0.217 0.571 -0.349 -0.149 46.200 17.600 3.643 
0.132 -0.085 -0.225 -0.020 0.176 -0.151 -0.017 46.200 17.800 3.697 
0.007 -0.078 -0.110 0.049 0.046 -0.081 0.022 46.000 18.000 3.751 
0.039 -0.063 -0.117 0.020 0.071 -0.083 0.005 46.000 18.000 3.800 
0.042 -0.054 -0.103 0.010 0.068 -0.073 0.002 45.800 18.200 3.849 
0.005 -0.012 -0.032 0.012 0.012 -0.015 -0.000 45.800 18.400 3.897 
0.007 0.032 0.007 -0.010 -0.007 0.029 -0.015 45.800 18.800 3.946 
