I II III aVR aVL aVF V1 AO Resp SPO2
-0.015 -0.007 -0.002 0.017 -0.010 -0.000 0.010 52.600 0.095 1.915 
-0.007 -0.005 -0.005 0.010 -0.005 -0.000 0.015 52.600 0.090 1.895 
-0.010 0.007 0.007 0.007 -0.012 0.012 0.012 52.800 0.085 1.875 
-0.015 0.007 0.010 0.010 -0.017 0.015 0.012 52.800 0.081 1.856 
-0.015 0.007 0.017 0.007 -0.017 0.015 0.017 53.000 0.073 1.836 
-0.015 0.012 0.017 0.007 -0.020 0.020 0.015 53.200 0.071 1.817 
-0.015 0.007 0.017 0.007 -0.017 0.015 0.010 53.600 0.071 1.797 
-0.020 0.005 0.015 0.012 -0.022 0.015 0.010 54.000 0.068 1.778 
-0.020 0.002 0.022 0.010 -0.020 0.012 0.007 54.800 0.066 1.758 
-0.015 0.015 0.022 0.005 -0.022 0.022 -0.000 55.800 0.059 1.739 
-0.012 0.020 0.022 0.002 -0.022 0.027 -0.005 57.000 0.054 1.719 
-0.010 0.017 0.027 -0.002 -0.017 0.022 -0.002 58.600 0.046 1.700 
-0.015 0.027 0.029 -0.000 -0.027 0.034 -0.002 60.600 0.042 1.680 
-0.005 0.032 0.027 -0.007 -0.020 0.034 -0.005 63.000 0.037 1.661 
-0.010 0.032 0.032 -0.005 -0.024 0.037 -0.005 65.600 0.034 1.641 
-0.007 0.042 0.039 -0.012 -0.027 0.046 -0.010 68.800 0.032 1.621 
-0.002 0.044 0.034 -0.015 -0.024 0.046 -0.012 72.200 0.027 1.602 
-0.000 0.042 0.037 -0.017 -0.020 0.042 -0.017 76.000 0.022 1.578 
-0.007 0.046 0.044 -0.015 -0.029 0.051 -0.020 80.200 0.015 1.553 
0.017 0.061 0.042 -0.037 -0.012 0.054 -0.017 84.600 0.007 1.529 
0.005 0.059 0.049 -0.029 -0.024 0.056 -0.017 89.000 -0.000 1.504 
0.002 0.073 0.059 -0.032 -0.034 0.073 -0.020 93.400 -0.005 1.485 
-0.007 0.078 0.073 -0.029 -0.046 0.083 -0.022 98.000 -0.010 1.465 
-0.015 0.078 0.081 -0.024 -0.054 0.085 -0.024 102.400 -0.015 1.446 
-0.010 0.083 0.088 -0.034 -0.051 0.088 -0.029 106.600 -0.022 1.426 
-0.007 0.088 0.085 -0.034 -0.051 0.093 -0.024 110.600 -0.029 1.411 
