I II III aVR aVL aVF V1 AO Resp SPO2
-0.005 0.098 0.090 -0.039 -0.054 0.100 -0.022 114.200 -0.034 1.397 
-0.002 0.100 0.088 -0.042 -0.051 0.103 -0.027 117.600 -0.042 1.382 
0.002 0.105 0.088 -0.046 -0.049 0.105 -0.042 120.800 -0.046 1.368 
-0.000 0.110 0.100 -0.049 -0.054 0.110 -0.042 123.800 -0.054 1.353 
0.017 0.107 0.081 -0.056 -0.037 0.100 -0.046 126.400 -0.061 1.338 
0.002 0.103 0.088 -0.046 -0.049 0.103 -0.044 128.800 -0.068 1.324 
0.007 0.103 0.081 -0.046 -0.044 0.100 -0.046 130.800 -0.073 1.309 
0.007 0.105 0.083 -0.049 -0.044 0.103 -0.051 132.800 -0.078 1.289 
0.005 0.103 0.088 -0.049 -0.046 0.100 -0.049 134.600 -0.081 1.270 
0.007 0.100 0.088 -0.051 -0.042 0.098 -0.054 136.200 -0.085 1.250 
0.002 0.098 0.088 -0.046 -0.046 0.098 -0.059 137.600 -0.088 1.231 
0.012 0.105 0.081 -0.051 -0.039 0.100 -0.059 139.000 -0.095 1.201 
0.010 0.105 0.081 -0.049 -0.042 0.100 -0.056 140.200 -0.100 1.172 
0.007 0.095 0.078 -0.046 -0.039 0.093 -0.061 141.400 -0.107 1.143 
0.005 0.090 0.073 -0.042 -0.039 0.088 -0.051 142.600 -0.115 1.114 
0.007 0.088 0.068 -0.042 -0.037 0.085 -0.051 143.600 -0.288 1.084 
0.005 0.076 0.059 -0.034 -0.032 0.073 -0.051 144.400 -0.291 1.055 
0.002 0.061 0.049 -0.027 -0.027 0.061 -0.046 145.400 -0.464 1.026 
0.010 0.056 0.039 -0.029 -0.017 0.051 -0.039 146.000 -0.469 0.996 
-0.005 0.039 0.034 -0.012 -0.024 0.042 -0.032 146.800 -0.303 0.977 
-0.002 0.034 0.027 -0.010 -0.020 0.037 -0.029 147.600 -0.308 0.957 
-0.000 0.024 0.012 -0.005 -0.012 0.024 -0.024 148.400 -0.142 0.938 
-0.005 0.022 0.012 -0.000 -0.015 0.024 -0.010 149.000 -0.147 0.918 
-0.010 0.010 0.012 0.005 -0.015 0.015 -0.007 149.800 -0.149 0.923 
-0.012 0.005 0.007 0.010 -0.015 0.012 -0.005 150.600 -0.149 0.928 
-0.012 -0.005 0.005 0.010 -0.010 0.002 -0.000 151.400 -0.149 0.933 
-0.024 -0.015 0.005 0.022 -0.017 -0.002 0.002 152.200 -0.151 0.938 
-0.022 -0.017 0.005 0.020 -0.012 -0.005 0.005 153.000 -0.151 0.972 
-0.017 -0.002 0.005 0.015 -0.015 0.007 0.015 153.600 -0.154 1.006 
0.007 -0.010 -0.024 0.005 0.012 -0.012 -0.000 154.400 -0.154 1.040 
-0.032 -0.010 0.010 0.027 -0.027 0.007 0.022 155.000 -0.156 1.074 
-0.029 -0.012 -0.000 0.029 -0.022 0.002 0.032 155.600 -0.156 1.153 
-0.022 -0.022 -0.007 0.027 -0.010 -0.010 0.029 156.200 -0.154 1.231 
-0.024 -0.024 -0.005 0.027 -0.012 -0.012 0.029 156.600 -0.154 1.309 
-0.029 -0.034 -0.017 0.039 -0.012 -0.020 0.027 156.800 -0.151 1.387 
-0.022 -0.027 -0.017 0.032 -0.007 -0.015 0.032 156.600 -0.149 1.495 
-0.032 -0.027 -0.005 0.034 -0.017 -0.010 0.029 156.400 -0.144 1.602 
-0.017 -0.017 -0.005 0.020 -0.007 -0.007 0.034 155.800 -0.142 1.709 
-0.012 -0.010 -0.007 0.017 -0.007 -0.002 0.034 155.000 -0.137 1.817 
-0.024 -0.022 -0.010 0.029 -0.012 -0.010 0.027 153.800 -0.132 2.071 
-0.027 -0.034 -0.012 0.034 -0.010 -0.020 0.034 152.600 -0.127 2.325 
-0.027 -0.049 -0.027 0.042 -0.002 -0.034 0.034 151.000 -0.120 2.579 
-0.015 -0.049 -0.037 0.034 0.010 -0.042 0.039 149.200 -0.115 2.833 
-0.024 -0.051 -0.034 0.042 0.002 -0.039 0.039 147.400 -0.105 2.935 
-0.022 -0.056 -0.034 0.039 0.007 -0.044 0.039 145.400 -0.098 3.038 
-0.027 -0.056 -0.034 0.044 0.002 -0.042 0.034 143.200 -0.090 3.140 
-0.029 -0.054 -0.032 0.046 -0.002 -0.039 0.037 141.000 -0.081 3.243 
-0.017 -0.034 -0.022 0.029 -0.000 -0.024 0.042 138.600 -0.073 3.311 
-0.024 -0.027 -0.010 0.029 -0.010 -0.015 0.032 136.200 -0.066 3.380 
-0.027 -0.022 -0.005 0.029 -0.015 -0.007 0.022 133.600 -0.059 3.448 
-0.027 -0.012 0.002 0.027 -0.020 0.002 0.017 131.000 -0.051 3.516 
-0.032 -0.012 0.012 0.027 -0.024 0.005 0.020 128.600 -0.044 3.556 
-0.032 -0.017 0.005 0.029 -0.022 -0.000 0.022 126.200 -0.037 3.595 
-0.029 -0.020 -0.002 0.032 -0.020 -0.005 0.027 123.800 -0.027 3.634 
-0.027 -0.012 0.002 0.027 -0.020 0.002 0.012 121.800 -0.017 3.673 
-0.020 -0.007 0.005 0.017 -0.015 0.002 0.007 119.600 -0.010 3.697 
-0.022 0.010 0.022 0.012 -0.027 0.022 -0.002 117.600 -0.002 3.722 
-0.039 -0.002 0.029 0.024 -0.037 0.017 0.005 115.800 0.002 3.746 
-0.037 -0.000 0.027 0.024 -0.037 0.020 0.002 114.200 0.010 3.770 
-0.039 -0.010 0.022 0.029 -0.034 0.010 0.007 112.600 0.015 3.785 
-0.029 0.005 0.029 0.015 -0.032 0.020 0.007 111.200 0.020 3.800 
-0.022 -0.002 0.012 0.017 -0.020 0.010 0.005 110.000 0.027 3.814 
-0.032 -0.007 0.017 0.024 -0.027 0.010 0.007 109.000 0.032 3.829 
-0.017 -0.002 0.012 0.012 -0.015 0.007 0.007 108.200 0.032 3.844 
-0.037 -0.007 0.024 0.024 -0.032 0.012 0.005 107.400 0.034 3.858 
-0.022 -0.002 0.015 0.015 -0.020 0.010 0.015 106.800 0.034 3.873 
-0.032 -0.002 0.017 0.024 -0.029 0.015 0.012 106.400 0.037 3.888 
-0.037 0.007 0.032 0.022 -0.039 0.027 0.005 105.800 0.037 3.902 
-0.027 0.002 0.022 0.017 -0.027 0.017 0.005 105.400 0.034 3.917 
-0.046 -0.012 0.022 0.037 -0.039 0.012 0.005 105.000 0.034 3.932 
-0.027 -0.007 0.012 0.022 -0.022 0.007 0.005 104.600 0.032 3.946 
-0.046 -0.012 0.017 0.039 -0.039 0.012 0.007 104.000 0.029 3.961 
-0.027 0.010 0.024 0.015 -0.032 0.024 0.007 103.400 0.027 3.976 
-0.037 0.007 0.037 0.020 -0.039 0.027 0.010 102.600 0.024 3.990 
-0.032 -0.005 0.020 0.022 -0.029 0.012 0.005 101.800 0.022 4.005 
-0.015 0.007 0.015 0.007 -0.017 0.015 -0.005 100.800 0.020 4.010 
-0.017 -0.000 0.012 0.012 -0.017 0.010 -0.005 99.800 0.015 4.015 
-0.039 -0.005 0.022 0.029 -0.037 0.015 0.005 98.800 0.012 4.020 
-0.017 0.042 0.049 -0.007 -0.037 0.051 -0.017 97.600 0.010 4.024 
-0.022 0.054 0.063 -0.010 -0.049 0.066 -0.027 96.600 0.007 4.015 
-0.032 0.049 0.078 -0.007 -0.056 0.066 -0.034 95.400 0.005 4.005 
-0.024 0.056 0.076 -0.012 -0.051 0.068 -0.044 94.200 0.002 3.995 
-0.027 0.056 0.071 -0.007 -0.054 0.071 -0.037 93.000 -0.000 3.985 
-0.029 0.039 0.061 -0.000 -0.049 0.054 -0.032 91.800 -0.002 3.961 
-0.017 0.054 0.061 -0.012 -0.044 0.063 -0.022 90.600 -0.005 3.937 
-0.007 0.063 0.068 -0.027 -0.039 0.068 -0.032 89.400 -0.007 3.912 
-0.002 0.063 0.059 -0.027 -0.034 0.066 -0.044 88.200 -0.010 3.888 
-0.000 0.073 0.071 -0.034 -0.037 0.073 -0.049 87.000 -0.015 3.844 
0.017 0.088 0.068 -0.051 -0.027 0.081 -0.049 85.800 -0.020 3.800 
0.022 0.103 0.078 -0.061 -0.029 0.093 -0.054 84.400 -0.022 3.756 
0.012 0.095 0.076 -0.049 -0.034 0.090 -0.042 83.200 -0.029 3.712 
0.012 0.100 0.083 -0.054 -0.037 0.095 -0.039 81.800 -0.034 3.663 
0.005 0.090 0.078 -0.044 -0.039 0.088 -0.042 80.600 -0.039 3.614 
-0.000 0.088 0.083 -0.042 -0.044 0.088 -0.037 79.400 -0.044 3.565 
0.005 0.071 0.061 -0.034 -0.029 0.068 -0.024 78.000 -0.051 3.516 
-0.002 0.044 0.034 -0.015 -0.024 0.046 -0.022 76.800 -0.059 3.463 
-0.020 0.022 0.034 0.002 -0.029 0.032 -0.000 75.600 -0.068 3.409 
-0.024 -0.002 0.020 0.015 -0.022 0.010 0.010 74.400 -0.076 3.355 
-0.037 0.015 0.049 0.012 -0.044 0.034 0.027 73.200 -0.085 3.302 
-0.037 0.002 0.037 0.020 -0.037 0.022 0.027 72.400 -0.093 3.258 
-0.032 -0.010 0.017 0.024 -0.027 0.007 0.032 71.400 -0.100 3.214 
-0.042 -0.027 0.007 0.039 -0.027 -0.005 0.039 70.800 -0.107 3.170 
-0.049 -0.032 0.007 0.046 -0.032 -0.007 0.042 70.200 -0.115 3.126 
-0.051 -0.034 0.015 0.044 -0.034 -0.007 0.039 70.000 -0.120 3.087 
-0.032 -0.024 -0.002 0.034 -0.020 -0.007 0.042 69.600 -0.127 3.048 
-0.044 -0.042 -0.012 0.051 -0.022 -0.020 0.039 69.600 -0.134 3.009 
-0.059 -0.051 -0.000 0.059 -0.032 -0.022 0.044 69.400 -0.142 2.969 
-0.034 -0.061 -0.037 0.054 -0.002 -0.044 0.049 69.400 -0.142 2.945 
-0.056 -0.059 -0.017 0.066 -0.027 -0.029 0.051 69.600 -0.144 2.921 
-0.054 -0.056 -0.017 0.063 -0.024 -0.029 0.044 69.600 -0.144 2.896 
-0.046 -0.051 -0.015 0.054 -0.020 -0.027 0.049 69.600 -0.147 2.872 
-0.044 -0.042 -0.002 0.046 -0.022 -0.020 0.037 69.600 -0.149 2.847 
-0.054 -0.046 -0.005 0.056 -0.029 -0.020 0.039 69.400 -0.151 2.823 
-0.039 -0.056 -0.024 0.051 -0.010 -0.037 0.046 69.400 -0.154 2.799 
-0.046 -0.076 -0.034 0.063 -0.007 -0.051 0.054 69.200 -0.156 2.774 
-0.044 -0.083 -0.051 0.071 -0.002 -0.061 0.049 69.000 -0.156 2.750 
-0.056 -0.085 -0.034 0.073 -0.012 -0.056 0.071 68.600 -0.156 2.725 
-0.059 -0.068 -0.020 0.068 -0.024 -0.039 0.081 68.200 -0.156 2.701 
-0.068 -0.063 -0.002 0.071 -0.037 -0.029 0.098 68.000 -0.156 2.676 
-0.076 -0.002 0.061 0.046 -0.073 0.037 0.095 67.600 -0.156 2.657 
-0.022 0.142 0.156 -0.056 -0.093 0.154 0.029 67.200 -0.154 2.637 
0.076 0.364 0.281 -0.215 -0.105 0.327 -0.100 66.800 -0.154 2.618 
0.198 0.611 0.410 -0.403 -0.107 0.513 -0.305 66.600 -0.151 2.598 
0.305 0.872 0.562 -0.586 -0.129 0.720 -0.545 66.400 -0.151 2.579 
0.374 1.104 0.720 -0.733 -0.178 0.918 -0.781 66.200 -0.151 2.559 
0.361 0.952 0.584 -0.652 -0.115 0.772 -0.794 66.000 -0.151 2.540 
0.222 0.523 0.291 -0.366 -0.039 0.413 -0.567 66.000 -0.151 2.520 
0.076 0.029 -0.059 -0.046 0.061 -0.007 -0.278 66.000 -0.149 2.496 
-0.029 -0.188 -0.171 0.115 0.066 -0.173 -0.112 66.000 -0.147 2.471 
-0.056 -0.217 -0.176 0.144 0.054 -0.188 -0.046 66.000 -0.144 2.447 
-0.056 -0.200 -0.147 0.129 0.044 -0.171 -0.024 66.200 -0.142 2.422 
-0.081 -0.110 -0.034 0.098 -0.024 -0.068 -0.037 66.400 -0.142 2.398 
-0.049 -0.007 0.029 0.034 -0.044 0.017 -0.042 66.400 -0.142 2.374 
-0.010 0.032 0.032 -0.005 -0.024 0.037 -0.010 66.600 -0.142 2.349 
-0.010 0.005 0.005 0.007 -0.012 0.010 0.005 66.800 -0.142 2.325 
-0.015 -0.037 -0.024 0.027 0.005 -0.029 0.017 66.800 -0.139 2.271 
0.015 -0.029 -0.051 0.012 0.029 -0.037 0.020 66.800 -0.137 2.217 
-0.034 -0.020 -0.000 0.034 -0.024 -0.002 0.042 66.800 -0.137 2.164 
-0.042 -0.022 0.012 0.037 -0.029 -0.000 0.042 66.800 -0.132 2.110 
-0.046 -0.007 0.024 0.034 -0.042 0.017 0.024 66.800 -0.129 2.085 
-0.034 -0.027 -0.000 0.034 -0.020 -0.010 0.020 66.800 -0.125 2.061 
-0.029 -0.022 -0.015 0.037 -0.017 -0.007 0.027 66.600 -0.120 2.037 
-0.017 -0.020 -0.010 0.022 -0.007 -0.010 0.024 66.600 -0.115 2.012 
-0.039 -0.012 0.020 0.029 -0.032 0.007 0.022 66.400 -0.107 1.988 
-0.032 0.002 0.010 0.027 -0.032 0.020 0.024 66.400 -0.103 1.963 
-0.027 -0.002 0.010 0.022 -0.024 0.012 0.024 66.200 -0.095 1.939 
-0.024 -0.022 -0.002 0.027 -0.012 -0.010 0.039 66.200 -0.088 1.915 
-0.029 -0.015 0.005 0.027 -0.022 -0.000 0.022 66.000 -0.083 1.890 
-0.037 0.002 0.024 0.024 -0.037 0.022 0.017 66.000 -0.076 1.866 
-0.037 0.007 0.032 0.022 -0.039 0.027 0.012 65.800 -0.068 1.841 
-0.017 0.012 0.022 0.007 -0.022 0.022 0.017 65.600 -0.061 1.817 
-0.039 -0.020 0.015 0.032 -0.029 -0.000 0.020 65.400 -0.054 1.797 
-0.034 -0.024 0.005 0.032 -0.022 -0.007 0.029 65.400 -0.046 1.778 
-0.015 -0.012 -0.000 0.015 -0.007 -0.005 0.024 65.200 -0.039 1.758 
0.002 0.024 0.015 -0.010 -0.010 0.024 0.015 65.000 -0.029 1.739 
-0.024 0.010 0.027 0.012 -0.029 0.022 0.024 64.800 -0.022 1.724 
-0.024 0.017 0.034 0.007 -0.032 0.029 0.005 64.800 -0.017 1.709 
-0.039 0.024 0.059 0.010 -0.051 0.044 0.010 64.600 -0.010 1.695 
-0.029 0.032 0.051 0.005 -0.044 0.046 0.012 64.600 -0.002 1.680 
-0.022 0.032 0.046 -0.000 -0.037 0.044 0.007 64.800 0.002 1.656 
-0.020 0.017 0.032 0.005 -0.027 0.027 0.007 65.000 0.010 1.631 
-0.032 0.010 0.034 0.015 -0.037 0.027 0.015 65.200 0.020 1.607 
-0.034 0.017 0.046 0.012 -0.042 0.034 0.012 65.600 0.027 1.582 
-0.037 0.027 0.056 0.010 -0.049 0.046 -0.005 66.200 0.034 1.563 
-0.039 0.017 0.051 0.015 -0.046 0.037 -0.017 67.200 0.039 1.543 
-0.015 0.017 0.024 0.002 -0.022 0.024 0.005 68.200 0.044 1.524 
-0.020 0.037 0.046 -0.002 -0.037 0.046 -0.000 69.400 0.051 1.504 
-0.027 0.042 0.063 -0.005 -0.046 0.056 -0.007 71.000 0.059 1.485 
-0.027 0.051 0.071 -0.007 -0.051 0.066 -0.005 72.800 0.066 1.465 
-0.032 0.049 0.073 -0.005 -0.056 0.066 -0.015 74.800 0.076 1.446 
-0.017 0.032 0.042 -0.002 -0.032 0.042 -0.015 77.000 0.083 1.426 
-0.002 0.042 0.034 -0.015 -0.022 0.044 -0.010 79.400 0.261 1.407 
0.002 0.044 0.037 -0.020 -0.020 0.044 -0.015 82.000 0.269 1.387 
-0.020 0.063 0.078 -0.020 -0.051 0.073 -0.017 84.800 0.447 1.368 
-0.010 0.093 0.088 -0.034 -0.056 0.098 -0.024 87.600 0.454 1.348 
-0.007 0.090 0.098 -0.042 -0.051 0.095 -0.029 90.600 0.291 1.333 
-0.029 0.095 0.115 -0.027 -0.076 0.110 -0.037 93.800 0.298 1.319 
-0.007 0.103 0.100 -0.042 -0.059 0.107 -0.034 96.800 0.134 1.304 
0.002 0.083 0.076 -0.039 -0.039 0.083 -0.032 100.000 0.142 1.289 
0.010 0.078 0.056 -0.037 -0.029 0.073 -0.032 103.000 0.151 1.275 
0.012 0.088 0.066 -0.044 -0.032 0.083 -0.029 106.000 0.161 1.260 
-0.005 0.090 0.085 -0.037 -0.049 0.093 -0.049 109.000 0.171 1.245 
-0.005 0.093 0.090 -0.039 -0.051 0.095 -0.042 111.800 0.181 1.231 
-0.005 0.100 0.100 -0.044 -0.054 0.103 -0.042 114.400 0.188 1.211 
-0.017 0.127 0.132 -0.049 -0.081 0.137 -0.063 117.200 0.195 1.192 
-0.007 0.151 0.151 -0.068 -0.083 0.156 -0.049 119.600 0.203 1.172 
0.007 0.129 0.117 -0.066 -0.056 0.127 -0.054 122.000 0.212 1.153 
0.015 0.125 0.105 -0.066 -0.046 0.117 -0.059 124.200 0.222 1.133 
0.020 0.117 0.093 -0.066 -0.039 0.107 -0.059 126.200 0.232 1.114 
0.005 0.120 0.105 -0.056 -0.054 0.117 -0.061 128.200 0.242 1.094 
-0.002 0.125 0.115 -0.054 -0.063 0.127 -0.066 130.000 0.252 1.074 
-0.010 0.125 0.122 -0.051 -0.071 0.129 -0.071 131.600 0.254 1.045 
-0.015 0.105 0.115 -0.042 -0.066 0.112 -0.063 133.200 0.259 1.016 
0.007 0.120 0.100 -0.056 -0.051 0.117 -0.051 134.600 0.261 0.987 
0.010 0.107 0.090 -0.054 -0.044 0.103 -0.051 135.800 0.266 0.957 
0.012 0.107 0.083 -0.054 -0.042 0.103 -0.056 137.000 0.269 0.938 
-0.002 0.090 0.088 -0.042 -0.046 0.093 -0.056 138.200 0.269 0.918 
-0.002 0.100 0.095 -0.044 -0.051 0.103 -0.046 139.200 0.271 0.899 
-0.005 0.117 0.117 -0.054 -0.063 0.120 -0.049 140.200 0.274 0.879 
0.005 0.127 0.112 -0.061 -0.059 0.125 -0.054 141.000 0.278 0.874 
-0.002 0.112 0.098 -0.046 -0.059 0.115 -0.051 141.800 0.286 0.869 
-0.012 0.056 0.054 -0.015 -0.039 0.063 -0.044 142.400 0.291 0.864 
-0.015 0.039 0.037 -0.002 -0.034 0.046 -0.034 143.000 0.298 0.860 
-0.010 0.039 0.037 -0.007 -0.029 0.044 -0.007 143.600 0.303 0.884 
-0.015 0.017 0.027 0.002 -0.022 0.024 -0.007 144.000 0.308 0.908 
-0.005 0.029 0.027 -0.007 -0.020 0.032 -0.020 144.400 0.313 0.933 
-0.027 0.007 0.024 0.015 -0.029 0.022 -0.002 144.800 0.317 0.957 
-0.046 -0.000 0.037 0.029 -0.046 0.024 0.005 145.200 0.327 1.021 
-0.027 0.005 0.022 0.017 -0.029 0.020 -0.005 145.400 0.337 1.084 
-0.032 -0.022 0.002 0.032 -0.020 -0.005 0.017 145.800 0.344 1.148 
-0.034 -0.032 -0.005 0.037 -0.017 -0.015 0.022 146.000 0.354 1.211 
-0.039 -0.027 0.002 0.039 -0.024 -0.007 0.024 146.200 0.361 1.314 
-0.034 -0.034 -0.015 0.042 -0.017 -0.017 0.022 146.400 0.369 1.416 
-0.051 -0.039 -0.000 0.051 -0.032 -0.012 0.022 146.400 0.376 1.519 
-0.042 -0.039 -0.010 0.046 -0.022 -0.017 0.024 146.400 0.383 1.621 
-0.042 -0.029 -0.005 0.044 -0.027 -0.007 0.027 146.400 0.393 1.753 
-0.039 -0.032 -0.002 0.042 -0.022 -0.012 0.032 146.400 0.403 1.885 
-0.049 -0.049 -0.017 0.059 -0.024 -0.024 0.032 146.200 0.413 2.017 
-0.046 -0.066 -0.027 0.061 -0.012 -0.042 0.029 146.000 0.425 2.149 
-0.042 -0.059 -0.024 0.054 -0.012 -0.037 0.032 145.600 0.432 2.281 
-0.037 -0.042 -0.017 0.046 -0.015 -0.022 0.027 145.200 0.437 2.413 
-0.039 -0.042 -0.012 0.046 -0.017 -0.022 0.022 144.600 0.442 2.545 
-0.049 -0.037 -0.007 0.054 -0.029 -0.012 0.027 144.000 0.449 2.676 
-0.046 -0.046 -0.007 0.051 -0.022 -0.022 0.029 143.200 0.454 2.794 
-0.039 -0.037 -0.010 0.044 -0.020 -0.017 0.020 142.200 0.462 2.911 
-0.044 -0.034 0.002 0.044 -0.027 -0.012 0.034 141.000 0.466 3.028 
-0.042 -0.039 -0.005 0.044 -0.022 -0.017 0.029 139.600 0.474 3.145 
-0.044 -0.046 -0.007 0.049 -0.020 -0.024 0.029 138.200 0.479 3.233 
-0.044 -0.027 0.007 0.042 -0.029 -0.005 0.029 136.400 0.484 3.321 
-0.054 -0.032 0.007 0.051 -0.037 -0.005 0.022 134.400 0.486 3.409 
-0.059 -0.037 0.007 0.056 -0.039 -0.007 0.029 132.200 0.493 3.497 
-0.049 -0.032 0.005 0.046 -0.032 -0.007 0.020 130.000 0.498 3.590 
-0.051 -0.027 0.010 0.046 -0.037 -0.000 0.022 127.600 0.501 3.683 
-0.037 -0.017 0.007 0.034 -0.027 0.002 0.015 125.000 0.505 3.775 
-0.039 -0.020 0.002 0.039 -0.029 -0.000 0.015 122.400 0.510 3.868 
-0.049 -0.012 0.020 0.039 -0.042 0.012 0.010 119.800 0.515 3.888 
-0.051 -0.010 0.027 0.039 -0.046 0.017 0.012 117.200 0.520 3.907 
-0.042 -0.002 0.024 0.029 -0.039 0.020 0.012 114.600 0.525 3.927 
-0.039 -0.012 0.015 0.032 -0.032 0.007 0.005 112.200 0.530 3.946 
-0.039 -0.020 0.007 0.037 -0.029 -0.000 0.005 109.800 0.535 3.961 
-0.034 -0.020 -0.000 0.034 -0.024 -0.002 -0.002 107.600 0.537 3.976 
-0.037 -0.027 -0.005 0.039 -0.022 -0.007 0.010 105.600 0.542 3.990 
-0.024 -0.015 0.005 0.022 -0.017 -0.002 -0.005 103.800 0.545 4.005 
-0.034 -0.000 0.027 0.022 -0.034 0.017 -0.007 102.200 0.545 4.024 
-0.044 -0.000 0.034 0.027 -0.044 0.022 -0.007 100.800 0.547 4.044 
-0.044 0.002 0.039 0.024 -0.044 0.024 -0.007 99.600 0.547 4.063 
-0.039 -0.000 0.034 0.022 -0.039 0.020 -0.007 98.600 0.549 4.083 
-0.032 -0.000 0.024 0.020 -0.032 0.017 -0.012 97.600 0.549 4.103 
-0.024 -0.005 0.012 0.020 -0.022 0.007 -0.007 96.800 0.549 4.122 
-0.022 -0.012 0.002 0.022 -0.015 -0.000 -0.002 96.200 0.552 4.142 
-0.015 -0.010 -0.005 0.017 -0.010 -0.002 0.002 95.600 0.554 4.161 
-0.024 -0.005 0.012 0.020 -0.022 0.007 0.002 95.200 0.552 4.176 
-0.017 0.007 0.022 0.007 -0.020 0.017 -0.010 94.600 0.549 4.190 
-0.027 0.010 0.032 0.012 -0.032 0.024 -0.007 94.000 0.547 4.205 
-0.029 0.005 0.032 0.015 -0.032 0.020 -0.020 93.600 0.545 4.220 
-0.024 0.015 0.034 0.007 -0.032 0.027 -0.022 93.000 0.545 4.220 
-0.024 0.015 0.037 0.007 -0.032 0.027 -0.012 92.400 0.545 4.220 
-0.024 0.027 0.042 0.005 -0.037 0.039 -0.012 91.800 0.542 4.220 
-0.022 0.027 0.049 -0.002 -0.034 0.039 -0.027 91.000 0.540 4.220 
-0.017 0.029 0.049 -0.007 -0.032 0.039 -0.044 90.400 0.537 4.200 
-0.022 0.029 0.044 -0.000 -0.037 0.042 -0.046 89.600 0.532 4.181 
-0.012 0.032 0.042 -0.007 -0.027 0.039 -0.049 88.800 0.530 4.161 
0.002 0.042 0.039 -0.022 -0.017 0.042 -0.042 88.000 0.525 4.142 
-0.002 0.034 0.032 -0.012 -0.020 0.037 -0.032 87.200 0.523 4.112 
-0.002 0.049 0.046 -0.020 -0.027 0.051 -0.037 86.600 0.518 4.083 
0.002 0.056 0.046 -0.024 -0.024 0.056 -0.054 85.800 0.513 4.054 
0.015 0.061 0.044 -0.037 -0.015 0.054 -0.061 85.000 0.508 4.024 
0.017 0.061 0.042 -0.037 -0.012 0.054 -0.063 84.200 0.501 3.976 
0.029 0.076 0.042 -0.049 -0.007 0.061 -0.068 83.400 0.491 3.927 
0.024 0.076 0.046 -0.046 -0.012 0.063 -0.061 82.800 0.484 3.878 
0.034 0.083 0.044 -0.056 -0.007 0.066 -0.061 82.000 0.474 3.829 
0.010 0.081 0.068 -0.044 -0.029 0.076 -0.049 81.400 0.466 3.775 
0.007 0.061 0.049 -0.032 -0.022 0.059 -0.049 80.600 0.459 3.722 
0.007 0.056 0.042 -0.027 -0.020 0.054 -0.042 80.000 0.449 3.668 
-0.002 0.034 0.027 -0.010 -0.020 0.037 -0.032 79.400 0.440 3.614 
-0.000 0.012 0.002 -0.000 -0.005 0.012 -0.029 78.800 0.430 3.565 
-0.017 -0.020 -0.007 0.022 -0.007 -0.010 -0.000 78.200 0.418 3.516 
-0.024 -0.024 -0.005 0.027 -0.012 -0.012 0.020 77.800 0.405 3.468 
-0.034 -0.020 0.007 0.032 -0.024 -0.002 0.017 77.200 0.393 3.419 
-0.034 -0.024 0.002 0.034 -0.022 -0.007 0.024 76.800 0.381 3.370 
-0.034 -0.046 -0.017 0.044 -0.010 -0.029 0.032 76.200 0.366 3.321 
-0.027 -0.061 -0.042 0.049 0.005 -0.046 0.027 75.800 0.354 3.272 
